JSWCEMEN IN Equity,price,volume,mc,pe,bm,div
2025-08-31,148.43,273396004.0,202364.2575,,,0.0
2025-09-30,137.89,114008316.0,187994.391,,,0.0
2025-10-31,136.44,36303351.0,186017.5119,,,0.0
2025-11-30,114.74,55229500.0,156432.4928,,,0.0
2025-12-31,118.86,72561993.0,162049.5563,,,0.0
2026-01-31,114.2,45965082.0,155696.2757,,,0.0
2026-02-28,125.08,106497185.0,170529.6862,,,0.0
2026-03-31,124.6,7077584.0,169875.2689,,,0.0
