AWL IN Equity,price,volume,mc,pe,bm,div
2022-02-28,379.35,598682038.0,493033.0788,5.9515,,0.0
2022-03-31,516.9,354212700.0,671803.8709,75.0218,8.8321,0.0
2022-04-30,780.4,409888528.0,1014269.183,113.2656,13.3345,0.0
2022-05-31,668.55,82176003.0,868900.1314,97.0319,11.4233,0.0
2022-06-30,574.15,36213971.0,746210.4711,83.3309,9.8103,0.0
2022-07-31,658.8,25856037.0,856228.265,95.6168,11.2567,0.0
2022-08-31,692.15,72630551.0,899572.5465,100.4572,11.8266,0.0
2022-09-30,755.5,119442397.0,981907.1861,109.6517,12.909,0.0
2022-10-31,672.4,67154221.0,873903.894,97.5907,11.4891,0.0
2022-11-30,630.35,51985455.0,819252.4087,91.4877,10.7706,0.0
2022-12-31,617.65,67810123.0,802746.4904,89.6444,10.5536,0.0
2023-01-31,466.45,37007975.0,606235.0853,67.6996,7.9701,0.0
2023-02-28,361.65,134778388.0,470028.7675,52.4891,6.1794,0.0
2023-03-31,405.85,105273725.0,527474.5618,90.5915,6.4596,0.0
2023-04-30,411.85,38338921.0,535272.6335,91.9308,6.5551,0.0
2023-05-31,436.1,85538346.0,566789.8396,97.3438,6.9411,0.0
2023-06-30,409.95,33267450.0,532803.2441,91.5067,6.5249,0.0
2023-07-31,411.9,31359832.0,535337.6174,91.942,6.5559,0.0
2023-08-31,359.5,51052174.0,467234.4585,80.2455,5.7219,0.0
2023-09-30,337.4,35202213.0,438511.5613,75.3125,5.3701,0.0
2023-10-31,326.6,29450632.0,424475.0324,72.9018,5.1982,0.0
2023-11-30,340.65,76110046.0,442735.5168,76.0379,5.4219,0.0
2023-12-31,354.9,110314642.0,461255.9369,79.2187,5.6487,0.0
2024-01-31,355.45,61465112.0,461970.7601,79.3415,5.6574,0.0
2024-02-29,381.65,102048008.0,496022.3396,85.1897,6.0744,0.0
2024-03-31,321.4,43390009.0,417716.7036,281.9298,5.0231,0.0
2024-04-30,357.6,37272221.0,464765.0691,313.6842,5.5888,0.0
2024-05-31,355.75,42914518.0,462360.6637,312.0614,5.5599,0.0
2024-06-30,332.1,47684601.0,431623.2647,291.3158,5.1903,0.0
2024-07-31,348.15,59901152.0,452483.1063,305.3947,5.4411,0.0
2024-08-31,362.0,190152645.0,470483.655,317.5439,5.6576,0.0
2024-09-30,348.3,45538115.0,452678.0581,305.5263,5.4435,0.0
2024-10-31,346.1,41020915.0,449818.7652,303.5965,5.4091,0.0
2024-11-30,313.65,59547452.0,407644.1945,275.1316,4.9019,0.0
2024-12-31,308.05,39827495.0,400365.9943,270.2193,4.8144,0.0
2025-01-31,266.65,130790034.0,346559.3,233.9035,4.1674,0.0
2025-02-28,246.15,41123605.0,319915.8886,215.9211,3.847,0.0
2025-03-31,258.32,42946560.0,335732.9772,27.3644,3.5626,0.0
2025-04-30,267.05,43075136.0,347079.1715,28.2892,3.683,0.0
2025-05-31,275.0,62337248.0,357411.6164,29.1314,3.7926,0.0
2025-06-30,259.95,36732139.0,337851.4534,27.5371,3.5851,0.0
2025-07-31,262.2,230499603.0,340775.7302,27.7754,3.6161,0.0
2025-08-31,251.5,17231701.0,326869.1692,26.6419,3.4685,0.0
2025-09-30,261.55,85225852.0,339930.9391,27.7066,3.6072,0.0
2025-10-31,274.85,37057425.0,357216.6646,29.1155,3.7906,0.0
2025-11-30,259.0,196986358.0,336616.7587,27.4364,3.572,0.0
2025-12-31,237.3,31082055.0,308413.733,25.1377,3.2727,0.0
2026-01-31,213.97,38895998.0,278092.2311,22.6663,2.951,0.0
2026-02-28,189.1,38314741.0,245769.2242,20.0318,2.608,0.0
2026-03-31,179.19,8490152.0,232889.4124,18.982,2.4713,0.0
