CONCORDB IN Equity,price,volume,mc,pe,bm,div
2023-08-31,973.95,35229827.0,101890.9519,42.4379,7.8985,0.0
2023-09-30,1084.0,5224021.0,113403.9651,47.2331,8.791,0.0
2023-10-31,1148.65,3238113.0,120167.4027,50.0501,9.3153,0.0
2023-11-30,1336.85,6680121.0,139856.1723,58.2505,10.8416,0.0
2023-12-31,1471.8,3595373.0,153974.129,64.1307,11.936,0.0
2024-01-31,1455.9,2734049.0,152310.7314,63.4379,11.807,0.0
2024-02-29,1456.0,3110927.0,152321.193,63.4423,11.8078,0.0
2024-03-31,1520.8,1832624.0,159100.323,51.6401,10.4216,0.0
2024-04-30,1667.1,2761904.0,174405.6737,56.6078,11.4241,0.0
2024-05-31,1463.5,7926199.0,153105.8146,49.6944,10.0289,0.0
2024-06-30,1549.05,1660846.0,162055.7308,52.5993,10.6152,8.75
2024-07-31,1640.4,1670382.0,171612.421,55.7012,11.2411,8.75
2024-08-31,1665.9,4262009.0,174280.1342,56.5671,11.4159,8.75
2024-09-30,2032.55,10747334.0,212637.6654,69.017,13.9284,8.75
2024-10-31,1830.3,2275400.0,191479.0382,62.1494,12.5425,8.75
2024-11-30,2127.5,1780673.0,222570.974,72.2411,14.5791,8.75
2024-12-31,2210.75,2990581.0,231280.273,75.0679,15.1496,8.75
2025-01-31,2154.65,3439392.0,225411.3039,73.163,14.7651,8.75
2025-02-28,1496.1,5239836.0,156516.3028,50.8014,10.2523,8.75
2025-03-31,1680.6,3945505.0,175817.9924,47.3142,9.6991,8.75
2025-04-30,1518.6,1570423.0,158870.1674,42.7534,8.7642,8.75
2025-05-31,1748.5,6724506.0,182921.4327,49.2258,10.091,8.75
2025-06-30,1839.6,5390106.0,192451.9689,51.7905,10.6168,8.75
2025-07-31,1767.3,3972240.0,184888.2173,49.7551,10.1995,8.75
2025-08-31,1681.7,2585564.0,175933.0703,47.3452,9.7055,0.0
2025-09-30,1647.7,2436820.0,172376.1193,46.388,9.5093,10.7
2025-10-31,1443.8,2632924.0,151044.8753,40.6475,8.3325,10.7
2025-11-30,1417.6,1534751.0,148303.9308,39.9099,8.1813,10.7
2025-12-31,1345.6,1763353.0,140771.5641,37.8829,7.7658,10.7
2026-01-31,1175.2,2103268.0,122944.9629,33.0856,6.7824,10.7
2026-02-28,1220.6,25252998.0,127694.5386,34.3637,7.0444,10.7
2026-03-31,1201.3,650435.0,125675.451,33.8204,6.933,10.7
