SBILIFE IN Equity,price,volume,mc,pe,bm,div
2017-09-30,700.0,,,,11.3226,0.0
2017-10-31,662.1,61156348.0,662100.0,,10.7096,0.0
2017-11-30,654.9,16924593.0,654900.0,,10.5931,0.0
2017-12-31,695.35,6644485.0,695350.0,,10.8056,0.0
2018-01-31,660.65,8525590.0,660650.0,,10.2664,0.0
2018-02-28,694.5,9483202.0,694500.0,,10.7924,0.0
2018-03-31,678.25,5508654.0,678250.0,59.0296,10.3901,0.0
2018-04-30,743.1,15373276.0,743100.0,64.6736,11.3836,2.0
2018-05-31,689.8,10152971.0,689800.0,60.0348,10.5671,2.0
2018-06-30,674.35,11082652.0,674350.0,56.6681,9.8828,2.0
2018-07-31,686.0,5283761.0,686000.0,57.6471,10.0535,2.0
2018-08-31,672.4,4506641.0,672400.0,56.5042,9.8542,2.0
2018-09-30,511.6,9502232.0,511600.0,42.0724,7.2153,2.0
2018-10-31,560.4,13341587.0,560400.0,46.0855,7.9035,2.0
2018-11-30,571.4,5173996.0,571400.0,46.9901,8.0587,2.0
2018-12-31,597.85,6408577.0,597850.0,47.828,8.1529,2.0
2019-01-31,595.0,6170111.0,595000.0,47.6,8.114,2.0
2019-02-28,578.55,5699884.0,578550.0,46.284,7.8897,2.0
2019-03-31,583.4,186162311.0,583400.0,43.9638,7.7003,2.0
2019-04-30,639.85,15617875.0,639850.0,48.2178,8.4454,2.0
2019-05-31,694.25,15076196.0,694250.0,52.3173,9.1634,2.0
2019-06-30,723.7,28768937.0,723700.0,62.4445,9.113,2.0
2019-07-31,797.55,25354700.0,797550.0,68.8166,10.0429,2.0
2019-08-31,838.7,21986236.0,838700.0,72.3672,10.5611,2.0
2019-09-30,846.4,29740248.0,846400.0,81.5579,10.4863,2.0
2019-10-31,991.5,34414631.0,991500.0,95.5396,12.284,2.0
2019-11-30,960.05,154314123.0,960050.0,92.5091,11.8944,2.0
2019-12-31,961.6,29209174.0,961603.7897,82.6266,11.3329,2.0
2020-01-31,994.1,14068234.0,994103.9177,85.4192,11.7159,2.0
2020-02-29,890.4,25526215.0,890403.5091,76.5086,10.4938,2.0
2020-03-31,641.0,32988856.0,641016.8551,51.8277,7.3317,2.0
2020-04-30,726.85,24310373.0,726869.1125,58.7691,8.3136,2.0
2020-05-31,768.65,37634655.0,768672.9019,62.1488,8.7918,2.0
2020-06-30,806.45,39658129.0,806474.0282,55.9363,8.6606,0.0
2020-07-31,912.85,35458439.0,912886.4802,63.3163,9.8032,0.0
2020-08-31,827.75,29665295.0,827783.0794,57.4137,8.8893,0.0
2020-09-30,811.45,40079937.0,811487.5799,55.512,8.397,0.0
2020-10-31,769.15,30786985.0,769187.7814,52.6183,7.9593,0.0
2020-11-30,846.05,28743234.0,846091.5588,57.8791,8.7551,0.0
