BIL IN Equity,price,volume,mc,pe,bm,div
1995-01-31,5.67,,,,,0.0367
1995-02-28,5.67,,,,,0.0367
1995-03-31,5.83,,,,,0.0367
1995-04-30,5.58,,,,,0.0367
1995-05-31,5.5,,,,,0.0367
1995-06-30,5.3,,,,,0.0367
1995-07-31,5.0,,,,,0.11
1995-08-31,4.0,,,,,0.11
1995-09-30,4.5,,,,,0.0733
1995-10-31,4.0,,,,,0.0733
1995-11-30,3.33,,,,,0.0733
1995-12-31,3.1,,,,,0.0733
1996-01-31,3.33,,,,,0.0733
1996-02-29,2.92,,,,,0.0733
1996-03-31,2.5,,,,,0.0733
1996-04-30,2.38,,,,,0.0733
1996-05-31,2.0,57000.0,,,,0.0733
1996-06-30,2.07,180000.0,,,,0.0733
1996-07-31,2.1,127500.0,,,,0.0833
1996-08-31,1.97,93000.0,,,,0.0833
1996-09-30,1.37,69000.0,,,,0.0833
1996-10-31,1.33,379500.0,,,,0.0833
1996-11-30,1.23,1282500.0,,,,0.0833
1996-12-31,1.63,142800.0,,,,0.0833
1997-01-31,1.6,355500.0,,,,0.0833
1997-02-28,1.6,43500.0,,,,0.0833
1997-03-31,1.37,97500.0,,,,0.0833
1997-04-30,1.13,106500.0,,,,0.0833
1997-05-31,1.1,225000.0,,,,0.0833
1997-06-30,1.28,153000.0,,,,0.0833
1997-07-31,1.72,220500.0,,,,0.1
1997-08-31,1.57,354000.0,,,,0.1
1997-09-30,1.45,66000.0,,,,0.1
1997-10-31,1.43,78000.0,,,,0.1
1997-11-30,1.46,81000.0,,,,0.1
1997-12-31,1.93,120000.0,,,,0.1
1998-01-31,1.69,438000.0,,,,0.1
1998-02-28,1.3,51000.0,,,,0.1
1998-03-31,1.47,73500.0,,,,0.1
1998-04-30,1.55,444000.0,,,,0.1
1998-05-31,1.34,100500.0,,,,0.1
1998-06-30,1.33,93000.0,,,,0.1
1998-07-31,1.03,90000.0,,,,0.1
1998-08-31,1.17,52500.0,,,,0.1
1998-09-30,1.1,130500.0,,,,0.1
1998-10-31,1.13,82500.0,,,,0.1
1998-11-30,0.91,84000.0,,,,0.1
1998-12-31,0.98,73500.0,,,,0.1
1999-01-31,0.88,2138100.0,,,,0.1
1999-02-28,0.89,1978500.0,,,,0.1
1999-03-31,0.9,1011000.0,,,,0.1
1999-04-30,0.8,183000.0,,,,0.1
1999-05-31,1.08,547500.0,,,,0.1
1999-06-30,1.31,3282000.0,,,,0.1
1999-07-31,1.42,2831400.0,,,,0.1
1999-08-31,1.63,1181400.0,,,,0.1
1999-09-30,1.35,531000.0,,,,0.1
1999-10-31,1.39,802500.0,,,,0.1
1999-11-30,1.13,776100.0,,,,0.1
1999-12-31,1.23,661500.0,,,,0.1
2000-01-31,1.25,963000.0,,,,0.1
2000-02-29,1.02,784500.0,,,,0.1
2000-03-31,1.02,1462500.0,,,,0.1
2000-04-30,0.93,489000.0,,,,0.2
2000-05-31,0.99,622500.0,,,,0.2
2000-06-30,1.1,660000.0,204.27,,,0.2
2000-07-31,1.02,318000.0,188.795,,,0.2
2000-08-31,1.0,739500.0,185.7,,,0.2
2000-09-30,0.96,1269000.0,177.9625,,,0.2
2000-10-31,0.97,67500.0,179.2005,,,0.2
2000-11-30,1.0,141000.0,185.087,,,0.2
2000-12-31,0.93,109500.0,173.3256,,,0.2
2001-01-31,0.95,69000.0,177.3492,,,0.2
2001-02-28,0.75,136500.0,139.2795,,,0.2
2001-03-31,0.6,247500.0,111.4236,,,0.2
2001-04-30,0.61,64500.0,113.5902,,,0.2
2001-05-31,0.65,4557000.0,120.0899,,,0.2
2001-06-30,0.67,10570500.0,123.804,,,0.0
2001-07-31,0.69,40500.0,127.5181,,,0.0667
2001-08-31,0.68,103500.0,126.8991,,,0.0667
2001-09-30,0.72,37500.0,133.0893,,,0.0667
2001-10-31,0.72,43500.0,133.0893,,,0.0667
2001-11-30,0.88,420000.0,163.7308,,,0.0667
2001-12-31,1.0,75000.0,185.706,,,0.0667
2002-01-31,0.8,111000.0,148.8743,,,0.0667
2002-02-28,0.99,341490.0,171.778,,,0.0667
2002-03-31,0.99,541410.0,185.706,,,0.0667
2002-04-30,1.04,300960.0,185.3965,,,0.0
2002-05-31,1.03,422400.0,,,,0.0
2002-06-30,1.39,1170270.0,220.9901,,,0.0
2002-07-31,1.48,3812640.0,,,,0.0
2002-08-31,1.55,1615470.0,,,,0.0
2002-09-30,1.57,472830.0,,,,0.1167
2002-10-31,1.53,337410.0,,,,0.1167
2002-11-30,1.66,745500.0,,,,0.1167
2002-12-31,1.63,516420.0,,,,0.1167
2003-01-31,1.74,1194420.0,,,,0.1167
2003-02-28,1.67,504990.0,,,,0.1167
2003-03-31,1.5,381270.0,,,,0.1167
2003-04-30,1.68,673080.0,,,,0.1167
2003-05-31,2.1,2421180.0,,,,0.1167
2003-06-30,4.01,8512020.0,,,,0.1167
2003-07-31,4.99,10666650.0,,,,0.1167
2003-08-31,4.07,5708640.0,,,,0.2
2003-09-30,5.84,13276680.0,,,,0.2
2003-10-31,9.13,18782250.0,,,,0.2
2003-11-30,9.85,7965330.0,,,,0.2
2003-12-31,11.74,11927670.0,,,,0.2
