KPITTECH IN Equity,price,volume,mc,pe,bm,div
2019-04-30,103.25,6219929.0,28305.3482,12.6222,2.8891,0.0
2019-05-31,97.05,10596447.0,26605.6566,11.8643,2.7156,0.0
2019-06-30,96.75,11238898.0,26523.4134,11.8276,2.7073,0.0
2019-07-31,79.45,15669073.0,21780.7255,9.7127,2.2232,0.0
2019-08-31,97.15,5051866.0,26633.0709,11.8765,2.7184,0.75
2019-09-30,95.3,4965734.0,26125.9049,11.6504,2.6667,0.75
2019-10-31,91.1,7644148.0,24974.5009,11.1369,2.5492,0.75
2019-11-30,97.9,6678447.0,26838.6788,11.9682,2.7394,0.75
2019-12-31,93.7,6767396.0,25687.2748,11.4548,2.6219,0.75
2020-01-31,99.45,7648326.0,27263.6017,12.1577,2.7828,0.75
2020-02-29,81.75,3544530.0,22411.2563,9.9939,2.2875,1.3
2020-03-31,35.25,5923531.0,9663.5692,6.4208,0.9034,1.75
2020-04-30,55.75,4485209.0,15283.5173,10.1548,1.4288,1.75
2020-05-31,49.25,10176649.0,13501.5825,8.9709,1.2622,1.75
2020-06-30,63.0,19495008.0,17271.0599,11.4754,1.6146,1.75
2020-07-31,64.3,11817848.0,17627.4469,11.7122,1.648,1.75
2020-08-31,84.35,20746861.0,23124.0302,15.3643,2.1618,1.0
2020-09-30,122.35,36114487.0,33541.4949,22.286,3.1357,1.0
2020-10-31,94.2,19932835.0,25824.3459,17.1585,2.4143,1.0
2020-11-30,106.9,11566679.0,29305.9721,19.4718,2.7398,1.0
2020-12-31,142.0,41225901.0,38928.4195,25.8652,3.6394,1.0
2021-01-31,142.8,26152455.0,39147.7345,26.0109,3.6599,1.0
2021-02-28,144.6,17193194.0,39641.1933,26.3388,3.706,0.45
2021-03-31,177.55,57349341.0,48674.2315,32.698,3.9582,0.45
2021-04-30,197.25,29191837.0,54074.8644,36.326,4.3973,0.45
2021-05-31,243.3,35373299.0,66699.1863,44.8066,5.4239,0.0
2021-06-30,259.7,17114166.0,71195.1446,47.8269,5.7895,0.0
2021-07-31,281.75,30689887.0,77240.0179,51.8877,6.2811,0.0
2021-08-31,336.8,50617908.0,92331.6345,62.0258,7.5084,1.5
2021-09-30,341.75,43228003.0,93688.6464,62.9374,7.6187,1.5
2021-10-31,308.7,21670212.0,84628.1935,56.8508,6.8819,1.5
2021-11-30,494.65,53030641.0,135605.2346,91.0958,11.0273,1.5
2021-12-31,612.95,43788586.0,168036.4471,112.8821,13.6646,1.5
2022-01-31,646.25,68403074.0,177165.4359,119.0147,14.407,1.5
2022-02-28,568.5,36692072.0,155850.7548,104.6961,12.6737,1.25
2022-03-31,601.05,30489270.0,164774.1358,59.1003,12.3929,1.25
2022-04-30,553.85,42628670.0,151834.5481,54.4592,11.4197,1.25
2022-05-31,530.3,25860361.0,145378.4614,52.1436,10.9341,1.25
2022-06-30,517.65,26053597.0,141910.5422,50.8997,10.6733,1.25
2022-07-31,547.95,28759939.0,150217.0996,53.8791,11.2981,1.25
2022-08-31,561.55,33446957.0,153945.4554,55.2163,11.5785,3.1
2022-09-30,659.9,72220798.0,180907.4989,64.8869,13.6063,3.1
2022-10-31,709.25,61260463.0,194436.4958,69.7394,14.6239,3.1
2022-11-30,714.85,28722763.0,195971.7011,70.2901,14.7393,3.1
2022-12-31,704.25,31457661.0,193065.7768,69.2478,14.5208,3.1
2023-01-31,762.9,29853412.0,209144.3111,75.0147,15.7301,3.1
2023-02-28,829.65,46955579.0,227443.4103,81.5782,17.1064,3.3
2023-03-31,925.1,48758273.0,253610.4368,65.6099,15.1433,3.3
2023-04-30,916.8,70446186.0,251335.0432,65.0213,15.0074,3.3
2023-05-31,1063.05,32456076.0,291428.5751,75.3936,17.4015,3.3
2023-06-30,1089.8,32919306.0,298761.922,77.2908,17.8393,3.3
2023-07-31,1082.75,31192283.0,296829.2081,76.7908,17.7239,3.3
2023-08-31,1175.9,24967909.0,322365.7038,83.3972,19.2487,5.3
2023-09-30,1152.3,17227592.0,315895.91,81.7234,18.8624,5.3
2023-10-31,1217.55,25446966.0,333783.7934,86.3511,19.9305,5.3
2023-11-30,1499.3,40500224.0,411023.8113,106.3333,24.5426,5.3
2023-12-31,1513.85,25447130.0,415012.6037,107.3652,24.7808,5.3
2024-01-31,1550.8,31075215.0,425142.2174,109.9858,25.3856,5.3
2024-02-29,1570.55,25122010.0,430556.5577,111.3865,25.7089,4.75
2024-03-31,1486.4,24931131.0,407487.3562,67.7175,18.7867,4.75
2024-04-30,1494.2,26320981.0,409625.6779,68.0729,18.8853,4.75
2024-05-31,1457.25,18819039.0,399496.0642,66.3895,18.4183,4.75
2024-06-30,1634.75,26427626.0,448156.5901,74.4761,20.6617,4.75
2024-07-31,1842.6,35472379.0,505137.3806,83.9453,23.2888,4.75
2024-08-31,1815.15,16888797.0,497612.1331,82.6948,22.9418,6.7
2024-09-30,1628.0,18002912.0,446306.1194,74.1686,20.5764,6.7
2024-10-31,1393.25,37135312.0,381950.8605,63.4738,17.6094,6.7
2024-11-30,1368.8,22470300.0,375248.0444,62.3599,17.3004,6.7
2024-12-31,1464.7,28693906.0,401538.4356,66.7289,18.5125,6.7
2025-01-31,1409.2,40335059.0,386323.4542,64.2005,17.811,6.7
2025-02-28,1197.4,16879559.0,328259.7957,54.5513,15.134,7.1
2025-03-31,1307.45,19618885.0,358429.3218,42.2713,12.1984,7.1
2025-04-30,1253.6,41705686.0,343666.6777,40.5302,11.696,7.1
2025-05-31,1337.8,22665246.0,366749.5863,43.2525,12.4816,7.1
2025-06-30,1258.7,33621856.0,345064.8111,40.6951,11.7436,7.1
2025-07-31,1226.4,23051825.0,336209.9661,39.6508,11.4422,8.5
2025-08-31,1190.5,15304902.0,326368.2034,38.4901,11.1073,8.5
2025-09-30,1097.7,24793998.0,300927.658,35.4898,10.2415,8.5
2025-10-31,1166.7,17166271.0,319843.5808,37.7207,10.8852,8.5
2025-11-30,1222.4,15393003.0,335113.3909,39.5215,11.4049,8.5
2025-12-31,1172.5,13047843.0,321433.6149,37.9082,10.9393,8.5
2026-01-31,1041.9,18897645.0,285630.4336,33.6857,9.7209,8.5
2026-02-28,771.1,43687939.0,211392.2903,24.9305,7.1943,8.25
2026-03-31,717.35,6061346.0,196657.054,23.1927,6.6928,8.25
