BBTC IN Equity,price,volume,mc,pe,bm,div
1995-01-31,62.5,,,,,0.0
1995-02-28,50.0,,,,,0.0
1995-03-31,55.0,,,,,0.0
1995-04-30,50.0,,,,,0.0
1995-05-31,62.0,,,,,0.0
1995-06-30,47.9,,,,,0.0
1995-07-31,44.0,,,,,0.4
1995-08-31,43.0,,,,,0.4
1995-09-30,45.8,,,,,0.4
1995-10-31,40.0,,,,,0.8
1995-11-30,32.0,,,,,0.8
1995-12-31,32.8,,,,,0.8
1996-01-31,21.2,,,,,0.8
1996-02-29,29.0,,,,,0.8
1996-03-31,24.0,,,,,0.8
1996-04-30,27.0,,,,,0.8
1996-05-31,26.5,15500.0,,,,0.8
1996-06-30,26.4,36250.0,,,,0.45
1996-07-31,30.95,106750.0,,,,0.45
1996-08-31,25.0,38650.0,,,,0.45
1996-09-30,20.4,29255.0,,,,0.45
1996-10-31,21.58,80300.0,,,,0.45
1996-11-30,18.3,31800.0,,,,0.45
1996-12-31,19.05,22200.0,,,,0.45
1997-01-31,18.15,65850.0,,,,0.45
1997-02-28,16.8,47800.0,,,,0.45
1997-03-31,16.0,37000.0,,,,0.45
1997-04-30,15.0,34400.0,,,,0.45
1997-05-31,15.8,54200.0,,,,0.45
1997-06-30,16.1,143150.0,,,,0.46
1997-07-31,19.6,70000.0,,,,0.46
1997-08-31,17.3,149550.0,,,,0.46
1997-09-30,14.1,53300.0,,,,0.46
1997-10-31,13.05,87450.0,,,,0.46
1997-11-30,13.9,43450.0,,,,0.46
1997-12-31,15.2,70500.0,,,,0.46
1998-01-31,15.0,93250.0,,,,0.46
1998-02-28,13.65,107600.0,,,,0.46
1998-03-31,14.2,95500.0,,,,0.46
1998-04-30,13.63,123850.0,,,,0.46
1998-05-31,12.4,20550.0,,,,0.46
1998-06-30,10.95,42200.0,,,,0.52
1998-07-31,9.8,29050.0,,,,0.52
1998-08-31,9.7,22850.0,676.7884,,,0.52
1998-09-30,9.7,30400.0,676.7884,,,0.52
1998-10-31,9.03,17550.0,630.0412,,,0.52
1998-11-30,8.82,38525.0,615.389,,,0.52
1998-12-31,10.6,60850.0,739.5832,,,0.52
1999-01-31,9.14,53100.0,637.7161,,,0.52
1999-02-28,9.0,139300.0,627.948,,,0.52
1999-03-31,10.17,57050.0,709.5812,,,0.52
1999-04-30,8.19,716800.0,571.4327,,,0.52
1999-05-31,9.5,221200.0,662.834,,,0.52
1999-06-30,9.6,57350.0,669.8112,,,0.2
1999-07-31,9.7,91700.0,676.7884,,,0.2
1999-08-31,11.2,148000.0,781.4464,,,0.2
1999-09-30,10.93,135950.0,762.608,,,0.2
1999-10-31,11.7,135800.0,816.3324,,,0.2
1999-11-30,11.79,44100.0,822.6119,,,0.2
1999-12-31,11.7,79200.0,816.3324,,,0.2
2000-01-31,12.0,111900.0,837.264,,,0.2
2000-02-29,11.6,153500.0,809.3552,,,0.2
2000-03-31,11.85,118400.0,826.7982,,,0.2
2000-04-30,11.6,42250.0,809.3552,,,0.2
2000-05-31,12.52,15960.0,873.5454,,,0.2
2000-06-30,12.64,31970.0,881.9181,,,0.2
2000-07-31,12.76,45405.0,890.2907,,,0.2
2000-08-31,11.6,24755.0,809.3552,,,0.0
2000-09-30,12.0,15700.0,837.264,,,0.0
2000-10-31,11.7,9805.0,816.3324,,,0.0
2000-11-30,13.0,524485.0,907.036,,,0.2
2000-12-31,8.7,516250.0,607.0164,,,0.2
2001-01-31,9.02,23000.0,629.3434,,,0.2
2001-02-28,9.42,44875.0,657.2522,,,0.2
2001-03-31,9.2,45375.0,641.9024,,,0.2
2001-04-30,9.01,24875.0,628.6457,,,0.2
2001-05-31,10.4,16850.0,725.6288,,,0.2
2001-06-30,9.6,12800.0,669.8112,,,0.2
2001-07-31,10.0,27250.0,697.72,,,0.2
2001-08-31,10.0,18705.0,697.72,,,0.2
2001-09-30,9.4,38625.0,655.8568,,,0.2
2001-10-31,9.99,16620.0,697.0223,,,0.2
2001-11-30,10.03,37650.0,699.8132,,,0.2
2001-12-31,7.75,15950.0,540.733,,,0.2
2002-01-31,6.8,48825.0,474.4496,,,0.0
2002-02-28,7.7,68810.0,537.2444,,,0.0
2002-03-31,7.8,61195.0,544.2216,,0.5865,0.0
2002-04-30,9.1,1235035.0,634.9252,,0.6842,0.0
2002-05-31,7.3,42735.0,509.3356,,0.5489,0.0
2002-06-30,9.56,149535.0,667.0203,,0.7188,0.0
2002-07-31,7.48,95480.0,521.8946,,0.5624,0.0
2002-08-31,6.2,70815.0,432.5864,,0.4662,0.0
2002-09-30,7.8,136890.0,544.2216,,0.5865,0.0
2002-10-31,8.0,778165.0,558.176,,0.6015,0.0
2002-11-30,8.1,426945.0,565.1532,,0.609,0.0
2002-12-31,7.6,63420.0,530.2672,,0.5714,0.0
2003-01-31,7.6,449650.0,530.2672,,0.5714,0.0
2003-02-28,7.72,30775.0,538.6398,,0.5805,0.0
2003-03-31,7.4,1845715.0,516.3128,20.2166,0.1028,0.0
2003-04-30,7.81,189575.0,544.9193,21.3367,0.1085,0.0
2003-05-31,7.81,65615.0,544.9193,21.3367,0.1085,0.0
2003-06-30,8.43,867360.0,588.178,23.0305,0.1171,0.0
2003-07-31,7.6,96095.0,530.2672,20.763,0.1056,0.0
2003-08-31,9.65,353960.0,673.2998,26.3636,0.134,0.2
2003-09-30,8.2,147540.0,572.1304,22.4022,0.1139,0.2
2003-10-31,9.1,1370790.0,634.9252,24.861,0.1264,0.2
2003-11-30,14.45,1023285.0,1008.2054,39.477,0.2007,0.2
2003-12-31,22.56,769800.0,1574.0563,61.6333,0.3134,0.2
2004-01-31,13.34,574345.0,930.7585,36.4445,0.1853,0.2
2004-02-29,12.01,290330.0,837.9617,32.811,0.1668,0.2
2004-03-31,10.4,246560.0,725.6288,6.0261,0.1361,0.2
2004-04-30,13.01,224955.0,907.7337,7.5384,0.1702,0.2
2004-05-31,11.19,226790.0,780.7487,6.4839,0.1464,0.2
2004-06-30,10.6,96600.0,739.5832,6.142,0.1387,0.2
2004-07-31,14.46,225245.0,1008.9031,8.3786,0.1892,0.2
2004-08-31,14.69,228155.0,1024.9507,8.5119,0.1922,0.3
2004-09-30,17.83,569420.0,1244.0348,10.3313,0.2333,0.3
2004-10-31,16.52,210560.0,1152.6334,9.5722,0.2161,0.3
2004-11-30,20.73,906670.0,1446.3736,12.0117,0.2712,0.3
2004-12-31,22.83,1308180.0,1592.8948,13.2285,0.2987,0.3
2005-01-31,19.9,2605590.0,1388.4628,11.5307,0.2604,0.3
2005-02-28,24.86,4677650.0,1734.5319,14.4047,0.3253,0.3
2005-03-31,32.06,17264415.0,2236.8903,6.0952,0.4381,0.3
2005-04-30,29.62,1777245.0,2066.6466,5.6313,0.4047,0.3
2005-05-31,37.6,1572940.0,2623.4272,7.1484,0.5138,0.3
2005-06-30,35.53,753480.0,2478.9992,6.7549,0.4855,0.3
2005-07-31,47.14,3593945.0,3289.0521,8.9622,0.6441,0.4
2005-08-31,51.78,1846395.0,3612.7942,9.8443,0.7075,0.4
2005-09-30,47.48,3034690.0,3312.7746,9.0268,0.6488,0.4
2005-10-31,31.32,698910.0,2185.259,5.9545,0.428,0.4
2005-11-30,39.0,590500.0,2721.108,7.4146,0.5329,0.4
2005-12-31,43.66,2339910.0,3046.2455,8.3006,0.5966,0.4
2006-01-31,45.52,2164505.0,3176.0215,8.6542,0.622,0.4
2006-02-28,62.43,16813405.0,4355.866,11.8691,0.853,0.4
2006-03-31,58.41,9782610.0,4075.3825,8.3518,0.7155,0.4
2006-04-30,60.89,2332945.0,4100.5005,8.7064,0.7458,0.4
2006-05-31,92.7,15221700.0,6467.8644,13.2547,1.1355,0.4
2006-06-30,57.19,702005.0,3990.2607,8.1773,0.7005,0.4
2006-07-31,55.3,402470.0,3858.3916,7.9071,0.6774,0.5
2006-08-31,66.53,1152020.0,4641.9312,9.5128,0.8149,0.5
2006-09-30,74.63,823360.0,5207.0844,10.671,0.9141,0.5
2006-10-31,74.14,1575475.0,5172.8961,10.6009,0.9081,0.5
2006-11-30,75.14,1170460.0,5242.6681,10.7439,0.9204,0.5
2006-12-31,72.1,664355.0,5030.5612,10.3092,0.8831,0.5
2007-01-31,68.19,493470.0,4757.7527,9.7502,0.8353,0.5
2007-02-28,61.14,475760.0,4265.8601,8.7421,0.7489,0.5
2007-03-31,53.08,856695.0,3703.4978,7.9014,0.5952,0.5
2007-04-30,54.34,521840.0,3791.4105,8.089,0.6093,0.5
2007-05-31,64.9,1191530.0,4528.2028,9.661,0.7277,0.5
2007-06-30,71.5,419970.0,4988.698,10.6434,0.8017,0.5
2007-07-31,92.54,1785855.0,6456.7009,13.7754,1.0377,0.6
2007-08-31,93.0,608905.0,6488.796,13.8439,1.0428,0.6
2007-09-30,132.62,4217895.0,9252.8977,19.7417,1.4871,0.6
2007-10-31,145.85,2331500.0,10175.9548,21.7111,1.6355,0.6
2007-11-30,152.46,1770430.0,10637.1346,22.6951,1.7096,0.6
2007-12-31,162.02,1162390.0,11304.1358,24.1182,1.8168,0.6
2008-01-31,120.0,1512275.0,8372.4003,17.8631,1.3456,0.6
2008-02-29,105.0,463540.0,7325.8502,15.6302,1.1774,0.6
2008-03-31,73.5,1225175.0,5128.0952,11.2248,0.7908,0.6
2008-04-30,110.42,482050.0,7704.0037,16.8632,1.188,0.6
2008-05-31,87.0,150275.0,6069.9902,13.2865,0.936,0.6
2008-06-30,62.56,100675.0,4364.8113,9.5541,0.6731,0.6
2008-07-31,57.4,332375.0,4004.7981,8.766,0.6176,0.6
2008-08-31,64.0,379520.0,4465.2802,9.774,0.6886,0.6
2008-09-30,65.15,313010.0,4545.5157,9.9496,0.7009,0.6
2008-10-31,33.3,101230.0,2323.3411,5.0855,0.3583,0.6
2008-11-30,29.0,157705.0,2023.3301,4.4288,0.312,0.6
2008-12-31,32.1,263525.0,2239.6171,4.9023,0.3454,0.6
2009-01-31,25.23,192710.0,1760.2972,3.8531,0.2714,0.6
2009-02-28,23.48,188985.0,1638.1997,3.5858,0.2526,0.6
2009-03-31,27.12,352205.0,1892.1625,9.9341,0.2375,0.6
2009-04-30,42.57,348560.0,2970.109,15.5934,0.3728,0.6
2009-05-31,60.83,289125.0,4244.1092,22.2821,0.5328,0.6
2009-06-30,52.2,336015.0,3641.9941,19.1209,0.4572,0.6
2009-07-31,51.88,326030.0,3619.6677,19.0037,0.4544,0.2
2009-08-31,61.82,800135.0,4313.1815,22.6447,0.5414,0.2
2009-09-30,63.2,190680.0,4409.4641,23.1502,0.5535,0.2
2009-10-31,58.4,334965.0,4074.5681,21.3919,0.5115,0.2
2009-11-30,60.0,466545.0,4186.2001,21.978,0.5255,0.2
2009-12-31,57.58,278345.0,4017.3567,21.0916,0.5043,0.2
2010-01-31,66.07,1271080.0,4609.7041,24.2015,0.5786,0.2
2010-02-28,65.81,215405.0,4591.5639,24.1062,0.5764,0.2
2010-03-31,70.39,1054245.0,4911.1105,13.5365,0.6163,0.2
2010-04-30,71.42,494015.0,4982.9736,13.7346,0.6253,0.2
2010-05-31,62.03,308095.0,4327.8332,11.9288,0.5431,0.2
2010-06-30,71.73,774485.0,5004.6023,13.7942,0.628,0.2
2010-07-31,89.78,2328670.0,6263.9508,17.2654,0.786,0.7
2010-08-31,106.94,46101285.0,7461.2041,20.5654,0.9362,0.7
2010-09-30,108.85,4859235.0,7594.4648,20.9327,0.953,0.7
2010-10-31,103.94,2995650.0,7251.894,19.9885,0.91,0.7
2010-11-30,83.27,1089525.0,5809.7481,16.0135,0.729,0.7
2010-12-31,111.22,5327185.0,7759.8197,21.3885,0.9737,0.7
2011-01-31,83.18,4355890.0,5803.4688,15.9962,0.7282,0.7
2011-02-28,74.57,1236835.0,5202.7491,14.3404,0.6528,0.7
2011-03-31,79.06,5160455.0,5516.0164,4.6892,0.6129,0.7
2011-04-30,89.34,1849280.0,6233.252,5.2989,0.6926,0.7
2011-05-31,84.71,696455.0,5910.2169,5.0243,0.6567,0.7
2011-06-30,80.41,496350.0,5610.2059,4.7693,0.6234,0.7
2011-07-31,97.53,1888040.0,6804.6683,5.7847,0.7561,1.4
2011-08-31,84.16,926015.0,5871.8434,4.9917,0.6524,1.4
2011-09-30,83.49,1833640.0,5825.0975,4.952,0.6473,1.4
2011-10-31,89.26,423760.0,6227.6704,5.2942,0.692,1.4
2011-11-30,76.12,967990.0,5310.8926,4.5148,0.5901,1.4
2011-12-31,68.12,301820.0,4752.7326,4.0403,0.5281,1.4
2012-01-31,79.16,452005.0,5522.9934,4.6951,0.6137,1.4
2012-02-29,107.32,7186010.0,7487.7167,6.3654,0.832,1.4
2012-03-31,117.95,12248585.0,8227.0124,3.6879,0.7541,1.4
2012-04-30,115.56,2768300.0,8060.3099,3.6132,0.7389,1.4
2012-05-31,105.48,1300945.0,7359.5506,3.298,0.6744,1.4
2012-06-30,113.51,1078665.0,7919.8198,3.5491,0.7258,1.4
2012-07-31,109.5,1901950.0,7640.034,3.4237,0.7001,1.4
2012-08-31,105.01,1183875.0,7326.7578,3.2833,0.6714,1.4
2012-09-30,109.19,633920.0,7618.4047,3.414,0.6981,1.4
2012-10-31,114.4,1292140.0,7981.9168,3.5769,0.7314,1.4
2012-11-30,122.55,4211678.0,8550.5459,3.8318,0.7836,1.4
2012-12-31,128.2,2002340.0,8944.7571,4.0084,0.8197,1.4
2013-01-31,128.6,8664856.0,8972.6659,4.0209,0.8222,1.4
2013-02-28,105.1,1265112.0,7333.0263,3.2861,0.672,1.4
2013-03-31,112.95,1014382.0,7880.7357,5.9573,0.6843,1.4
2013-04-30,125.15,1517387.0,8731.9528,6.6007,0.7582,1.4
2013-05-31,123.4,1395950.0,8609.852,6.5084,0.7476,1.4
2013-06-30,106.25,452767.0,7413.264,5.6039,0.6437,1.4
2013-07-31,91.85,542902.0,6408.5487,4.8444,0.5565,3.0
2013-08-31,86.65,672928.0,6045.7348,4.5701,0.525,3.0
2013-09-30,94.9,498723.0,6621.353,5.0053,0.5749,3.0
2013-10-31,113.95,2088130.0,7950.5076,6.01,0.6903,3.0
2013-11-30,120.8,2117198.0,8428.4451,6.3713,0.7318,3.0
2013-12-31,115.8,1532359.0,8079.5856,6.1076,0.7016,3.0
2014-01-31,98.55,784808.0,6876.0204,5.1978,0.597,3.0
2014-02-28,93.75,1433473.0,6541.1153,4.9446,0.568,3.0
2014-03-31,98.15,927356.0,6848.1116,3.3069,0.5309,3.0
2014-04-30,103.85,1799649.0,7245.8114,3.499,0.5618,3.0
2014-05-31,120.55,2093484.0,8411.0021,4.0617,0.6521,3.0
2014-06-30,146.75,6289797.0,10239.0258,4.9444,0.7939,3.0
2014-07-31,215.0,13029102.0,15000.9577,7.2439,1.1631,1.0
2014-08-31,207.5,7376723.0,14477.6685,6.9912,1.1225,1.0
2014-09-30,251.6,10359693.0,17554.6091,8.4771,1.361,1.0
2014-10-31,259.0,3565574.0,18070.9212,8.7264,1.4011,1.0
2014-11-30,449.85,15351107.0,31386.8876,15.1567,2.4335,1.0
2014-12-31,367.2,11333624.0,25620.2403,12.372,1.9864,1.0
2015-01-31,430.45,10424509.0,30033.3128,14.503,2.3285,1.0
2015-02-28,427.15,6649555.0,29803.1112,14.3918,2.3107,1.0
2015-03-31,440.05,9687124.0,30703.123,8.6031,1.9648,1.0
2015-04-30,419.1,4903993.0,29241.4018,8.1935,1.8712,1.0
2015-05-31,547.3,6659845.0,38186.1589,10.6999,2.4436,1.0
2015-06-30,507.35,4741262.0,35398.7716,9.9189,2.2653,1.0
2015-07-31,608.1,7104156.0,42428.2902,11.8886,2.7151,1.0
2015-08-31,472.6,5554429.0,32974.1982,9.2395,2.1101,1.0
2015-09-30,481.25,1526809.0,33577.7251,9.4086,2.1487,1.0
2015-10-31,498.4,2262818.0,34774.3131,9.7439,2.2253,1.0
2015-11-30,484.25,1513898.0,33787.0408,9.4673,2.1621,1.0
2015-12-31,498.0,1848984.0,34746.4044,9.7361,2.2235,1.0
2016-01-31,407.05,908847.0,28400.6504,7.958,1.8174,1.0
2016-02-29,330.2,586493.0,23038.6802,6.4555,1.4743,1.0
