POWERIND IN Equity,price,volume,mc,pe,bm,div
2020-03-31,749.7,46239.0,31773.5417,16.7756,3.7834,0.0
2020-04-30,801.45,808333.0,33966.7934,17.9335,4.0445,0.0
2020-05-31,817.25,820203.0,34636.4239,18.2871,4.1243,0.0
2020-06-30,840.25,515195.0,35611.2024,18.8017,4.2403,0.0
2020-07-31,896.85,3463451.0,38010.0052,20.0682,4.526,0.0
2020-08-31,917.25,3116094.0,38874.5914,20.5247,4.6289,0.0
2020-09-30,924.35,1455221.0,39175.5013,20.6836,4.6647,0.0
2020-10-31,964.3,920321.0,40868.6482,21.5775,4.8664,0.0
2020-11-30,1139.75,1362341.0,48304.5129,25.5035,5.7518,0.0
2020-12-31,1292.65,1099279.0,54784.6709,54.8896,5.868,0.0
2021-01-31,1212.7,457575.0,51396.2561,51.4947,5.505,0.0
2021-02-28,1439.1,1794571.0,60991.4671,61.1083,6.5328,0.0
2021-03-31,1366.95,1052327.0,57933.6293,58.0446,6.2053,0.0
2021-04-30,1805.4,1639132.0,76515.8742,76.6624,8.1956,0.0
2021-05-31,1941.3,1052953.0,82275.5437,82.4331,8.8125,2.0
2021-06-30,1890.35,709500.0,80116.1974,80.2696,8.5812,2.0
2021-07-31,1925.6,1057631.0,81610.1534,81.7665,8.7412,2.0
2021-08-31,2136.65,1956418.0,90554.8059,90.7282,9.6993,2.0
2021-09-30,2438.8,1675681.0,103360.429,103.5584,11.0709,2.0
2021-10-31,2212.6,1138155.0,93773.6941,93.9533,10.0441,2.0
2021-11-30,2646.25,1309856.0,112152.5075,112.3673,12.0126,2.0
2021-12-31,2526.75,917793.0,107087.8973,70.6131,11.6052,2.0
2022-01-31,3121.8,2404667.0,132307.113,87.2425,,2.0
2022-02-28,3303.45,1610885.0,140005.7443,92.3189,,2.0
2022-03-31,3521.25,2179685.0,149236.4731,91.0201,13.1789,2.0
2022-04-30,3149.0,862540.0,133459.8946,81.3978,11.7857,2.0
2022-05-31,3529.95,980004.0,149605.1937,91.2449,13.2115,2.0
2022-06-30,3151.7,709977.0,133574.3251,81.4676,11.7958,2.0
2022-07-31,3225.25,992133.0,136691.4973,83.3688,12.0711,3.0
2022-08-31,3744.4,1535386.0,158693.9439,96.7882,14.0141,3.0
2022-09-30,3489.45,1448635.0,147888.7358,90.1981,13.0599,3.0
2022-10-31,3164.2,403426.0,134104.096,81.7907,11.8426,3.0
2022-11-30,2953.25,587005.0,125163.6817,76.3379,11.0531,3.0
2022-12-31,3347.35,934180.0,141866.2998,86.5249,12.528,3.0
2023-01-31,3103.7,417301.0,131540.0047,80.2269,11.6161,3.0
2023-02-28,3326.9,675881.0,140999.5946,85.9963,12.4515,3.0
2023-03-31,3343.4,516290.0,141698.8922,150.8755,11.6595,3.0
2023-04-30,3308.5,599013.0,140219.7717,149.3005,11.5378,3.0
2023-05-31,3846.45,1229718.0,163018.9938,173.5763,13.4138,3.0
2023-06-30,4157.85,572361.0,176216.6474,187.6286,14.4997,3.0
2023-07-31,3942.45,578231.0,167087.6346,177.9084,13.7486,3.0
2023-08-31,4400.95,778856.0,186519.6326,198.5988,15.3475,3.4
2023-09-30,4100.15,682997.0,173771.2248,185.0248,14.2985,3.4
2023-10-31,4143.1,677481.0,175591.5177,186.963,14.4483,3.4
2023-11-30,4672.35,918558.0,198022.0192,210.8461,16.294,3.4
2023-12-31,5264.35,952012.0,223111.9708,237.5609,18.3584,3.4
2024-01-31,5929.85,1000554.0,251316.9755,267.5925,20.6792,3.4
2024-02-29,6004.2,807408.0,254468.053,270.9477,20.9385,3.4
2024-03-31,6971.7,1396827.0,295472.3236,180.427,21.728,3.4
2024-04-30,9578.75,2417063.0,405963.4694,247.8973,29.8531,3.4
2024-05-31,10767.15,4638990.0,456329.852,278.653,33.5569,3.4
2024-06-30,12911.6,1675842.0,547215.2349,334.1511,40.2403,3.4
2024-07-31,11607.1,1629957.0,491928.3399,300.3908,36.1747,3.4
2024-08-31,12095.05,913808.0,512608.4782,313.0189,37.6954,4.0
2024-09-30,14545.3,971498.0,616454.1774,376.4312,45.3318,4.0
2024-10-31,13819.0,1459291.0,585672.3668,357.6346,43.0683,4.0
2024-11-30,11978.55,1881323.0,507671.0131,310.0039,37.3323,4.0
2024-12-31,14412.2,1189553.0,610813.1764,372.9865,44.917,4.0
2025-01-31,12863.55,3213973.0,545178.7954,332.9076,40.0905,4.0
2025-02-28,11284.35,2613698.0,478249.6543,292.038,35.1688,4.0
2025-03-31,12653.65,3121749.0,564003.0811,140.036,13.3837,4.0
2025-04-30,14529.0,1570742.0,647591.862,160.7902,15.3672,4.0
2025-05-31,19298.0,3054188.0,860157.4612,213.568,20.4114,4.0
2025-06-30,20007.0,3166120.0,891759.2665,221.4143,21.1613,4.0
2025-07-31,20095.0,2943949.0,895681.6345,222.3882,21.2543,4.0
2025-08-31,19110.0,4522137.0,851777.8569,211.4874,20.2125,6.0
2025-09-30,18001.0,1912651.0,802347.1064,199.2143,19.0395,6.0
2025-10-31,17778.0,1710957.0,792407.4694,196.7463,18.8037,6.0
2025-11-30,22056.0,3806129.0,983088.0383,244.0903,23.3285,6.0
2025-12-31,18310.0,2934818.0,816119.9665,202.6339,19.3664,6.0
2026-01-31,18862.0,4332795.0,840723.9109,208.7428,19.9502,6.0
2026-02-28,25562.0,3839158.0,1139358.743,282.8907,27.0368,6.0
2026-03-31,25380.0,420907.0,1131246.573,280.8765,26.8443,6.0
