TCS IN Equity,price,volume,mc,pe,bm,div
2017-01-31,1114.9,64100848.0,4393660.43,16.8834,5.2401,23.25
2017-02-28,1233.13,72627014.0,4859568.002,18.6737,5.7958,23.25
2017-03-31,1215.9,51387464.0,4791686.881,18.2259,5.4257,23.25
2017-04-30,1136.57,46017530.0,4479078.113,17.0368,5.0717,23.25
2017-05-31,1273.3,58130428.0,5017891.89,19.0863,5.6818,23.25
2017-06-30,1181.18,55844966.0,4522217.076,17.9284,6.2524,23.5
2017-07-31,1245.9,49498802.0,4770021.593,18.9108,6.595,23.75
2017-08-31,1248.18,35108572.0,4778731.601,18.9453,6.607,23.75
2017-09-30,1217.97,35902646.0,4663108.636,18.4533,6.0433,23.75
2017-10-31,1312.0,38342324.0,5023090.4,19.8779,6.5098,24.0
2017-11-30,1318.5,41218130.0,5047976.138,19.9764,6.542,24.0
2017-12-31,1350.6,41925018.0,5170873.395,20.5062,6.338,24.0
2018-01-31,1556.18,62434268.0,5957932.701,23.6275,7.3027,24.25
2018-02-28,1517.53,56181498.0,5809958.553,23.0407,7.1214,24.25
2018-03-31,1424.58,152942650.0,5454092.49,21.2215,6.2518,24.25
2018-04-30,1766.05,123868390.0,6761455.2,26.3083,7.7503,24.25
2018-05-31,1741.05,68691535.0,6665740.821,25.9359,7.6406,25.0
2018-06-30,1847.75,81422302.0,7074249.793,25.9885,8.0569,25.0
2018-07-31,1940.2,92194295.0,7428201.568,27.2888,8.46,25.5
2018-08-31,2078.4,45072206.0,7957310.658,29.2325,9.0626,25.5
2018-09-30,2183.7,46773769.0,8360459.625,29.1456,10.4698,25.5
2018-10-31,1938.15,74069649.0,7272684.418,25.8683,9.2925,26.0
2018-11-30,1968.25,56328393.0,7385631.198,26.27,9.4368,26.0
2018-12-31,1893.05,52118973.0,7103451.868,23.8228,8.3256,26.0
2019-01-31,2014.1,73358396.0,7557678.036,25.3461,8.8579,26.5
2019-02-28,1983.45,66436226.0,7442667.445,24.9604,8.7231,26.5
2019-03-31,2001.65,56058124.0,7510960.847,24.0921,8.2037,26.5
2019-04-30,2260.35,70322110.0,8481702.77,27.2058,9.264,26.5
2019-05-31,2196.55,63339966.0,8242300.626,26.4379,9.0025,26.5
2019-06-30,2227.2,48341037.0,8357311.217,26.0238,9.1404,30.0
2019-07-31,2205.7,64742430.0,8276634.946,25.7725,9.0521,31.0
2019-08-31,2259.6,46538009.0,8478888.482,26.4023,9.2733,31.0
2019-09-30,2099.3,59101928.0,7877381.213,24.3106,8.1094,31.0
2019-10-31,2269.65,75785731.0,8516599.948,26.2833,8.7674,72.0
2019-11-30,2053.25,62096691.0,7704583.898,23.7773,7.9315,72.0
2019-12-31,2161.7,90362867.0,8111530.019,25.0245,9.5214,72.0
2020-01-31,2079.05,65831390.0,7801395.423,24.0677,9.1573,73.0
2020-02-29,2000.15,52909970.0,7505332.27,23.1544,8.8098,73.0
2020-03-31,1826.1,121047260.0,6852229.712,21.1893,7.9455,67.0
2020-04-30,2014.45,91854591.0,7558991.371,23.3748,8.7651,67.0
2020-05-31,1972.35,67682605.0,7401015.975,22.8863,8.5819,67.0
2020-06-30,2082.15,79649708.0,7813027.816,25.0287,8.5137,68.0
2020-07-31,2281.4,110944612.0,8560690.468,27.4239,9.3284,68.0
2020-08-31,2257.25,67703083.0,8470070.378,27.1336,9.2297,68.0
2020-09-30,2492.3,120641497.0,9352068.403,30.5091,9.6161,68.0
2020-10-31,2664.85,132989447.0,9999542.544,32.6214,10.2819,35.0
2020-11-30,2679.65,67748779.0,10055077.84,32.8025,10.339,35.0
2020-12-31,2862.75,65867824.0,10742139.49,34.3872,13.078,35.0
2021-01-31,3111.35,91041416.0,11674982.34,37.3734,14.2137,29.0
2021-02-28,2894.3,69245302.0,10706164.94,34.7662,13.2221,29.0
2021-03-31,3177.85,74933359.0,11755031.01,36.6251,13.2743,29.0
2021-04-30,3035.65,64706427.0,11229025.87,34.9862,12.6803,29.0
2021-05-31,3159.15,45026028.0,11685858.74,36.4096,13.1962,38.0
2021-06-30,3345.75,49226956.0,12376101.76,36.1949,13.425,38.0
2021-07-31,3167.45,47244155.0,11716560.27,34.266,12.7096,40.0
2021-08-31,3786.45,59055591.0,14006273.07,40.9625,15.1933,40.0
2021-09-30,3775.55,53179994.0,13965953.41,38.32,14.0961,40.0
2021-10-31,3397.75,75948914.0,12568451.8,34.4855,12.6855,35.0
2021-11-30,3529.15,45000670.0,13054507.15,35.8191,13.1761,35.0
2021-12-31,3738.35,46738402.0,13828348.7,36.7416,13.043,35.0
2022-01-31,3736.25,70391798.0,13820580.69,36.721,13.0357,36.0
2022-02-28,3554.2,71160751.0,13147168.39,34.9317,12.4005,36.0
2022-03-31,3739.95,52793918.0,13684669.18,36.0928,14.9954,36.0
2022-04-30,3546.7,45805557.0,12977557.5,34.2279,14.2206,36.0
2022-05-31,3364.35,54784510.0,12310329.49,32.4681,13.4894,43.0
2022-06-30,3267.1,53156665.0,11954486.74,31.0649,12.9966,43.0
2022-07-31,3301.9,63709151.0,12081821.73,31.3958,13.135,44.0
2022-08-31,3211.15,37363247.0,11749762.82,30.5329,12.774,44.0
2022-09-30,3004.55,58440507.0,10993802.8,27.9077,11.0418,44.0
2022-10-31,3193.15,40968842.0,11683899.89,29.6595,11.7349,45.0
2022-11-30,3390.8,39343460.0,12407111.4,31.4954,12.4613,45.0
2022-12-31,3256.7,34013019.0,11916432.61,29.3687,11.0089,45.0
2023-01-31,3358.7,41536963.0,12289655.85,30.2885,11.3537,113.0
2023-02-28,3312.85,32450794.0,12121888.34,29.875,11.1987,113.0
2023-03-31,3205.9,41395953.0,11730552.8,27.8329,12.6759,113.0
2023-04-30,3219.25,45781387.0,11779401.13,27.9488,12.7287,113.0
2023-05-31,3289.5,37487543.0,12036449.49,28.5587,13.0065,113.0
2023-06-30,3302.25,40346267.0,12083102.4,27.6238,12.7247,115.0
2023-07-31,3421.45,49389109.0,12519261.32,28.6209,13.184,116.0
2023-08-31,3356.8,38142775.0,12282703.65,28.0801,12.9349,116.0
2023-09-30,3528.6,40075844.0,12911328.67,28.915,12.56,116.0
2023-10-31,3368.75,43170953.0,12326429.31,27.6051,11.991,117.0
2023-11-30,3487.6,38590550.0,12761307.57,28.579,12.4141,117.0
2023-12-31,3793.4,47873800.0,13880245.48,30.9201,15.2207,117.0
2024-01-31,3815.95,53315480.0,13962757.09,31.104,15.3112,69.0
2024-02-29,4095.1,46116801.0,14816430.2,33.3793,16.4313,69.0
2024-03-31,3876.3,85030050.0,14024792.65,30.7852,15.1436,69.0
2024-04-30,3820.65,51893871.0,13823446.08,30.3432,14.9262,69.0
2024-05-31,3670.95,50547460.0,13281818.37,29.1543,14.3414,73.0
2024-06-30,3904.15,51301901.0,14125556.38,30.2801,14.973,73.0
2024-07-31,4385.35,73642829.0,15866580.1,34.0122,16.8185,74.0
2024-08-31,4553.75,46457233.0,16475866.04,35.3183,17.4643,74.0
2024-09-30,4268.5,48482305.0,15443806.57,32.6202,14.9037,74.0
2024-10-31,3968.45,53517327.0,14358199.41,30.3272,13.8561,75.0
2024-11-30,4270.85,43081739.0,15452309.08,32.6382,14.9119,75.0
2024-12-31,4094.8,45754584.0,14815344.77,30.3826,13.2741,75.0
2025-01-31,4112.4,54617422.0,14879023.11,30.5132,13.3311,124.0
2025-02-28,3483.25,50824681.0,12602703.35,25.845,11.2916,124.0
2025-03-31,3606.15,51404983.0,13047366.3,26.8723,13.4673,124.0
2025-04-30,3453.7,67529108.0,12495788.86,25.7363,12.8979,124.0
2025-05-31,3463.4,47067739.0,12530884.31,25.8086,12.9342,124.0
2025-06-30,3462.0,56991158.0,12525818.99,25.4212,12.5213,126.0
2025-07-31,3036.8,73370286.0,10987408.17,22.2989,10.9835,127.0
2025-08-31,3084.7,56584826.0,11160714.57,22.6507,11.1567,127.0
2025-09-30,2888.4,62221327.0,10450483.99,21.1394,9.6281,127.0
2025-10-31,3058.0,74398318.0,11064111.63,22.3807,10.1935,128.0
2025-11-30,3137.5,57088988.0,11351749.59,22.9625,10.4585,128.0
2025-12-31,3206.2,58609399.0,11600312.2,24.3123,10.0324,128.0
2026-01-31,3123.9,62197640.0,11302543.6,23.6882,9.7749,109.0
2026-02-28,2637.4,107425880.0,9542344.02,19.9991,8.2526,109.0
2026-03-31,2576.6,10069382.0,9322364.652,19.5381,8.0624,109.0
