TCS IN Equity,price,volume,mc,pe,bm,div
2004-08-31,123.49,100340216.0,472511.7802,,,0.0
2004-09-30,128.39,102532176.0,491236.2462,,,0.0
2004-10-31,144.29,87394216.0,552096.7392,,,0.375
2004-11-30,159.38,40910904.0,609800.6172,,,0.375
2004-12-31,166.94,47998104.0,638736.2543,,,0.375
2005-01-31,162.55,241150528.0,621948.8021,,,0.375
2005-02-28,172.61,140438648.0,660449.9391,,,0.8125
2005-03-31,179.01,133115536.0,684913.705,,,0.8125
2005-04-30,141.39,263136072.0,540976.8456,,,0.8125
2005-05-31,166.78,190966888.0,638138.4106,,,0.8125
2005-06-30,169.76,169531864.0,652043.9196,32.7352,,0.8125
2005-07-31,158.6,149081784.0,609169.6673,30.5827,,1.4375
2005-08-31,175.61,151190384.0,674489.2868,33.862,,1.5
2005-09-30,185.29,149225976.0,711698.1843,31.3526,,1.5
2005-10-31,175.16,175762328.0,672760.8735,29.6373,,1.5
2005-11-30,190.14,118101808.0,730302.6331,32.1722,,1.5
2005-12-31,212.86,121352896.0,817563.4993,35.4539,,1.5
2006-01-31,208.8,94108608.0,801983.7738,34.7783,,1.5
2006-02-28,212.6,80187768.0,816579.264,35.4112,,1.5
2006-03-31,239.44,121347344.0,937264.1227,34.114,16.0653,1.5
2006-04-30,247.42,158316384.0,967870.1633,35.2511,16.6008,1.5
2006-05-31,222.86,100331664.0,872382.2523,31.7524,14.9532,1.5
2006-06-30,217.34,150435176.0,850779.4275,27.9861,12.8355,1.6875
2006-07-31,234.04,159560016.0,916126.1949,30.1357,13.8214,1.6875
2006-08-31,249.51,70470124.0,976702.1832,32.1283,14.7352,1.6875
2006-09-30,255.51,74272692.0,1000188.835,29.1898,13.6399,1.6875
2006-10-31,271.77,109274108.0,1063847.446,31.0476,14.5081,2.0625
2006-11-30,299.7,126424380.0,1173158.236,34.2378,15.9988,2.0625
2006-12-31,305.5,69388876.0,1195861.999,31.0634,14.7399,2.0625
2007-01-31,319.48,109514376.0,1250566.324,32.4844,15.4142,2.4375
2007-02-28,298.35,122604460.0,1167873.739,30.3364,14.3949,2.4375
2007-03-31,308.46,115559408.0,1207458.533,28.6649,13.6434,2.4375
2007-04-30,316.5,141700848.0,1238920.86,29.4118,13.9989,2.4375
2007-05-31,302.09,110934852.0,1182503.966,28.0725,13.3615,2.4375
2007-06-30,287.34,97163608.0,1124765.948,24.8163,11.4477,2.875
2007-07-31,289.08,116450476.0,1131567.291,24.9663,11.5169,3.25
2007-08-31,266.09,101835588.0,1041584.058,22.981,10.6011,3.25
2007-09-30,265.04,105292152.0,1037474.476,21.7713,10.5827,3.25
2007-10-31,259.5,189383420.0,1015798.242,21.3164,,3.25
2007-11-30,253.05,89178856.0,990550.0774,20.7866,,3.25
2007-12-31,269.35,85181488.0,1054355.516,21.1878,9.0383,3.25
2008-01-31,218.44,97585940.0,855061.3813,17.1829,7.3298,3.25
2008-02-29,219.35,80621536.0,858633.3115,17.2547,7.3605,3.25
2008-03-31,202.61,69613556.0,793115.3035,15.78,6.5009,3.25
2008-04-30,230.25,140507252.0,901300.7521,17.9324,7.3876,3.25
2008-05-31,259.79,163326340.0,1016923.645,20.2329,8.3354,3.25
2008-06-30,214.55,142045440.0,839843.9799,16.4219,6.4884,3.5
2008-07-31,208.44,150576020.0,815916.9404,15.954,6.3036,3.5
2008-08-31,203.05,77797424.0,794827.8728,15.5417,6.1406,3.5
2008-09-30,166.4,129736392.0,651363.4969,12.6879,4.7315,3.5
2008-10-31,134.38,215855336.0,526003.4248,10.246,3.8209,3.5
2008-11-30,139.85,167293504.0,547435.0062,10.6635,3.9766,3.5
2008-12-31,119.48,166110976.0,467678.2079,9.0478,3.1749,3.5
2009-01-31,127.9,168961356.0,500657.3993,9.6858,3.3988,3.5
2009-02-28,120.78,100863424.0,472766.9852,9.1462,3.2095,3.5
2009-03-31,134.64,141313916.0,527030.9664,10.0253,3.3784,3.5
2009-04-30,155.9,156934404.0,610261.8339,11.6086,3.9119,3.5
2009-05-31,176.15,244423936.0,689529.3268,13.1164,4.4201,3.5
2009-06-30,194.93,173030614.0,763022.5863,13.8764,4.5139,3.5
2009-07-31,262.98,222844180.0,1029400.357,18.7208,6.0898,3.75
2009-08-31,263.52,166692394.0,1031553.3,18.7599,6.1025,3.75
2009-09-30,310.5,145984122.0,1215434.208,20.7142,6.6594,3.75
2009-10-31,314.15,139943974.0,1229721.921,20.9577,6.7377,4.0
2009-11-30,344.2,91879378.0,1347350.9,22.9624,7.3822,4.0
2009-12-31,375.13,80427374.0,1468405.016,23.2064,7.4548,4.0
2010-01-31,368.1,128553824.0,1440906.061,22.7718,7.3152,4.25
2010-02-28,380.9,61349966.0,1491010.918,23.5637,7.5696,4.25
2010-03-31,390.33,86672778.0,1527904.533,21.8415,8.3189,4.25
2010-04-30,382.7,106340580.0,1498056.913,21.4148,8.1564,4.25
2010-05-31,371.53,72519646.0,1454313.025,20.7895,7.9182,4.25
2010-06-30,375.5,60875726.0,1469872.931,20.117,6.444,10.0
2010-07-31,419.9,94825402.0,1643674.152,22.4957,7.2059,10.0
2010-08-31,421.88,64453114.0,1651405.174,22.6015,7.2398,10.0
2010-09-30,463.48,82975612.0,1814245.957,23.3406,8.5022,10.0
2010-10-31,526.45,86730782.0,2060757.935,26.512,9.6574,10.0
2010-11-30,538.0,57602342.0,2105969.739,27.0936,9.8693,10.0
2010-12-31,582.83,63250520.0,2281434.597,27.5475,9.831,10.0
2011-01-31,579.75,79684926.0,2269397.688,27.4022,9.7792,10.0
2011-02-28,555.13,79330166.0,2173004.557,26.2383,9.3638,10.0
2011-03-31,591.95,80347420.0,2317153.88,26.0233,9.4947,10.0
2011-04-30,582.83,86975452.0,2281434.597,25.6221,9.3483,10.0
2011-05-31,578.58,47940644.0,2264798.219,25.4353,9.2801,10.0
2011-06-30,592.1,68100620.0,2317740.923,24.5512,8.3213,7.0
2011-07-31,568.5,72217568.0,2225360.217,23.5727,7.9896,7.5
2011-08-31,521.2,103609152.0,2040207.115,21.6114,7.3249,7.5
2011-09-30,518.65,93332432.0,2030225.411,20.7745,7.4004,7.5
2011-10-31,557.9,92075836.0,2183867.255,22.3467,7.9604,8.0
2011-11-30,557.78,55106270.0,2183377.95,22.3417,7.9586,8.0
2011-12-31,580.33,59633774.0,2271648.492,21.994,7.6656,8.0
2012-01-31,566.2,92088904.0,2216357.001,21.4586,7.4791,8.5
2012-02-29,610.97,62049372.0,2391626.014,23.1556,8.0705,8.5
2012-03-31,584.4,66738306.0,2287599.966,21.58,7.76,8.5
2012-04-30,623.3,86681726.0,2439871.633,23.0165,8.2766,8.5
2012-05-31,622.67,79206500.0,2437425.107,22.9934,8.2683,8.5
2012-06-30,638.72,44766944.0,2500251.777,21.7397,7.7237,12.5
2012-07-31,621.83,76037936.0,2434097.831,21.1645,7.5194,12.5
2012-08-31,671.88,39276848.0,2630015.648,22.868,8.1246,12.5
2012-09-30,647.95,65340250.0,2536362.626,20.1693,7.2364,12.5
2012-10-31,657.75,41769966.0,2574724.156,20.4743,7.3458,12.5
2012-11-30,657.0,30085284.0,2571788.325,20.451,7.3375,12.5
2012-12-31,627.92,56174784.0,2457975.927,18.5636,6.4621,12.5
2013-01-31,672.08,79054792.0,2630798.536,19.8688,6.9164,12.5
2013-02-28,758.5,59235748.0,2969104.177,22.4239,7.8059,12.5
2013-03-31,787.88,57191140.0,3084090.908,22.09,8.0011,12.5
2013-04-30,689.2,73778448.0,2697833.354,19.3234,6.999,12.5
2013-05-31,749.22,56344854.0,2932797.606,21.0063,7.6086,12.5
2013-06-30,759.08,61548288.0,2971354.981,20.2573,7.0693,11.0
2013-07-31,907.75,64107286.0,3553334.63,24.225,8.454,11.5
2013-08-31,1016.6,67139408.0,3979421.508,27.1298,9.4677,11.5
2013-09-30,963.9,66558248.0,3773130.665,23.8727,8.145,11.5
2013-10-31,1056.03,68475618.0,4136931.395,26.1543,8.9234,12.0
2013-11-30,1002.18,39468282.0,3925976.277,24.8206,8.4684,12.0
2013-12-31,1086.03,44778212.0,4254455.069,24.3932,8.352,12.0
2014-01-31,1120.53,71694010.0,4389607.295,25.1681,8.6174,12.5
2014-02-28,1137.88,48641516.0,4457575.03,25.5578,8.7508,12.5
2014-03-31,1066.57,70989714.0,4178260.186,21.8488,7.5508,12.5
2014-04-30,1094.6,53959088.0,4288047.008,22.4229,7.7492,12.5
2014-05-31,1070.68,68326270.0,4194322.245,21.9328,7.5798,12.5
2014-06-30,1212.7,51396110.0,4750698.417,23.5288,8.5206,16.0
2014-07-31,1290.03,40508692.0,5053616.054,25.029,9.0639,36.5
2014-08-31,1261.18,40082684.0,4940597.577,24.4693,8.8612,36.5
2014-09-30,1368.3,42018794.0,5360255.03,25.7387,10.5693,36.5
2014-10-31,1303.93,57456266.0,5108068.813,24.5278,10.0721,37.0
2014-11-30,1321.5,34477746.0,5176917.854,24.8584,10.2078,37.0
2014-12-31,1279.13,47073976.0,5010915.664,23.7596,9.0821,37.0
2015-01-31,1241.03,59178460.0,4861660.72,23.0519,8.8116,37.5
2015-02-28,1337.63,54816782.0,5240087.155,24.8462,9.4975,37.5
2015-03-31,1276.97,50345344.0,5002493.011,25.6524,9.8796,37.5
2015-04-30,1231.85,62727884.0,4825717.818,24.7459,9.5304,37.5
2015-05-31,1305.15,54279708.0,5112867.574,26.2184,10.0975,37.5
2015-06-30,1275.47,45874224.0,4996616.828,24.793,8.6794,39.5
2015-07-31,1255.38,50383800.0,4917876.088,24.4023,8.5426,19.75
2015-08-31,1282.03,54715856.0,5022276.408,24.9203,8.7239,19.75
2015-09-30,1294.03,46287776.0,5069285.878,24.2531,8.081,19.75
2015-10-31,1247.6,63645014.0,4916611.769,23.383,7.7911,20.0
2015-11-30,1182.35,35188842.0,4659470.918,22.1601,7.3836,20.0
2015-12-31,1218.43,44211206.0,4801637.666,22.1673,7.0688,20.0
2016-01-31,1195.65,50592744.0,4711884.548,21.7529,6.9366,20.25
2016-02-29,1088.4,39060832.0,4289227.747,19.8017,6.3144,20.25
2016-03-31,1260.15,45173264.0,4966069.757,20.4635,6.7853,20.25
2016-04-30,1267.75,52686534.0,4996020.14,20.5869,6.8262,20.25
2016-05-31,1284.7,36187586.0,5062817.402,20.8622,6.9175,20.25
2016-06-30,1276.55,46458352.0,5030699.918,20.2513,6.8648,21.75
2016-07-31,1309.65,55019250.0,5161142.127,20.7764,7.0428,22.25
2016-08-31,1255.65,48464736.0,4948335.906,19.9198,6.7524,22.25
2016-09-30,1215.4,59837742.0,4789716.453,18.8901,6.1019,22.25
2016-10-31,1195.53,45779072.0,4711391.941,18.5812,6.0022,22.75
2016-11-30,1138.03,60934980.0,4484792.724,17.6876,5.7135,22.75
2016-12-31,1182.78,44021230.0,4661146.028,17.9112,5.5591,22.75
