JSW IN Equity,price,volume,mc,pe,bm,div
2017-01-31,61.0,112587571.0,100043.3508,6.8539,1.0309,2.0
2017-02-28,65.2,73516021.0,106931.5815,7.3258,1.1019,2.0
2017-03-31,62.7,124282826.0,102831.4442,16.2435,0.9918,2.0
2017-04-30,67.05,215089280.0,109965.6832,17.3705,1.0606,2.0
2017-05-31,63.1,273799211.0,103487.4662,16.3472,0.9981,2.0
2017-06-30,64.05,104859459.0,105045.5184,16.5933,1.0131,0.5
2017-07-31,70.45,229858027.0,115541.8699,18.2513,1.1144,0.5
2017-08-31,67.45,234464750.0,110621.7051,17.4741,1.0669,0.5
2017-09-30,73.75,457716806.0,120954.0512,19.1062,1.1666,0.5
2017-10-31,85.4,273758831.0,140060.6912,22.1244,1.3508,0.5
2017-11-30,83.75,225482085.0,137354.5965,21.6969,1.3247,0.5
2017-12-31,92.4,246601697.0,151541.0712,23.9378,1.4616,0.5
2018-01-31,87.6,233818065.0,143668.8078,22.6943,1.3856,0.5
2018-02-28,80.7,57593256.0,132352.422,20.9067,1.2765,0.5
2018-03-31,72.8,42624471.0,119395.9891,151.6667,1.0747,0.5
2018-04-30,84.75,37658995.0,138994.6439,176.5625,1.2511,0.5
2018-05-31,82.25,51680919.0,134914.2402,171.3542,1.2142,0.5
2018-06-30,65.6,32306040.0,107603.3332,136.6667,0.9684,0.5
2018-07-31,65.9,25209912.0,108095.4217,137.2917,0.9728,0.0
2018-08-31,72.9,32109865.0,119614.6696,151.875,1.0762,0.0
2018-09-30,61.25,26412206.0,100499.2937,127.6042,0.9042,0.0
2018-10-31,64.95,22187485.0,106574.3449,135.3125,0.9588,0.0
2018-11-30,68.35,20699068.0,112153.2944,142.3958,1.009,0.0
2018-12-31,68.65,16964550.0,112645.5547,143.0208,1.0134,0.0
2019-01-31,66.85,16740977.0,109703.3627,139.2708,0.9869,0.0
2019-02-28,64.45,9501314.0,105764.8725,134.2708,0.9514,0.0
2019-03-31,72.6,50978492.0,119139.3288,17.1226,1.0078,0.0
2019-04-30,69.85,24024796.0,114656.1882,16.4741,0.9696,0.0
2019-05-31,73.35,16652202.0,120401.3086,17.2995,1.0182,0.0
2019-06-30,66.95,9348839.0,109895.9456,15.7901,0.9293,0.0
2019-07-31,68.05,13617159.0,111701.5548,16.0495,0.9446,0.0
2019-08-31,66.75,19518954.0,109567.653,15.7429,0.9266,1.0
2019-09-30,65.05,14346942.0,106806.9887,15.342,0.903,1.0
2019-10-31,68.05,11516716.0,111732.753,16.0495,0.9446,1.0
2019-11-30,73.3,24735443.0,120384.9854,17.2877,1.0175,1.0
2019-12-31,69.35,13177979.0,113897.6636,16.3561,0.9626,1.0
2020-01-31,63.05,16012161.0,103550.7958,14.8703,0.8752,1.0
2020-02-29,57.3,21425448.0,94107.226,13.5142,0.7954,1.0
2020-03-31,42.7,30647848.0,70128.7705,6.3731,0.602,1.0
2020-04-30,44.6,36648280.0,73249.2544,6.6567,0.6288,1.0
2020-05-31,40.05,31619230.0,65776.5166,5.9776,0.5647,1.0
2020-06-30,47.15,98270636.0,77437.2723,7.0373,0.6648,1.0
2020-07-31,45.9,30666843.0,75403.8989,6.8507,0.6471,1.0
2020-08-31,54.75,79655949.0,89942.5592,8.1716,0.7719,1.0
2020-09-30,56.4,75699695.0,92653.1569,8.4179,0.7952,1.0
2020-10-31,60.0,42049318.0,98567.1914,8.9552,0.8459,1.0
2020-11-30,61.9,53283057.0,101688.4858,9.2388,0.8727,1.0
2020-12-31,67.8,78379752.0,111380.9263,10.1194,0.9559,1.0
2021-01-31,72.25,94829203.0,118691.3263,10.7836,1.0186,1.0
2021-02-28,71.9,65042745.0,118116.351,10.7313,1.0137,1.0
2021-03-31,87.85,220369559.0,144318.796,18.1508,0.9945,1.0
2021-04-30,109.6,230857870.0,180049.4029,22.6446,1.2408,1.0
2021-05-31,117.75,137133665.0,193438.1131,24.3285,1.333,1.0
2021-06-30,167.75,196211115.0,275661.1503,34.6591,1.8991,1.0
2021-07-31,252.55,129260148.0,415011.7755,52.1798,2.8591,2.0
2021-08-31,264.65,52678240.0,434895.5311,54.6798,2.9961,2.0
2021-09-30,389.9,38660664.0,640744.6089,80.5579,4.414,2.0
2021-10-31,348.65,30961732.0,573191.6369,72.0351,3.947,2.0
2021-11-30,287.3,35309193.0,472330.2948,59.3595,3.2525,2.0
2021-12-31,300.5,17768406.0,494031.5126,62.0868,3.4019,2.0
2022-01-31,306.45,16334485.0,503813.501,63.3161,3.4693,2.0
2022-02-28,340.2,13409890.0,559299.5694,70.2893,3.8514,2.0
2022-03-31,302.2,10869533.0,496826.3664,28.7262,2.8529,2.0
2022-04-30,317.65,14962222.0,522226.6555,30.1949,2.9987,2.0
2022-05-31,276.65,23591387.0,454821.3576,26.2975,2.6117,2.0
2022-06-30,207.95,24082070.0,341876.3829,19.7671,1.9631,2.0
2022-07-31,238.75,28617694.0,392512.5579,22.6949,2.2539,2.0
2022-08-31,341.05,59432949.0,560696.9963,32.4192,3.2196,2.0
2022-09-30,300.35,38390360.0,493784.9079,28.5504,2.8354,2.0
2022-10-31,337.65,42700293.0,555107.2886,32.096,3.1875,2.0
2022-11-30,308.15,21507221.0,506806.8071,29.2918,2.9091,2.0
2022-12-31,287.6,21110010.0,473008.7221,27.3384,2.7151,2.0
2023-01-31,238.35,13303596.0,392008.4455,22.6568,2.2501,2.0
2023-02-28,234.65,21151316.0,385923.1455,22.3051,2.2152,2.0
2023-03-31,240.85,55741557.0,396120.1346,26.7314,2.121,2.0
2023-04-30,260.7,19938048.0,428766.9466,28.9345,2.2958,2.0
2023-05-31,254.05,29293042.0,417829.8535,28.1964,2.2373,2.0
2023-06-30,272.75,63384093.0,448585.2884,30.2719,2.402,2.0
2023-07-31,288.7,92213928.0,474817.8654,32.0422,2.5424,2.0
2023-08-31,350.95,179028457.0,577198.9257,38.9512,3.0906,2.0
2023-09-30,437.4,132129627.0,719381.1372,48.5461,3.8519,2.0
2023-10-31,385.8,129129727.0,634515.8727,42.8191,3.3975,2.0
2023-11-30,408.35,75250333.0,671603.309,45.3219,3.5961,2.0
2023-12-31,409.05,87532036.0,672754.582,45.3996,3.6023,2.0
2024-01-31,504.75,102990311.0,830150.0434,56.0211,4.4451,2.0
2024-02-29,508.3,87691249.0,835988.642,56.4151,4.4763,2.0
2024-03-31,528.9,60726225.0,869868.9608,50.3714,4.1669,2.0
2024-04-30,629.55,100935703.0,1100307.628,59.9571,4.9599,2.0
2024-05-31,613.0,162595063.0,1071382.061,58.381,4.8295,2.0
2024-06-30,734.5,85287802.0,1283735.927,69.9524,5.7867,2.0
2024-07-31,728.0,61791888.0,1272375.432,69.3333,5.7355,2.0
2024-08-31,711.15,49881629.0,1242925.534,67.7286,5.6027,2.0
2024-09-30,733.05,71763083.0,1281201.663,69.8143,5.7753,2.0
2024-10-31,679.15,51425568.0,1186996.944,64.681,5.3506,2.0
2024-11-30,654.65,61367507.0,1144176.616,62.3476,5.1576,2.0
2024-12-31,642.65,70020603.0,1123203.395,61.2048,5.0631,2.0
2025-01-31,508.6,110442576.0,888915.0342,48.4381,4.007,2.0
2025-02-28,464.1,135117213.0,811139.3381,44.2,3.6564,2.0
2025-03-31,537.9,102246460.0,940124.6498,48.0697,3.431,2.0
2025-04-30,479.2,75339168.0,837530.6417,42.8239,3.0566,2.0
2025-05-31,487.95,73550834.0,852823.6157,43.6059,3.1124,2.0
2025-06-30,522.1,78945576.0,912509.9083,46.6577,3.3302,2.0
2025-07-31,515.05,78091113.0,900188.1407,46.0277,3.2852,2.0
2025-08-31,488.45,69110491.0,853697.4999,43.6506,3.1156,2.0
2025-09-30,530.85,48005584.0,927802.8822,47.4397,3.386,2.0
2025-10-31,527.45,55868471.0,921860.4695,47.1358,3.3643,2.0
2025-11-30,488.65,44415123.0,854047.0536,43.6685,3.1169,2.0
2025-12-31,482.45,93643174.0,843210.8892,43.1144,3.0773,2.0
2026-01-31,459.8,78556404.0,803623.9338,41.0903,2.9328,2.0
2026-02-28,487.75,42217899.0,857119.2998,43.588,3.1111,2.0
2026-03-31,478.75,5720335.0,841303.6695,42.7837,3.0537,2.0
