JSW IN Equity,price,volume,mc,pe,bm,div
2009-12-31,100.0,,,49.505,3.6939,0.0
2010-01-31,106.75,385899134.0,175075.877,52.8465,3.9433,0.0
2010-02-28,103.65,65126393.0,169991.7063,51.3119,3.8288,0.0
2010-03-31,111.85,62927572.0,183440.1578,21.6344,3.8375,0.0
2010-04-30,125.65,88236599.0,206072.9175,24.3037,4.311,0.0
2010-05-31,119.2,63114416.0,195494.5624,23.0561,4.0897,0.0
2010-06-30,125.35,48012078.0,205580.901,24.2456,4.3007,0.75
2010-07-31,126.8,41309125.0,207958.9808,24.5261,4.3504,0.75
2010-08-31,127.05,41556742.0,208368.9946,24.5745,4.359,0.75
2010-09-30,118.45,50272698.0,194264.5211,22.911,4.0639,0.75
2010-10-31,119.3,41421065.0,195658.5679,23.0754,4.0931,0.75
2010-11-30,100.4,49940456.0,164661.5274,19.4197,3.4447,0.75
2010-12-31,99.65,37930383.0,163431.4861,19.2747,3.4189,0.75
2011-01-31,81.0,25118696.0,132844.4594,15.6673,2.7791,0.75
2011-02-28,74.4,24968814.0,122020.096,14.3907,2.5526,0.75
2011-03-31,71.65,18061437.0,117509.9446,13.9669,2.0701,0.75
2011-04-30,74.5,24758862.0,122184.1015,14.5224,2.1525,0.75
2011-05-31,70.05,40741461.0,114885.8565,13.655,2.0239,0.75
2011-06-30,66.85,16200641.0,109637.6803,13.0312,1.9314,1.0
2011-07-31,67.6,39363362.0,110867.7216,13.1774,1.9531,1.0
2011-08-31,54.3,21213457.0,89054.9894,10.5848,1.5688,1.0
2011-09-30,54.5,24876041.0,89383.0004,10.6238,1.5746,1.0
2011-10-31,52.05,19589200.0,85364.8655,10.1462,1.5038,1.0
2011-11-30,42.9,20298251.0,70358.3618,8.3626,1.2395,1.0
2011-12-31,37.75,13678349.0,61912.0783,7.3587,1.0907,1.0
2012-01-31,53.95,61977842.0,88480.9701,10.5166,1.5587,1.0
2012-02-29,64.7,115485894.0,106111.562,12.6121,1.8693,1.0
2012-03-31,61.3,73685930.0,100535.3673,58.9423,1.7638,1.0
2012-04-30,49.05,46613562.0,80444.6944,47.1635,1.4113,1.0
2012-05-31,45.0,55405868.0,73802.4719,43.2692,1.2948,1.0
2012-06-30,52.5,73337059.0,86102.8839,50.4808,1.5106,0.5
2012-07-31,49.8,64196746.0,81674.7356,47.8846,1.4329,0.5
2012-08-31,45.85,28763536.0,75196.5186,44.0865,1.3192,0.5
2012-09-30,60.75,48083134.0,99633.3371,58.4135,1.7479,0.5
2012-10-31,63.8,29738767.0,104635.5046,61.3462,1.8357,0.5
2012-11-30,61.8,32015497.0,101355.3948,59.4231,1.7781,0.5
2012-12-31,68.0,54779698.0,111523.7354,65.3846,1.9565,0.5
2013-01-31,71.15,65550308.0,116689.9084,68.4135,2.0472,0.5
2013-02-28,54.3,25555090.0,89054.9828,52.2115,1.5623,0.5
2013-03-31,54.7,18792063.0,89711.0048,9.9274,1.4461,0.5
2013-04-30,65.65,22881826.0,107669.6063,11.9147,1.7356,0.5
2013-05-31,55.75,53307655.0,91433.0624,10.118,1.4738,0.5
2013-06-30,43.5,61686444.0,71342.3895,7.8947,1.15,0.5
2013-07-31,41.7,49114336.0,68390.2906,7.5681,1.1024,2.0
2013-08-31,38.55,53394712.0,63224.1176,6.9964,1.0191,2.0
2013-09-30,43.9,34959644.0,71998.4115,7.9673,1.1606,2.0
2013-10-31,46.55,28053295.0,76344.5571,8.4483,1.2306,2.0
2013-11-30,52.0,33573707.0,85282.8564,9.4374,1.3747,2.0
2013-12-31,56.45,33853232.0,92581.1009,10.245,1.4923,2.0
2014-01-31,44.1,24737980.0,72326.4225,8.0036,1.1658,2.0
2014-02-28,50.3,31842194.0,82494.7631,9.1289,1.3298,2.0
2014-03-31,59.25,42157608.0,97173.2547,12.8804,1.4788,2.0
2014-04-30,53.6,52211149.0,87906.9443,11.6522,1.3378,2.0
2014-05-31,73.65,74915338.0,120790.0457,16.0109,1.8382,2.0
2014-06-30,84.35,72019821.0,138338.6335,18.337,2.1052,2.0
2014-07-31,75.3,78291885.0,123496.1364,16.3696,1.8794,2.0
2014-08-31,76.05,40650149.0,124726.1776,16.5326,1.8981,2.0
2014-09-30,70.7,58208756.0,115951.8837,15.3696,1.7646,2.0
2014-10-31,80.3,27542731.0,131696.411,17.4565,2.0042,2.0
2014-11-30,94.0,78775350.0,154165.1636,20.4348,2.3461,2.0
2014-12-31,102.75,102052597.0,168515.6442,22.337,2.5645,2.0
2015-01-31,121.05,85562113.0,198528.6495,26.3152,3.0212,2.0
2015-02-28,114.7,91824796.0,188114.3147,24.9348,2.8627,2.0
2015-03-31,119.2,93923890.0,195494.5479,14.4836,2.6003,2.0
2015-04-30,114.5,74954683.0,187786.2897,13.9125,2.4978,2.0
2015-05-31,112.15,40698559.0,183932.1606,13.627,2.4466,2.0
2015-06-30,98.3,31910495.0,161217.3998,11.9441,2.1444,2.0
2015-07-31,84.3,50400703.0,138256.6307,10.243,1.839,2.0
2015-08-31,76.05,54752446.0,124726.1776,9.2406,1.659,2.0
2015-09-30,94.2,71799470.0,154493.1746,11.4459,2.055,2.0
2015-10-31,93.3,72299928.0,153017.1251,11.3366,2.0353,2.0
2015-11-30,85.65,34237370.0,140470.7049,10.407,1.8685,2.0
2015-12-31,85.05,44091601.0,139486.6719,10.3341,1.8554,2.0
2016-01-31,76.65,57478115.0,125710.2105,9.3135,1.6721,2.0
2016-02-29,61.75,41162882.0,101273.392,7.503,1.3471,2.0
2016-03-31,69.55,52040248.0,114065.8205,7.8146,1.1754,2.0
2016-04-30,67.7,56679482.0,111031.7189,7.6067,1.1442,2.0
2016-05-31,71.15,44238184.0,116689.9084,7.9944,1.2025,2.0
2016-06-30,83.9,124431415.0,137600.6088,9.427,1.418,2.0
2016-07-31,82.55,65921430.0,135386.5346,9.2753,1.3951,2.0
2016-08-31,77.7,87797158.0,127432.2682,8.7303,1.3132,2.0
2016-09-30,73.05,63836454.0,119806.0128,8.2079,1.2346,2.0
2016-10-31,65.7,45662369.0,107751.609,7.382,1.1104,2.0
2016-11-30,59.6,70036141.0,97747.2739,6.6966,1.0073,2.0
2016-12-31,60.85,77467671.0,99797.3426,6.8371,1.0284,2.0
