CBK IN Equity,price,volume,mc,pe,bm,div
2002-12-31,9.66,92402142.0,20356.5,,,0.0
2003-01-31,12.12,245843537.0,25543.0,,,0.0
2003-02-28,12.07,238758311.0,25440.5,,,0.0
2003-03-31,13.85,176250356.0,29192.0,,,0.0
2003-04-30,17.25,195022747.0,36346.5,,,0.0
2003-05-31,22.49,340923056.0,47396.0,,,0.0
2003-06-30,18.55,229750652.0,39093.5,,,0.0
2003-07-31,20.88,206959749.0,44013.5,,,0.6809
2003-08-31,24.15,264857714.0,50901.5,,,0.6809
2003-09-30,23.84,175099886.0,50245.5,,,0.6809
2003-10-31,26.15,244888732.0,55124.5,,,0.6809
2003-11-30,24.09,94734037.0,50778.5,,,0.6809
2003-12-31,26.53,80359588.0,55924.0,,,0.6809
2004-01-31,26.5,169703641.0,55862.5,,,0.9727
2004-02-29,25.21,112127476.0,53136.0,,,0.9727
2004-03-31,28.13,84192108.0,59286.0,,,0.9727
2004-04-30,32.19,132323969.0,67855.0,,,0.9727
2004-05-31,21.38,127208476.0,45059.0,,,0.9727
2004-06-30,23.51,143055241.0,49548.5,,,0.9727
2004-07-31,24.33,86288581.0,51270.5,,,0.9727
2004-08-31,25.85,53564265.0,54489.0,,,0.9727
2004-09-30,30.14,44808838.0,63529.5,,,0.9727
2004-10-31,28.38,18587300.0,59819.0,,,0.9727
2004-11-30,34.03,22324241.0,71729.5,,,0.9727
2004-12-31,41.36,53096751.0,87166.0,,,0.9727
2005-01-31,40.75,397581409.0,85895.0,,,0.9727
2005-02-28,42.51,201488447.0,89605.5,,,0.9727
2005-03-31,38.91,247238116.0,82000.0,,,0.9727
2005-04-30,33.99,119618081.0,71647.5,,,0.9727
2005-05-31,38.82,164835682.0,81815.5,,,0.9727
2005-06-30,41.14,130591685.0,86715.0,,,0.9727
2005-07-31,48.55,112317276.0,102315.5,,,1.0699
2005-08-31,43.66,86143710.0,92024.5,,,1.0699
2005-09-30,45.11,72613866.0,95079.0,,,1.0699
2005-10-31,39.31,76700053.0,82861.0,,,1.0699
2005-11-30,40.76,74142291.0,85915.5,,,1.0699
2005-12-31,46.93,172791247.0,98912.5,,,1.0699
2006-01-31,48.77,129512689.0,102787.0,,,1.0699
2006-02-28,55.68,240995821.0,117362.5,,,1.0699
2006-03-31,52.01,91369854.0,109613.5,,,1.0699
2006-04-30,49.45,61855113.0,100696.0,,,0.5836
2006-05-31,44.49,74529294.0,93767.0,,,0.5836
2006-06-30,39.05,37252052.0,82307.5,,,1.2839
2006-07-31,38.19,51491048.0,80483.0,,,1.2839
2006-08-31,43.01,80334898.0,90651.0,,,1.2839
2006-09-30,55.29,91872524.0,116522.0,,,1.2839
2006-10-31,57.16,65465381.0,120478.5,,,1.2839
2006-11-30,57.99,84765821.0,122221.0,,,1.2839
2006-12-31,53.73,48434697.0,113242.0,,,1.2839
2007-01-31,46.93,58659823.0,98912.5,,,1.2839
2007-02-28,40.55,72678396.0,85464.5,,,1.2839
2007-03-31,37.88,81351147.0,79847.5,,,1.2839
2007-04-30,42.21,57572423.0,88970.0,,,1.2839
2007-05-31,47.54,88309087.0,100204.0,,,1.2839
2007-06-30,52.5,66175391.0,110659.0,,,1.3617
2007-07-31,50.92,81131414.0,107317.5,,,1.3617
2007-08-31,47.5,67994263.0,100122.0,,,1.3617
2007-09-30,54.08,46908092.0,113980.0,,,1.3617
2007-10-31,57.09,54174522.0,120314.5,,,1.3617
2007-11-30,52.91,65845408.0,111520.0,,,1.3617
2007-12-31,64.48,64844452.0,135894.5,,,1.3617
2008-01-31,56.45,166859010.0,118982.0,,,1.3617
2008-02-29,54.14,139196529.0,114103.0,,,1.3617
2008-03-31,43.79,98751597.0,92291.0,,,1.3617
2008-04-30,46.12,76914296.0,97211.0,,,1.3617
2008-05-31,41.81,47822532.0,88129.5,,,1.3617
2008-06-30,34.64,73165588.0,73000.5,,,1.5562
2008-07-31,35.54,114251436.0,74907.0,,,1.5562
2008-08-31,41.9,65400651.0,88314.0,,,1.5562
2008-09-30,36.83,103787504.0,77633.5,,,1.5562
2008-10-31,32.32,142160139.0,68121.5,,,1.5562
2008-11-30,32.91,90081648.0,69372.0,,,1.5562
2008-12-31,36.59,129856907.0,77121.0,,,1.5562
2009-01-31,35.14,180279220.0,74066.5,,,1.5562
2009-02-28,32.2,62335474.0,67875.5,,,1.5562
2009-03-31,32.23,124926721.0,67937.0,,,1.5562
2009-04-30,38.51,121836499.0,81159.5,,,1.5562
2009-05-31,55.21,140695982.0,116358.0,,,1.5562
