POWF IN Equity,price,volume,mc,pe,bm,div
2007-02-28,44.42,520514093.0,127459.4947,,,0.0
2007-03-31,41.72,131682980.0,119712.0693,,,0.0
2007-04-30,49.76,191181930.0,142782.1804,,,0.0
2007-05-31,63.48,284391598.0,182150.579,,,0.0
2007-06-30,59.16,181441015.0,169754.6984,,,0.0
2007-07-31,74.44,383066953.0,213599.3873,,,0.0
2007-08-31,70.46,197853565.0,202179.1084,,,0.0
2007-09-30,80.74,189527915.0,231676.7624,,,0.4
2007-10-31,98.72,275472513.0,283268.8876,,,0.4
2007-11-30,97.68,144546258.0,280284.6935,,,0.4
2007-12-31,105.46,50487950.0,302608.7611,,,0.4
2008-01-31,76.18,71445533.0,218592.219,,,0.4
2008-02-29,74.98,89367670.0,215148.9181,,,1.4
2008-03-31,64.86,95040353.0,186110.4138,,,1.4
2008-04-30,64.94,52017628.0,186339.9672,,,1.4
2008-05-31,56.1,119334243.0,160974.3172,,,1.4
2008-06-30,40.96,73426983.0,117531.3375,,,1.4
2008-07-31,53.46,93033118.0,153399.0552,,,1.4
2008-08-31,53.7,57399588.0,154087.7154,,,1.4
2008-09-30,49.8,44837755.0,142896.9875,,,1.4
2008-10-31,41.54,42958028.0,119195.5996,,,1.4
2008-11-30,44.22,31080768.0,126885.6383,,,1.4
2008-12-31,53.24,46126158.0,152767.7834,,,1.4
2009-01-31,55.54,28502395.0,159367.4435,,,1.4
2009-02-28,57.74,20423443.0,165680.1618,,,1.46
2009-03-31,57.84,33596573.0,165967.1035,8.3835,1.441,1.46
2009-04-30,61.54,116684983.0,176583.948,8.9198,1.5332,1.46
2009-05-31,77.46,69352060.0,222265.0733,11.2273,1.9298,1.46
2009-06-30,77.62,88896840.0,222724.1801,11.2505,1.9338,1.46
2009-07-31,93.58,85362343.0,268520.0821,13.5637,2.3314,1.46
2009-08-31,96.48,38995915.0,276841.3926,13.9841,2.4036,1.46
2009-09-30,91.6,38029493.0,262838.6356,13.2768,2.2821,1.6
2009-10-31,88.68,35597983.0,254459.9368,12.8535,2.2093,1.6
2009-11-30,100.46,56215743.0,288261.674,14.5609,2.5028,1.6
2009-12-31,104.58,48133715.0,300083.6737,15.1581,2.6054,1.6
2010-01-31,96.86,27381875.0,277931.7712,14.0392,2.4131,1.6
2010-02-28,100.12,27323855.0,287286.072,14.5117,2.4943,1.74
2010-03-31,103.34,25859378.0,296525.5961,12.4686,2.2309,1.74
2010-04-30,107.62,27581630.0,308806.7027,12.985,2.3233,1.74
2010-05-31,118.48,18301808.0,339968.5759,14.2954,2.5578,1.74
2010-06-30,120.06,28645395.0,344502.2554,14.486,2.5919,1.74
2010-07-31,127.36,46220590.0,365449.0025,15.3668,2.7495,1.74
2010-08-31,139.66,27211985.0,400742.8368,16.8509,3.015,1.74
2010-09-30,137.4,25914123.0,394257.9534,16.5782,2.9662,1.8
2010-10-31,144.0,26885400.0,413196.1084,17.3745,3.1087,1.8
2010-11-30,134.7,26668283.0,386510.5264,16.2524,2.9079,1.8
2010-12-31,124.12,27021525.0,356152.0901,14.9759,2.6795,1.8
2011-01-31,98.08,39795168.0,281432.4605,11.834,2.1174,2.0
2011-02-28,99.28,26668963.0,284875.7614,11.9788,2.1433,2.0
2011-03-31,99.98,42157513.0,286884.3536,10.8391,1.8823,2.0
2011-04-30,92.64,53565808.0,265822.8297,10.0434,1.7442,2.0
2011-05-31,80.9,364990590.0,266956.199,8.7706,1.5231,2.0
2011-06-30,73.54,170225463.0,242669.4995,7.9727,1.3846,2.0
2011-07-31,73.66,281634610.0,243065.4791,7.9857,1.3868,2.0
2011-08-31,58.22,229617250.0,192116.1036,6.3118,1.0961,2.0
2011-09-30,60.0,153298023.0,197989.801,6.5048,1.1296,2.0
2011-10-31,59.98,109502848.0,197923.8044,6.5026,1.1293,2.0
2011-11-30,64.74,296746790.0,213630.9953,7.0186,1.2189,2.0
2011-12-31,55.26,244080960.0,182348.6067,5.9909,1.0404,2.0
2012-01-31,67.96,153955130.0,224256.448,7.3677,1.2795,2.0
2012-02-29,79.62,253795318.0,262732.466,8.6318,1.499,2.6
2012-03-31,73.82,221302960.0,243593.3843,7.8131,1.1715,2.6
2012-04-30,68.06,145496575.0,224586.3687,7.2035,1.0801,2.6
2012-05-31,59.56,200298478.0,196537.8213,6.3039,0.9452,2.6
2012-06-30,71.5,157281910.0,235937.7808,7.5676,1.1347,2.6
2012-07-31,69.26,127711778.0,228546.1636,7.3305,1.0992,2.6
2012-08-31,64.12,155631555.0,211597.0958,6.7865,1.0176,2.6
2012-09-30,75.58,224845795.0,249415.2917,7.9994,1.1995,2.4
2012-10-31,74.14,180193415.0,244663.267,7.847,1.1766,2.4
2012-11-30,76.98,115353500.0,254036.3962,8.1476,1.2217,2.4
2012-12-31,81.48,119511435.0,268886.5363,8.6239,1.2931,2.4
2013-01-31,84.44,157238010.0,278654.6284,8.9372,1.3401,2.4
2013-02-28,80.58,189933038.0,265917.0247,8.5286,1.2788,2.8
2013-03-31,72.28,142214970.0,238526.7131,5.3748,1.0073,2.8
2013-04-30,77.94,92794628.0,257204.9256,5.7957,1.0862,2.8
2013-05-31,73.22,120117533.0,241628.7484,5.4447,1.0204,2.8
2013-06-30,57.64,204703715.0,190214.1636,4.2861,0.8033,2.8
2013-07-31,43.24,288102653.0,142695.9851,3.2153,0.6026,2.8
2013-08-31,43.64,249884435.0,144016.022,3.2451,0.6082,2.8
2013-09-30,52.36,169429643.0,172792.8257,3.8935,0.7297,2.8
2013-10-31,53.76,123913583.0,177412.9547,3.9976,0.7492,2.8
2013-11-30,63.66,163256648.0,210084.3528,4.7338,0.8872,2.8
2013-12-31,66.78,122058435.0,220380.6641,4.9658,0.9307,2.8
2014-01-31,54.46,125738320.0,179723.4347,4.0497,0.759,2.8
2014-02-28,65.84,135404185.0,217278.5703,4.8959,0.9176,3.92
2014-03-31,77.28,195265875.0,255031.712,4.6689,0.9266,3.92
2014-04-30,73.54,151331688.0,242689.4958,4.443,0.8818,3.92
2014-05-31,116.78,350562845.0,385385.9032,7.0553,1.4002,3.92
2014-06-30,122.84,259363788.0,405384.5209,7.4215,1.4729,3.92
2014-07-31,107.34,355148205.0,354232.941,6.485,1.2871,3.92
2014-08-31,100.04,187816070.0,330142.1969,6.044,1.1995,3.92
2014-09-30,93.84,170687388.0,309681.565,5.6694,1.1252,3.6
2014-10-31,112.94,155921223.0,372713.5118,6.8233,1.3542,3.6
2014-11-30,123.88,157242025.0,408816.6269,7.4843,1.4854,3.6
2014-12-31,120.56,149278678.0,397860.2885,7.2837,1.4456,3.6
2015-01-31,119.38,164956918.0,393966.1682,7.2124,1.4314,3.6
2015-02-28,117.24,135601470.0,386904.0217,7.0831,1.4058,3.6
2015-03-31,109.22,133764715.0,360437.1327,6.0024,1.1121,3.48
2015-04-30,106.26,91997135.0,350668.8309,5.8397,1.0819,3.48
2015-05-31,109.04,110194388.0,359843.1143,5.9925,1.1102,3.48
2015-06-30,102.4,80164335.0,337930.4375,5.6276,1.0426,3.48
2015-07-31,98.46,128936185.0,324928.0359,5.4111,1.0025,3.48
2015-08-31,89.66,123292355.0,295887.1389,4.9275,0.9129,3.48
2015-09-30,92.04,111596878.0,303741.3815,5.0583,0.9371,3.64
2015-10-31,95.92,107453278.0,316545.777,5.2715,0.9767,3.64
2015-11-30,85.32,130384733.0,281564.6966,4.6889,0.8687,3.64
2015-12-31,80.56,123515693.0,265856.2114,4.4273,0.8203,3.76
2016-01-31,70.04,151529270.0,231139.1391,3.8492,0.7131,3.76
2016-02-29,61.7,192327820.0,203616.289,3.3909,0.6282,8.96
2016-03-31,68.54,88715625.0,226188.9862,3.6574,0.6278,5.56
2016-04-30,71.74,94962780.0,236749.3124,3.8282,0.6571,5.56
2016-05-31,65.48,114283748.0,216090.6743,3.4941,0.5998,5.56
2016-06-30,67.76,113892080.0,223614.9067,3.6158,0.6207,5.56
2016-07-31,87.22,174635323.0,287834.8902,4.6542,0.7989,5.56
