TPW IN Equity,price,volume,mc,pe,bm,div
2011-07-31,240.5,1523508.0,113623.7435,10.7751,2.3777,5.5
2011-08-31,224.35,2212154.0,105993.7084,10.0515,2.218,5.5
2011-09-30,223.75,2106503.0,105710.2396,10.0246,2.2121,5.5
2011-10-31,235.05,2123136.0,111048.9019,10.5309,2.3238,5.5
2011-11-30,200.1,1732796.0,94536.8444,8.9651,1.9783,5.5
2011-12-31,197.05,729328.0,93095.878,8.8284,1.9481,5.5
2012-01-31,206.9,2320591.0,97749.4908,9.2697,2.0455,8.5
2012-02-29,220.75,8188470.0,104292.8956,9.8902,2.1824,8.5
2012-03-31,201.75,1694122.0,95316.4452,7.6103,1.6552,8.5
2012-04-30,203.85,1772069.0,96308.5866,7.6896,1.6724,8.5
2012-05-31,198.9,2275783.0,93969.9675,7.5028,1.6318,8.5
2012-06-30,182.0,1179218.0,85985.5912,6.8653,1.4932,6.5
2012-07-31,159.1,3022141.0,75166.525,6.0015,1.3053,6.5
2012-08-31,148.3,1716771.0,70064.0834,5.5941,1.2167,6.5
2012-09-30,175.85,19508015.0,83080.0341,6.6333,1.4427,6.5
2012-10-31,153.7,3518441.0,72615.3042,5.7978,1.261,6.5
2012-11-30,160.6,2408449.0,75875.1975,6.0581,1.3176,6.5
2012-12-31,193.5,11595576.0,91418.7467,7.2991,1.5875,6.5
2013-01-31,168.3,10401332.0,79513.0494,6.3485,1.3808,6.5
2013-02-28,163.55,2526204.0,77268.92,6.1694,1.3418,6.5
2013-03-31,138.15,2601672.0,65268.7331,16.8681,1.0695,3.5
2013-04-30,141.4,2141830.0,66804.1901,17.265,1.0946,3.5
2013-05-31,126.7,5611036.0,59859.2,15.4701,0.9808,3.5
2013-06-30,108.85,2336511.0,51425.9978,13.2906,0.8426,2.0
2013-07-31,74.35,1804431.0,35126.5313,9.0781,0.5756,2.0
2013-08-31,75.05,10263808.0,35457.2452,9.1636,0.581,2.0
2013-09-30,70.55,12839329.0,33331.2278,8.6142,0.5461,2.0
2013-10-31,84.2,13752460.0,39780.1471,10.2808,0.6518,2.0
2013-11-30,124.9,47043464.0,59008.7931,15.2503,0.9669,2.0
2013-12-31,119.95,24215774.0,56670.174,14.6459,0.9286,2.0
2014-01-31,94.9,9611626.0,44835.344,11.5873,0.7346,2.0
2014-02-28,83.35,5219563.0,39378.5661,10.177,0.6452,2.0
2014-03-31,94.0,38750160.0,44410.1405,42.1525,0.7157,2.0
2014-04-30,104.3,34535692.0,49276.358,46.7713,0.7941,2.0
2014-05-31,157.1,82097375.0,74221.6284,70.4484,1.1961,2.0
2014-06-30,159.85,24098522.0,75520.8613,71.6816,1.217,0.5
2014-07-31,140.0,20588654.0,66142.7625,62.7803,1.0659,0.5
2014-08-31,134.05,20155602.0,63331.695,60.1121,1.0206,0.5
2014-09-30,136.1,34777777.0,64300.2141,61.0314,1.0362,0.5
2014-10-31,164.65,18680559.0,77788.6131,73.8341,1.2536,0.5
2014-11-30,157.3,13450107.0,74316.1181,70.5381,1.1976,0.5
2014-12-31,158.7,24994401.0,74977.5457,71.1659,1.2083,0.5
2015-01-31,171.75,22475865.0,81142.9961,77.0179,1.3076,0.5
2015-02-28,169.25,9138295.0,79961.8237,75.8969,1.2886,0.5
2015-03-31,163.55,12751267.0,77268.92,21.4915,1.1787,0.5
2015-04-30,165.1,6581650.0,78001.2149,21.6951,1.1898,0.5
2015-05-31,162.4,7039753.0,76725.6044,21.3403,1.1704,0.5
2015-06-30,140.0,5694424.0,66142.7625,18.3968,1.0089,1.5
2015-07-31,146.2,7587259.0,69071.9419,19.2116,1.0536,1.5
2015-08-31,154.55,19979396.0,73016.8853,20.3088,1.1138,1.5
2015-09-30,178.15,9098335.0,84166.6652,23.41,1.2839,1.5
2015-10-31,194.3,19951506.0,91796.7053,25.5322,1.4003,1.5
2015-11-30,184.55,8359622.0,88697.8287,24.251,1.33,1.5
2015-12-31,173.55,12407965.0,83411.044,22.8055,1.2507,1.5
2016-01-31,234.0,52365489.0,112464.329,30.749,1.6864,1.5
2016-02-29,227.75,22939395.0,109460.4741,29.9277,1.6413,1.5
2016-03-31,231.9,25301414.0,111455.0338,12.3812,1.7225,4.5
2016-04-30,234.75,9933659.0,112824.7916,12.5334,1.7437,4.5
2016-05-31,184.5,19195189.0,88673.7979,9.8505,1.3704,4.5
2016-06-30,175.35,12854349.0,84276.1543,9.362,1.3025,4.5
2016-07-31,169.55,13199122.0,81488.5769,9.0523,1.2594,4.5
2016-08-31,188.45,20664148.0,90572.2342,10.0614,1.3998,4.5
2016-09-30,180.3,12964983.0,86655.2074,9.6263,1.3392,4.5
2016-10-31,173.4,13905759.0,83338.9515,9.2579,1.288,4.5
2016-11-30,178.35,12264853.0,85718.0046,9.5222,1.3248,4.5
2016-12-31,179.0,11478470.0,86030.4055,9.5569,1.3296,4.5
2017-01-31,194.05,32331346.0,93263.6882,10.3604,1.4414,4.5
2017-02-28,205.3,19016608.0,98670.6271,10.961,1.5249,4.5
2017-03-31,230.35,27630527.0,110710.0778,25.7951,1.6063,4.5
2017-04-30,227.25,21743901.0,109220.1657,25.4479,1.5847,4.5
2017-05-31,190.8,22821186.0,91701.6837,21.3662,1.3305,0.0
2017-06-30,177.65,15256507.0,85381.5729,19.8936,1.2388,2.2
2017-07-31,181.95,13829016.0,87448.2251,20.3751,1.2688,2.2
2017-08-31,210.15,51783472.0,101001.6186,23.533,1.4655,2.2
2017-09-30,210.6,33671249.0,101217.8961,23.5834,1.4686,2.2
2017-10-31,271.3,34330102.0,130391.3353,30.3807,1.8919,2.2
2017-11-30,286.4,37422038.0,137648.6507,32.0717,1.9972,2.2
2017-12-31,283.25,23560787.0,136134.7078,31.7189,1.9752,2.2
2018-01-31,285.45,40522357.0,137192.0647,31.9653,1.9906,2.2
2018-02-28,264.65,28896391.0,127195.2319,29.6361,1.8455,2.2
2018-03-31,229.25,22690361.0,110181.3977,11.6905,1.4273,2.2
2018-04-30,247.05,18032261.0,118736.3765,12.5982,1.5381,2.2
2018-05-31,262.3,19739181.0,126065.7824,13.3758,1.6331,2.2
2018-06-30,227.15,24966043.0,109172.1025,11.5834,1.4142,5.0
2018-07-31,240.45,16440878.0,115564.3057,12.2616,1.497,5.0
2018-08-31,263.6,28082607.0,126690.5843,13.4421,1.6412,5.0
2018-09-30,220.4,28025406.0,105927.9392,11.2392,1.3722,5.0
2018-10-31,257.75,34178115.0,123878.9761,13.1438,1.6047,5.0
2018-11-30,270.9,25351506.0,130199.0868,13.8144,1.6866,5.0
2018-12-31,261.8,34743531.0,125825.4741,13.3503,1.63,5.0
2019-01-31,247.3,31164085.0,118856.5307,12.6109,1.5397,5.0
2019-02-28,242.95,28002433.0,116765.8477,12.3891,1.5126,5.0
2019-03-31,257.5,65834695.0,123758.8219,13.7701,1.3797,5.0
2019-04-30,253.2,18262132.0,121692.1697,13.5401,1.3566,5.0
2019-05-31,245.95,16260595.0,118207.698,13.1524,1.3178,5.0
2019-06-30,281.3,29366464.0,135197.5013,15.0428,1.5072,5.0
2019-07-31,305.3,48834895.0,146732.3042,16.3262,1.6358,5.0
2019-08-31,278.0,26774779.0,133611.466,14.8663,1.4895,5.0
2019-09-30,287.5,20655015.0,138177.3254,15.3743,1.5404,5.0
2019-10-31,280.15,18320476.0,134644.792,14.9813,1.501,5.0
2019-11-30,280.1,31026522.0,134620.7612,14.9786,1.5008,5.0
2019-12-31,284.0,18626843.0,136495.1667,15.1872,1.5216,5.0
2020-01-31,309.8,27442330.0,148895.0797,16.5668,1.6599,5.0
2020-02-29,302.95,38340880.0,145602.8547,16.2005,1.6232,11.6
2020-03-31,279.05,34615682.0,134116.1136,11.4224,1.4652,11.6
2020-04-30,330.3,22643561.0,158747.7238,13.5203,1.7343,11.6
2020-05-31,318.45,38013089.0,153052.4149,13.0352,1.6721,11.6
2020-06-30,318.75,27724448.0,153196.5999,13.0475,1.6736,11.6
2020-07-31,325.45,23785067.0,156416.7324,13.3217,1.7088,11.6
2020-08-31,332.9,46902048.0,159997.3274,13.6267,1.7479,11.6
2020-09-30,313.35,20937090.0,150601.2693,12.8264,1.6453,11.6
2020-10-31,312.2,20412025.0,150048.564,12.7794,1.6392,11.6
2020-11-30,316.0,27271086.0,151874.9079,12.9349,1.6592,11.6
2020-12-31,317.4,34017355.0,152547.7714,12.9922,1.6665,11.6
2021-01-31,308.8,34397193.0,148414.4669,12.6402,1.6214,11.6
2021-02-28,381.8,62277709.0,183499.4931,15.6283,2.0047,5.5
2021-03-31,423.8,39958503.0,203685.3986,15.7781,2.0,5.5
2021-04-30,396.3,19573008.0,190468.4367,14.7543,1.8702,5.5
2021-05-31,432.85,41603737.0,208034.9806,16.115,2.0427,5.5
2021-06-30,460.1,55664507.0,221131.7883,17.1296,2.1713,11.0
2021-07-31,455.2,17553240.0,218776.7601,16.9471,2.1482,11.0
2021-08-31,481.5,27966503.0,231416.9815,17.9263,2.2723,11.0
2021-09-30,505.05,30261917.0,242735.5068,18.8031,2.3834,11.0
2021-10-31,499.95,32234252.0,240284.3612,18.6132,2.3594,11.0
2021-11-30,551.2,22115748.0,264915.9713,20.5212,2.6012,11.0
2021-12-31,553.55,22786603.0,266045.4208,20.6087,2.6123,11.0
2022-01-31,545.7,13564265.0,262272.579,20.3165,2.5753,11.0
2022-02-28,475.2,29621364.0,228389.0958,17.6917,2.2426,14.5
2022-03-31,491.85,8693265.0,236391.3652,52.0476,2.3774,14.5
2022-04-30,533.15,17455391.0,256240.8384,56.418,2.5771,14.5
2022-05-31,456.05,17304056.0,219185.2843,48.2593,2.2044,14.5
2022-06-30,451.65,15461729.0,217070.5705,47.7937,2.1831,9.0
2022-07-31,524.75,10325556.0,252203.6574,55.5291,2.5364,9.0
2022-08-31,582.15,11808455.0,279791.0608,61.6032,2.8139,9.0
2022-09-30,486.9,12659225.0,234012.3121,51.5238,2.3535,9.0
2022-10-31,504.35,8245823.0,242399.075,53.3704,2.4378,9.0
2022-11-30,537.7,10307736.0,258427.6448,56.8995,2.599,9.0
2022-12-31,492.35,6785902.0,236631.6736,52.1005,2.3798,9.0
2023-01-31,449.95,9726119.0,216253.522,47.6138,2.1749,9.0
2023-02-28,506.35,26356966.0,243360.3086,53.582,2.4475,22.0
2023-03-31,510.4,14755115.0,245306.8066,11.5842,2.228,22.0
2023-04-30,551.4,14631694.0,265012.0947,12.5148,2.407,22.0
2023-05-31,551.4,5196645.0,265012.0947,12.5148,2.407,22.0
2023-06-30,615.25,28271486.0,295699.4764,13.9639,2.6857,26.0
2023-07-31,676.75,18352591.0,325257.4086,15.3597,2.9542,26.0
2023-08-31,656.9,8413737.0,315717.1654,14.9092,2.8675,26.0
2023-09-30,738.5,10875578.0,354935.495,16.7612,3.2238,26.0
2023-10-31,726.9,6951217.0,349360.3403,16.498,3.1731,26.0
2023-11-30,964.0,17436986.0,463314.5798,21.8793,4.2081,26.0
2023-12-31,933.85,13569268.0,448823.9837,21.195,4.0765,26.0
2024-01-31,1040.0,17727235.0,499841.4554,23.6042,4.5399,26.0
2024-02-29,1077.85,27358446.0,518032.8006,24.4632,4.7051,24.0
2024-03-31,1357.95,52777850.0,652653.5618,35.6044,5.411,24.0
2024-04-30,1501.1,23403535.0,721453.8545,39.3576,5.9814,24.0
2024-05-31,1501.8,42836032.0,721790.2862,39.376,5.9841,24.0
2024-06-30,1498.4,8437787.0,720156.1891,39.2868,5.9706,16.0
2024-07-31,1866.45,25795507.0,897047.1965,48.9368,7.4371,16.0
2024-08-31,1743.5,21926795.0,837955.3629,45.7132,6.9472,16.0
2024-09-30,1878.0,24974578.0,902598.3204,49.2396,7.4832,16.0
2024-10-31,1821.75,20050671.0,875563.6263,47.7648,7.259,16.0
2024-11-30,1510.7,12398057.0,726067.7756,39.6093,6.0196,16.0
2024-12-31,1485.95,23942849.0,748775.4697,38.9604,5.921,16.0
2025-01-31,1463.45,11423780.0,737437.64,38.3705,5.8313,16.0
2025-02-28,1262.95,16793170.0,636404.9796,33.1135,5.0324,18.0
2025-03-31,1486.85,10753364.0,749228.9829,24.283,4.2533,18.0
2025-04-30,1539.1,7350259.0,775557.943,25.1364,4.4027,18.0
2025-05-31,1374.0,14131196.0,692363.4681,22.44,3.9305,18.0
2025-06-30,1467.6,12949136.0,739528.8397,23.9686,4.1982,19.0
2025-07-31,1310.0,7409630.0,660113.6413,21.3947,3.7474,19.0
2025-08-31,1227.3,10842612.0,618440.8183,20.0441,3.5108,19.0
2025-09-30,1218.9,14487098.0,614208.0286,19.9069,3.4868,19.0
2025-10-31,1316.5,13198248.0,663389.0144,21.5009,3.766,19.0
2025-11-30,1314.5,10410652.0,662381.2073,21.4682,3.7603,19.0
2025-12-31,1306.7,6305969.0,658450.7596,21.3408,3.7379,19.0
2026-01-31,1387.6,8464376.0,699216.5563,22.6621,3.9694,19.0
2026-02-28,1566.4,18235109.0,789314.5098,25.5822,4.4808,20.0
2026-03-31,1504.3,3133992.0,758022.1243,24.568,4.3032,20.0
