TPW IN Equity,price,volume,mc,pe,bm,div
2006-11-30,84.5,55237023.0,,,,0.0
2006-12-31,72.85,43792959.0,,,,1.2
2007-01-31,75.2,18188782.0,,,,1.2
2007-02-28,67.95,5111148.0,,,,1.2
2007-03-31,59.2,3393152.0,,38.9753,1.0338,0.4
2007-04-30,67.25,8503927.0,,44.2751,1.1744,0.4
2007-05-31,68.9,17030201.0,,45.3614,1.2032,0.4
2007-06-30,70.95,8446104.0,,46.7111,1.239,0.4
2007-07-31,70.45,12114677.0,,46.3819,1.2303,0.4
2007-08-31,84.05,36030526.0,,55.3357,1.4678,0.4
2007-09-30,92.65,30802604.0,43772.307,60.9976,1.618,0.4
2007-10-31,165.1,113223076.0,78001.1645,108.6962,2.8832,0.4
2007-11-30,171.45,24889656.0,81001.2093,112.8768,2.9941,0.4
2007-12-31,190.4,7192828.0,89954.0988,125.3529,3.325,0.4
2008-01-31,167.55,38351369.0,79158.6621,110.3092,2.926,0.4
2008-02-29,148.75,11507241.0,70276.6397,97.9319,2.5977,0.4
2008-03-31,112.7,9629304.0,53244.8894,25.2033,1.8425,0.4
2008-04-30,130.7,9455307.0,61748.9533,29.2287,2.1368,0.4
2008-05-31,115.5,8546243.0,54567.7438,25.8295,1.8883,0.0
2008-06-30,96.3,7928740.0,45496.7422,21.5358,1.5744,1.2
2008-07-31,101.75,7842399.0,48071.5838,22.7545,1.6635,1.2
2008-08-31,110.8,15146716.0,52347.2382,24.7784,1.8115,1.2
2008-09-30,93.55,8264123.0,44197.5102,20.9208,1.5295,1.2
2008-10-31,63.65,3922627.0,30071.3151,14.2342,1.0406,1.2
2008-11-30,69.85,4612300.0,33000.4927,15.6207,1.142,1.2
2008-12-31,74.15,5434988.0,35032.0191,16.5823,1.2123,1.2
2009-01-31,72.3,9291642.0,34157.9903,16.1686,1.182,1.2
2009-02-28,73.2,4261182.0,34583.1935,16.3699,1.1968,1.2
2009-03-31,74.4,3146138.0,35150.1311,8.6512,1.0876,1.2
2009-04-30,98.8,19281019.0,46677.8622,11.4884,1.4443,1.2
2009-05-31,143.2,17426490.0,67654.5533,16.6512,2.0933,1.2
2009-06-30,167.4,34191429.0,79087.7949,19.4651,2.4471,2.0
2009-07-31,220.45,36989316.0,104151.1612,25.6337,3.2226,2.0
2009-08-31,227.55,19602294.0,107505.542,26.4593,3.3264,2.0
2009-09-30,318.55,30902843.0,150498.3098,37.0407,4.6566,2.0
2009-10-31,284.6,14829504.0,134458.7002,33.093,4.1603,2.0
2009-11-30,321.3,13951088.0,151797.5418,37.3605,4.6968,2.0
2009-12-31,322.7,8546634.0,152458.969,37.5233,4.7173,2.0
2010-01-31,290.25,11531854.0,137128.0314,33.75,4.2429,2.0
2010-02-28,294.35,4712118.0,139065.0682,34.2267,4.3029,2.0
2010-03-31,288.85,10287878.0,136466.6042,16.3024,3.4445,2.0
2010-04-30,303.65,6798369.0,143458.8346,17.1377,3.621,2.0
2010-05-31,323.5,11528001.0,152836.9274,18.258,3.8577,2.0
2010-06-30,332.45,4338167.0,157065.337,18.7631,3.9644,3.0
2010-07-31,344.4,6927079.0,162711.0905,19.4376,4.1069,3.0
2010-08-31,339.1,4339295.0,160207.1161,19.1385,4.0437,3.0
2010-09-30,324.1,6791135.0,153120.3962,18.2919,3.8649,3.0
2010-10-31,291.3,4907080.0,137624.1018,16.4407,3.4737,3.0
2010-11-30,284.5,4361978.0,134411.4554,16.0569,3.3926,3.0
2010-12-31,276.4,2430061.0,130584.6267,15.5997,3.296,3.0
2011-01-31,225.15,3597555.0,106371.6668,12.7072,2.6849,3.0
2011-02-28,230.25,1670732.0,108781.1516,12.9951,2.7457,3.0
2011-03-31,250.8,2907363.0,118489.9579,11.2366,2.4795,3.0
2011-04-30,247.2,1167371.0,116789.1451,11.0753,2.4439,3.0
2011-05-31,248.45,1063529.0,117379.7051,11.1313,2.4563,3.0
2011-06-30,239.5,1304028.0,113151.2955,10.7303,2.3678,5.5
