TCOM IN Equity,price,volume,mc,pe,bm,div
1998-05-31,182.76,218400.0,85500.0,,,1.1667
1998-06-30,176.66,12300.0,82650.0,,,1.1667
1998-07-31,168.14,651300.0,78660.0,,,1.1667
1998-08-31,162.45,189300.0,76000.0,,,1.3333
1998-09-30,162.96,488100.0,76237.5,,,1.3333
1998-10-31,149.25,1355100.0,69825.0,,,1.3333
1998-11-30,144.17,735900.0,67450.0,,,1.3333
1998-12-31,149.66,277800.0,70015.0,,,1.3333
1999-01-31,152.3,638919.0,71250.0,,,1.3333
1999-02-28,144.17,487779.0,67450.0,,,1.3333
1999-03-31,134.02,85764.0,62700.0,,,1.3333
1999-04-30,121.43,126255.0,56810.0,,,1.3333
1999-05-31,176.46,473148.0,82555.0,,,1.3333
1999-06-30,185.6,788997.0,86830.0,,,1.3333
1999-07-31,217.28,143619.0,101650.0,,,1.3333
1999-08-31,219.31,564921.0,102600.0,,,2.6667
1999-09-30,203.06,26664.0,95000.0,,,2.6667
1999-10-31,267.53,337674.0,125162.5,,,2.6667
1999-11-30,380.06,1597224.0,177806.75,,,2.6667
1999-12-31,367.34,1846281.0,171855.0,,,2.6667
2000-01-31,377.69,2003415.0,176700.0,,,2.6667
2000-02-29,452.85,1921224.0,211859.5,,,2.6667
2000-03-31,373.63,2069535.0,174800.0,,,2.6667
2000-04-30,270.07,715479.0,126350.0,,,2.0
2000-05-31,258.9,1430544.0,121125.0,,,2.0
2000-06-30,245.66,1621320.0,114931.0059,,,2.0
2000-07-31,173.13,1280115.0,80997.0,,,2.0
2000-08-31,164.77,5167380.0,77087.75,,,2.0
2000-09-30,148.46,2277669.0,69454.5,,,1.3333
2000-10-31,128.54,1479904.0,20045.0,,,1.3333
2000-11-30,177.3,2010549.0,27649.75,,,1.3333
2000-12-31,182.36,3711412.0,28438.25,,,1.3333
2001-01-31,215.74,6462059.0,33644.25,,,1.3333
2001-02-28,195.4,14920203.0,30471.25,,,1.3333
2001-03-31,177.88,9752348.0,27740.0,,,1.3333
2001-04-30,193.08,4738736.0,90330.75,,,1.3333
2001-05-31,211.81,8878458.0,99094.5,,,1.3333
2001-06-30,194.73,6835057.0,91100.25,,,1.3333
2001-07-31,166.73,5850142.0,78004.5,,,1.3333
2001-08-31,172.16,3863978.0,80541.0,,,1.3333
2001-09-30,129.24,6869982.0,60462.75,,,10.0
2001-10-31,140.17,4199696.0,65578.5,,,10.0
2001-11-30,141.82,6449452.0,66348.0,,,10.0
2001-12-31,125.64,8254885.0,58781.25,,,10.0
2002-01-31,96.34,6342461.0,45072.75,,,10.0
2002-02-28,103.53,15463924.0,48435.75,,,10.0
2002-03-31,113.89,7613590.0,53280.75,,,10.0
2002-04-30,116.84,4834567.0,54663.0,,,10.0
2002-05-31,113.52,2668678.0,53109.75,,,10.0
2002-06-30,89.79,6533331.0,42009.0,,,10.0
2002-07-31,70.82,3884015.0,33131.25,,,12.5
2002-08-31,75.48,3570574.0,35311.5,,,12.5
2002-09-30,68.66,1310027.0,32119.5,,,12.5
2002-10-31,55.22,790583.0,25835.25,,,12.5
2002-11-30,62.93,2736538.0,29440.5,,,12.5
2002-12-31,60.0,2290919.0,28072.5,,,12.5
2003-01-31,53.61,1946162.0,25080.0,,,12.5
2003-02-28,54.67,2846169.0,25578.75,,,12.5
2003-03-31,44.78,2104440.0,20947.5,,,12.5
2003-04-30,46.02,893770.0,21531.75,,,12.5
2003-05-31,54.95,2032416.0,25707.0,,,12.5
2003-06-30,76.27,3356583.0,35682.0,,,12.5
2003-07-31,70.42,3073539.0,32946.0,,,12.5
2003-08-31,73.59,3892567.0,34428.0,,,8.5
2003-09-30,74.26,2139131.0,34741.5,,,8.5
2003-10-31,74.11,1935142.0,34670.25,,,8.5
2003-11-30,82.21,1485963.0,38460.75,,,8.5
2003-12-31,89.85,3293811.0,42037.5,,,8.5
2004-01-31,101.92,4705890.0,47680.5,,,8.5
2004-02-29,114.83,2683808.0,53722.5,,,8.5
2004-03-31,124.82,2582189.0,58396.5,,,8.5
2004-04-30,99.72,1146150.0,46654.5,,,8.5
2004-05-31,87.05,1680231.0,40726.5,,,8.5
2004-06-30,98.38,1193140.0,46027.5,,,8.5
2004-07-31,110.48,1129181.0,51684.75,,,8.5
2004-08-31,102.25,1489748.0,47837.25,,,4.5
2004-09-30,106.52,923769.0,49832.25,,,4.5
2004-10-31,101.73,670846.0,47595.0,,,4.5
2004-11-30,139.56,3365296.0,65293.5,,,4.5
2004-12-31,140.87,2484888.0,65906.25,,,4.5
2005-01-31,140.02,7937094.0,65507.25,,,4.5
2005-02-28,133.81,7832437.0,62600.25,,,4.5
2005-03-31,111.97,6926776.0,52383.0,4.5035,0.5829,4.5
2005-04-30,127.08,7729685.0,59451.0,5.1112,0.6616,4.5
2005-05-31,125.89,4511111.0,58895.25,5.0634,0.6554,4.5
2005-06-30,150.26,14475736.0,70295.25,6.0435,0.7822,4.5
2005-07-31,254.33,148806588.0,118987.5,10.2298,1.3241,4.5
2005-08-31,229.45,156915159.0,107345.25,9.2288,1.1945,6.0
2005-09-30,217.6,61971914.0,101802.0,8.7523,1.1328,6.0
2005-10-31,177.49,59951036.0,83034.75,7.1388,0.924,6.0
2005-11-30,217.24,79664596.0,101631.0,8.7376,1.1309,6.0
2005-12-31,233.14,131292077.0,109069.5,9.3771,1.2137,6.0
2006-01-31,233.35,53893206.0,109169.25,9.3857,1.2148,6.0
2006-02-28,222.32,38539668.0,104010.75,8.9422,1.1574,6.0
2006-03-31,286.13,83519243.0,133864.5,116.8204,1.5101,6.0
2006-04-30,268.5,63530718.0,118389.0,109.6202,1.417,6.0
2006-05-31,231.79,86950064.0,108442.5,94.6352,1.2233,6.0
2006-06-30,243.73,99030019.0,114028.5,99.51,1.2863,6.0
2006-07-31,215.93,63219398.0,101018.25,88.1563,1.1396,6.0
2006-08-31,254.43,45379350.0,119030.25,103.8749,1.3428,4.5
2006-09-30,242.33,25806642.0,113373.0,98.938,1.2789,4.5
2006-10-31,265.15,41057150.0,124046.25,108.2523,1.3993,4.5
2006-11-30,260.27,32508913.0,121766.25,106.2626,1.3736,4.5
2006-12-31,259.0,16446825.0,121167.75,105.7403,1.3669,4.5
2007-01-31,281.6,24072131.0,131741.25,114.9675,1.4861,4.5
2007-02-28,222.84,19203433.0,104253.0,90.9792,1.1761,4.5
2007-03-31,245.08,16357239.0,114655.5,453.548,1.3298,4.5
2007-04-30,267.1,15698185.0,124958.25,494.3031,1.4493,4.5
2007-05-31,283.55,14020193.0,132653.25,524.7425,1.5385,4.5
2007-06-30,285.89,8606845.0,133750.5,529.083,1.5513,4.5
2007-07-31,278.52,8356307.0,130302.0,515.4416,1.5113,4.5
2007-08-31,245.08,9594188.0,114655.5,453.548,1.3298,4.5
2007-09-30,266.73,7133211.0,124787.25,493.6266,1.4473,4.5
2007-10-31,339.53,23556303.0,158844.75,628.3495,1.8423,4.5
2007-11-30,382.54,21096558.0,178965.75,707.943,2.0757,4.5
2007-12-31,465.69,24852145.0,217868.25,861.8314,2.5269,4.5
2008-01-31,316.68,16060498.0,148157.25,586.0724,1.7184,4.5
2008-02-29,311.99,9966187.0,145962.75,577.3915,1.6929,4.5
2008-03-31,312.48,7871208.0,146190.75,8481.6635,1.7286,4.5
2008-04-30,303.71,10685145.0,142086.75,8243.5585,1.6801,4.5
2008-05-31,310.2,6423378.0,145122.0,8419.657,1.716,4.5
2008-06-30,227.04,6062453.0,106219.5,6162.6201,1.256,4.5
2008-07-31,274.53,8776866.0,128435.25,7451.5287,1.5187,4.5
2008-08-31,252.54,6147121.0,118146.75,6854.6127,1.397,4.5
2008-09-30,287.75,8684299.0,134619.75,7810.3397,1.5918,4.5
2008-10-31,295.42,9223833.0,138210.75,8018.6816,1.6342,4.5
2008-11-30,240.23,11033604.0,112389.75,6520.6043,1.3289,4.5
2008-12-31,305.66,8132617.0,142998.75,8296.4707,1.6909,4.5
2009-01-31,275.99,4571606.0,129119.25,7491.2129,1.5267,4.5
2009-02-28,246.32,2926430.0,115239.75,6685.955,1.3626,4.5
2009-03-31,315.77,5997366.0,147729.75,28.4992,1.7624,4.5
2009-04-30,334.14,5927934.0,156322.5,30.1569,1.8649,4.5
2009-05-31,284.98,10084408.0,133323.0,25.7199,1.5905,4.5
2009-06-30,289.39,34113474.0,135389.25,26.1185,1.6152,4.5
2009-07-31,307.82,11476125.0,144010.5,27.7817,1.718,4.5
2009-08-31,306.15,8898899.0,143226.75,27.6305,1.7087,4.5
2009-09-30,295.36,6586808.0,138182.25,26.6573,1.6485,4.5
2009-10-31,238.47,6409148.0,111563.25,21.5222,1.3309,4.5
2009-11-30,232.25,5774078.0,108656.25,20.9614,1.2962,4.5
2009-12-31,204.78,7819867.0,95802.75,18.4817,1.1429,4.5
2010-01-31,195.18,10815638.0,91314.0,17.6158,1.0894,4.5
2010-02-28,172.16,5071954.0,80541.0,15.5375,0.9608,4.5
2010-03-31,171.0,5390918.0,79999.5,15.3313,1.0747,4.5
2010-04-30,164.66,3346555.0,77035.5,,1.0348,4.5
2010-05-31,149.4,4622738.0,69896.25,,0.9389,4.5
2010-06-30,159.79,7139783.0,74755.5,,1.0042,4.5
2010-07-31,164.94,8691580.0,77163.75,,1.0366,4.5
2010-08-31,202.86,16296129.0,94905.0,,1.2749,0.0
2010-09-30,186.75,4397583.0,87366.75,,1.1736,0.0
2010-10-31,186.56,6347956.0,87281.25,,1.1725,0.0
2010-11-30,165.82,4238699.0,77577.0,,1.0421,0.0
2010-12-31,155.37,2837666.0,72689.25,,0.9765,0.0
2011-01-31,141.97,2702882.0,66419.25,,0.8922,0.0
2011-02-28,128.81,5402086.0,60263.25,,0.8095,0.0
2011-03-31,145.6,15536840.0,68115.0,,1.1552,0.0
2011-04-30,144.53,5188679.0,67616.25,,1.1468,0.0
2011-05-31,130.91,2843570.0,61246.5,,1.0388,0.0
2011-06-30,120.07,7121759.0,56173.5,,0.9527,0.0
2011-07-31,135.67,9230410.0,63469.5,,1.0765,0.0
2011-08-31,123.85,6426125.0,57940.5,,0.9827,0.0
2011-09-30,113.52,3909209.0,53109.75,,0.9008,2.0
2011-10-31,115.2,3613650.0,53893.5,,0.914,2.0
2011-11-30,116.72,4764787.0,54606.0,,0.9261,2.0
2011-12-31,129.45,4851314.0,60562.5,,1.0272,2.0
2012-01-31,137.46,4215777.0,64310.25,,1.0907,2.0
2012-02-29,142.34,13565591.0,66590.25,,1.1294,2.0
2012-03-31,137.61,5976479.0,64381.5,,1.7185,2.0
2012-04-30,144.83,4648576.0,67758.75,,1.8086,2.0
2012-05-31,132.83,3541223.0,62144.25,,1.6587,2.0
2012-06-30,141.76,5407827.0,66319.5,,1.7702,2.0
2012-07-31,150.38,9208969.0,70352.25,,1.8778,2.0
2012-08-31,139.9,2403478.0,65450.25,,1.747,2.0
2012-09-30,148.21,3079476.0,69340.5,,1.8508,2.0
2012-10-31,148.43,2706261.0,69440.25,,1.8535,2.0
2012-11-30,145.66,3759782.0,68143.5,,1.8189,2.0
2012-12-31,143.55,6063521.0,67160.25,,1.7926,2.0
2013-01-31,141.79,8133595.0,66333.75,,1.7706,2.0
2013-02-28,135.79,3229539.0,63526.5,,1.6956,2.0
2013-03-31,142.52,2959001.0,66675.75,,2.8506,2.0
2013-04-30,139.29,4001138.0,65165.25,,2.7861,2.0
2013-05-31,125.8,7069182.0,58852.5,,2.5162,2.0
2013-06-30,95.73,10744687.0,44787.75,,1.9148,2.0
2013-07-31,89.89,16128714.0,42051.75,,1.7979,3.0
2013-08-31,100.42,19118706.0,46982.25,,2.0087,3.0
2013-09-30,114.77,10639482.0,53694.0,,2.2956,3.0
2013-10-31,160.73,19558758.0,75197.25,,3.215,3.0
2013-11-30,175.17,15043358.0,81951.75,,3.5037,3.0
2013-12-31,188.3,19133690.0,88093.5,,3.7663,3.0
2014-01-31,168.14,20837127.0,78660.0,,3.363,3.0
2014-02-28,168.77,21275806.0,78959.25,,3.3758,3.0
2014-03-31,187.08,23032280.0,87523.5,33.1848,6.6688,3.0
2014-04-30,172.43,18790994.0,80669.25,30.586,6.1465,3.0
2014-05-31,211.87,26632644.0,99123.0,37.5828,7.5526,3.0
2014-06-30,239.38,18070724.0,111990.75,42.4616,8.533,3.0
2014-07-31,226.25,15132988.0,105849.0,40.133,8.065,4.5
2014-08-31,228.93,13976233.0,107103.0,40.6084,8.1606,4.5
2014-09-30,218.33,17069964.0,102144.0,38.7282,7.7827,4.5
2014-10-31,245.32,9969530.0,114769.5,43.5152,8.7447,4.5
2014-11-30,279.31,15902525.0,130672.5,49.5449,9.9564,4.5
