ICEM IN Equity,price,volume,mc,pe,bm,div
1995-01-31,126.89,,7257.5101,,,0.0
1995-02-28,119.3,,6823.3001,,,0.0
1995-03-31,108.46,,6203.0001,,,0.0
1995-04-30,114.96,,6575.1801,,,0.0
1995-05-31,119.3,,6823.3001,,,0.0
1995-06-30,121.9,,8618.27,,,0.0
1995-07-31,117.13,,8280.9,,,0.0
1995-08-31,116.26,,8219.56,,,0.0
1995-09-30,113.66,,8035.54,,,0.0
1995-10-31,120.17,,8495.59,,,0.0
1995-11-30,112.79,,7974.2,,,0.0
1995-12-31,110.62,,7820.85,,,0.0
1996-01-31,111.71,,7897.525,,,0.0
1996-02-29,156.18,,11041.2,,,3.4706
1996-03-31,132.32,,9354.35,,,3.4706
1996-04-30,136.65,,9661.05,,,3.4706
1996-05-31,131.88,139919.0,9323.68,,,3.4706
1996-06-30,144.46,520546.0,10712.2766,,,3.4706
1996-07-31,126.68,335447.0,9393.3476,,,3.9044
1996-08-31,127.98,435587.0,9489.8546,,,3.9044
1996-09-30,104.12,411440.0,7720.5597,,,3.9044
1996-10-31,86.76,114131.0,6433.7997,,,3.9044
1996-11-30,80.26,197722.0,5951.2648,,,3.9044
1996-12-31,78.09,246376.0,5790.4198,,,3.9044
1997-01-31,63.99,350481.0,4744.9273,,,3.9044
1997-02-28,71.36,260110.0,5291.8003,,,3.9044
1997-03-31,64.21,194596.0,4761.0118,,,3.9044
1997-04-30,62.47,32492.0,4632.3358,,,2.1691
1997-05-31,61.6,272597.0,4567.9978,,,2.1691
1997-06-30,93.71,91052.0,6948.5037,,,2.1691
1997-07-31,89.8,266905.0,6658.9827,,,2.6029
1997-08-31,87.63,68728.0,6498.1377,,,2.6029
1997-09-30,83.73,15012.0,6208.6168,,,2.6029
1997-10-31,81.34,9866.0,6031.6873,,,2.6029
1997-11-30,65.94,3699.0,4889.6878,,,2.6029
1997-12-31,58.13,99512.0,4310.6458,,,2.6029
1998-01-31,51.41,231855.0,3812.0263,,,2.6029
1998-02-28,53.27,496141.0,3950.353,,,2.6029
1998-03-31,50.11,1249750.0,3715.5194,,,2.6029
1998-04-30,55.49,896661.0,4114.4149,,,2.6029
1998-05-31,60.52,1162800.0,4487.5753,,,2.6029
1998-06-30,43.38,720816.0,3216.8999,,,2.6029
1998-07-31,44.6,85422.0,3306.9731,,,2.6029
1998-08-31,40.78,40759.0,3023.8859,,,2.6029
1998-09-30,38.18,436626.0,2830.8719,,,0.0
1998-10-31,33.55,267560.0,4317.0796,,,2.6029
1998-11-30,30.0,1193387.0,3860.2798,,,2.6029
1998-12-31,32.35,137701.0,4162.6684,,,2.6029
1999-01-31,33.1,1883196.0,4259.1754,,,2.6029
1999-02-28,29.4,1713367.0,3783.0742,,,2.6029
1999-03-31,38.0,3010469.0,4889.6878,,,2.6029
1999-04-30,31.8,721291.0,4091.8966,,,2.6029
1999-05-31,42.9,5210125.0,5520.2002,,,2.6029
1999-06-30,41.9,3666497.0,5391.5242,,,2.6029
1999-07-31,67.2,6031528.0,8647.0269,,,2.6029
1999-08-31,102.5,8817342.0,13189.2895,,,2.6029
1999-09-30,78.3,8157302.0,10075.3304,,,2.6029
1999-10-31,85.0,11467924.0,10937.4596,,,2.6029
1999-11-30,89.0,11685103.0,11452.1635,,,3.5
1999-12-31,78.0,13890163.0,10036.7276,,,3.5
2000-01-31,81.0,7709799.0,10422.7556,,,3.5
2000-02-29,78.3,7592484.0,10075.3304,,,3.5
2000-03-31,83.5,4427361.0,10744.4456,,,3.5
2000-04-30,56.0,3517887.0,7205.8557,,,3.5
2000-05-31,43.0,6355928.0,5857.8039,,,3.5
2000-06-30,42.65,5754771.0,5951.6371,,,3.5
2000-07-31,43.2,8555274.0,6028.3874,,,3.5
2000-08-31,43.0,5209468.0,6000.4782,,,3.5
2000-09-30,39.2,7056865.0,5470.2034,,,1.8
2000-10-31,33.95,2004578.0,4737.5869,,,1.8
2000-11-30,44.05,13524099.0,6147.0015,,,1.8
2000-12-31,54.45,29508408.0,7598.28,,,1.8
2001-01-31,64.7,26754092.0,9028.6265,,,1.8
2001-02-28,54.9,18424994.0,7661.0757,,,1.8
2001-03-31,37.0,8964820.0,5163.2022,,,1.8
2001-04-30,41.8,8495376.0,5833.023,,,1.8
2001-05-31,42.6,6992809.0,5944.6598,,,1.8
2001-06-30,31.55,5384928.0,4402.6765,,,1.8
2001-07-31,35.55,6845075.0,4960.8605,,,1.8
2001-08-31,34.0,1718299.0,4744.5642,,,1.8
2001-09-30,30.1,2943433.0,4200.3196,,,1.8
2001-10-31,38.4,3388134.0,5358.5473,,,1.8
2001-11-30,45.1,7307718.0,6293.5021,,,1.8
2001-12-31,38.3,4788519.0,5344.5927,,,1.8
2002-01-31,36.85,3332908.0,5142.2517,,,1.8
2002-02-28,32.05,2501336.0,4472.4333,,,1.8
2002-03-31,30.25,1654985.0,4221.2514,,0.776,1.8
2002-04-30,29.45,945441.0,4109.615,,0.7555,1.8
2002-05-31,26.95,1654596.0,3760.7513,,0.6914,1.8
2002-06-30,30.6,3004401.0,4270.0924,,0.785,1.8
2002-07-31,21.7,2173978.0,3028.1374,,0.5567,1.8
2002-08-31,19.3,1631484.0,2693.2282,,0.4951,1.8
2002-09-30,17.65,1197423.0,2462.9781,,0.4528,1.8
2002-10-31,16.9,712182.0,2358.319,,0.4335,1.8
2002-11-30,19.8,1110240.0,2763.0009,,0.5079,0.0
2002-12-31,19.3,1307648.0,2693.2282,,0.4951,0.0
2003-01-31,16.1,799321.0,2246.6826,,0.413,0.0
2003-02-28,16.5,496791.0,2302.5008,,0.4233,0.0
2003-03-31,12.95,1336120.0,1807.1142,,0.8443,0.0
2003-04-30,13.35,434122.0,1862.9324,,0.8703,0.0
2003-05-31,21.5,5861595.0,3000.2283,,1.4017,0.0
2003-06-30,25.45,9186506.0,3551.433,,1.6592,0.0
2003-07-31,26.35,8931091.0,3677.024,,1.7179,0.0
2003-08-31,32.85,17290485.0,4584.0697,,2.1416,0.0
2003-09-30,30.65,6832128.0,4277.0696,,1.9982,0.0
2003-10-31,28.8,5932600.0,4018.9104,,1.8776,0.0
2003-11-30,41.75,22949437.0,5826.0247,,2.7219,0.0
2003-12-31,44.5,13853132.0,6209.7748,,2.9011,0.0
2004-01-31,40.9,9554467.0,5707.411,,2.6664,0.0
2004-02-29,38.0,2984024.0,5302.7291,,2.4774,0.0
2004-03-31,36.4,2582150.0,5079.4563,,0.4396,0.0
2004-04-30,43.25,4470718.0,6035.3429,,0.5224,0.0
