HDFCB IN Equity,price,volume,mc,pe,bm,div
1995-05-31,2.01,,,,,0.0
1995-06-30,2.09,,,,,0.0
1995-07-31,2.09,,,,,0.0
1995-08-31,1.99,,,,,0.0
1995-09-30,1.85,,,,,0.0
1995-10-31,1.71,,,,,0.0
1995-11-30,1.46,,,,,0.0
1995-12-31,1.48,,,,,0.0
1996-01-31,1.29,,,,,0.0
1996-02-29,1.53,,,,,0.0
1996-03-31,1.63,,,,,0.0
1996-04-30,1.8,,,,,0.0
1996-05-31,1.7,9972000.0,,,,0.0
1996-06-30,1.95,67234000.0,,,,0.0
1996-07-31,1.78,63890000.0,,,,0.0
1996-08-31,1.8,17456000.0,,,,0.0
1996-09-30,1.81,11076000.0,,,,0.0
1996-10-31,1.89,17192000.0,,,,0.0
1996-11-30,1.91,9354000.0,,,,0.0
1996-12-31,2.01,5090000.0,,,,0.0
1997-01-31,2.26,42348000.0,,,,0.0
1997-02-28,2.4,25438000.0,,,,0.0
1997-03-31,2.33,46488000.0,,,,0.0
1997-04-30,2.88,25550000.0,,,,0.0
1997-05-31,2.83,50344020.0,11300.0,,,0.0
1997-06-30,3.09,57554000.0,12350.0,,,0.04
1997-07-31,3.7,31004000.0,14800.0,,,0.04
1997-08-31,3.39,24188000.0,13550.0,,,0.04
1997-09-30,3.48,14834000.0,13900.0,,,0.04
1997-10-31,4.06,43262000.0,16200.0,,,0.04
1997-11-30,3.58,17900000.0,14300.0,,,0.04
1997-12-31,3.9,22292000.0,15600.0,,,0.04
1998-01-31,3.56,36690000.0,14250.0,,,0.04
1998-02-28,3.53,53822000.0,14120.0,,,0.04
1998-03-31,3.57,49940100.0,14290.0,,,0.04
1998-04-30,3.82,118370000.0,15290.0,,,0.04
1998-05-31,3.46,45934000.0,13830.0,,,0.04
1998-06-30,3.21,35950000.0,12850.0,,,0.05
1998-07-31,3.22,64484000.0,12890.0,,,0.05
1998-08-31,2.9,84914000.0,11610.0,,,0.05
1998-09-30,3.24,67762000.0,12940.0,,,0.05
1998-10-31,2.64,30806000.0,10540.0,,,0.05
1998-11-30,2.57,78786000.0,10260.0,,,0.05
1998-12-31,2.74,25070000.0,10950.0,,,0.05
1999-01-31,2.99,34860000.0,11960.0,,,0.05
1999-02-28,2.63,26854000.0,10520.0,,,0.05
1999-03-31,3.46,208077720.0,13830.0,,,0.05
1999-04-30,3.13,46267900.0,12510.0,,,0.065
1999-05-31,4.08,88572100.0,16300.0,,,0.065
1999-06-30,3.74,37787480.0,14940.0,,,0.065
1999-07-31,4.22,91233680.0,16900.0,,,0.065
1999-08-31,4.35,75228960.0,17400.0,,,0.065
1999-09-30,5.05,90732980.0,20190.0,,,0.065
1999-10-31,4.56,91862480.0,18220.0,,,0.065
1999-11-30,5.79,47241300.0,23160.0,,,0.065
1999-12-31,8.07,190741020.0,32300.0,,,0.065
2000-01-31,11.76,127892920.0,47030.0,,,0.065
2000-02-29,10.88,108620700.0,43520.0,,,0.065
2000-03-31,12.8,56610460.0,51200.0,,,0.065
2000-04-30,12.32,57249280.0,59955.8631,,,0.08
2000-05-31,11.42,75778800.0,55552.5313,,,0.08
2000-06-30,12.72,38306160.0,61865.5954,,,0.08
2000-07-31,11.65,65449820.0,56695.9379,,,0.08
2000-08-31,12.0,57353300.0,58362.3922,,,0.08
2000-09-30,12.04,55187300.0,58593.5063,,,0.08
2000-10-31,12.5,49407660.0,60807.3361,,,0.08
2000-11-30,11.06,60230140.0,53813.0936,,,0.08
2000-12-31,11.13,75447860.0,54129.355,,,0.08
2001-01-31,12.73,106453480.0,61914.251,,,0.08
2001-02-28,12.89,82893420.0,62729.2323,,,0.08
2001-03-31,11.5,51758800.0,55953.94,,,0.08
2001-04-30,11.54,25869960.0,56136.3985,,,0.1
2001-05-31,11.49,33612360.0,55966.2495,,,0.1
2001-06-30,10.53,35485060.0,51301.3804,,,0.1
2001-07-31,11.7,22472880.0,64641.3344,,,0.1
2001-08-31,11.82,16487520.0,65276.5622,,,0.1
2001-09-30,10.89,19147580.0,61218.4186,,,0.1
2001-10-31,10.86,86418320.0,61118.8534,,,0.1
2001-11-30,11.05,76070220.0,62187.9058,,,0.1
2001-12-31,11.24,28248780.0,63214.7588,,,0.1
2002-01-31,11.23,22684140.0,63210.8046,,,0.1
2002-02-28,11.76,23012480.0,66179.3067,,,0.1
2002-03-31,11.76,20584000.0,66165.238,,,0.1
2002-04-30,10.97,28378660.0,61811.1404,,,0.1
2002-05-31,11.47,29998880.0,64657.2426,,,0.125
2002-06-30,10.08,20297020.0,56809.3271,,,0.125
2002-07-31,10.7,227895520.0,60314.4298,,,0.125
2002-08-31,10.48,45557720.0,59102.2211,,,0.125
2002-09-30,10.95,13046440.0,61723.9748,,,0.125
2002-10-31,9.5,45116620.0,53595.927,,,0.125
2002-11-30,9.75,25263240.0,55005.975,,,0.125
2002-12-31,10.95,40625680.0,61760.1053,,,0.125
2003-01-31,11.85,23562040.0,66830.725,,,0.125
2003-02-28,12.49,225212960.0,70469.1144,,,0.125
2003-03-31,11.69,48303380.0,65928.1788,,,0.125
2003-04-30,12.32,40082440.0,69481.9545,,,0.15
2003-05-31,12.25,59328640.0,69115.2951,,,0.15
2003-06-30,12.95,42183080.0,73035.7301,,,0.15
2003-07-31,13.33,114000040.0,75179.2773,,,0.15
2003-08-31,13.77,37585960.0,78084.838,,,0.15
2003-09-30,13.76,42314020.0,77999.7937,,,0.15
2003-10-31,15.82,89960720.0,89679.2104,,,0.15
2003-11-30,15.12,34529680.0,85864.7686,,,0.15
2003-12-31,18.33,86739380.0,104090.9817,,,0.15
2004-01-31,17.24,101290380.0,98167.6945,,,0.15
2004-02-29,18.73,46974700.0,106668.7264,,,0.15
2004-03-31,18.92,35634600.0,107750.9348,,,0.15
2004-04-30,18.79,36647820.0,107448.6886,,,0.15
2004-05-31,17.63,43951260.0,100774.2356,,,0.175
2004-06-30,18.49,61454440.0,105676.4569,,,0.175
2004-07-31,18.74,56916520.0,107280.129,,,0.175
2004-08-31,18.37,49991160.0,105162.0048,,,0.175
2004-09-30,20.14,78870620.0,115308.9647,,,0.175
