BDE IN Equity,price,volume,mc,pe,bm,div
1995-03-31,88.75,,,,,0.0
1995-04-30,70.0,,,,,0.0
1995-05-31,70.0,,,,,0.0
1995-06-30,67.5,,,,,0.0
1995-07-31,67.5,,,,,0.0
1995-08-31,66.0,,,,,0.0
1995-09-30,63.0,,,,,0.0
1995-10-31,60.0,,,,,0.0
1995-11-30,42.5,,,,,0.0
1995-12-31,58.0,,,,,0.0
1996-01-31,44.0,,,,,0.0
1996-02-29,65.0,,,,,0.0
1996-03-31,67.5,,,,,0.0
1996-04-30,62.5,,,,,0.0
1996-05-31,56.0,27800.0,,,,0.0
1996-06-30,54.13,106000.0,,,,1.375
1996-07-31,46.0,17000.0,,,,1.375
1996-08-31,32.65,64400.0,,,,1.375
1996-09-30,24.25,39200.0,,,,1.375
1996-10-31,29.5,117600.0,,,,1.375
1996-11-30,18.85,16800.0,,,,1.375
1996-12-31,37.5,87600.0,,,,1.375
1997-01-31,36.0,26600.0,,,,1.375
1997-02-28,32.38,39000.0,,,,1.375
1997-03-31,30.0,25800.0,,,,1.375
1997-04-30,30.13,34400.0,,,,1.375
1997-05-31,26.0,10000.0,,,,1.375
1997-06-30,25.0,33000.0,,,,1.375
1997-07-31,26.5,13400.0,,,,1.375
1997-08-31,23.5,51200.0,,,,0.75
1997-09-30,18.25,34200.0,,,,0.75
1997-10-31,12.75,115800.0,,,,0.75
1997-11-30,11.83,85600.0,,,,0.75
1997-12-31,11.5,65200.0,,,,0.75
1998-01-31,13.38,23600.0,,,,0.75
1998-02-28,11.5,219000.0,,,,0.75
1998-03-31,11.75,15800.0,,,,0.75
1998-04-30,12.25,18200.0,,,,0.75
1998-05-31,13.5,20400.0,238.95,,,0.75
1998-06-30,10.0,97400.0,177.0,,,0.75
1998-07-31,14.0,306800.0,247.8,,,0.75
1998-08-31,12.0,29400.0,212.4,,,0.75
1998-09-30,13.0,25400.0,230.1,,,0.75
1998-10-31,18.3,80200.0,323.91,,,0.0
1998-11-30,17.5,32200.0,309.75,,,0.0
1998-12-31,20.18,129000.0,357.0975,,,0.0
1999-01-31,23.75,149800.0,420.375,,,0.0
1999-02-28,36.45,249200.0,645.165,,,0.0
1999-03-31,47.53,548600.0,841.1925,,,0.0
1999-04-30,51.2,379300.0,906.24,,,0.0
1999-05-31,59.43,235400.0,1416.3354,,,0.0
1999-06-30,49.0,59600.0,1167.866,,,0.0
1999-07-31,47.53,76000.0,1132.7108,,,0.0
1999-08-31,67.45,179600.0,1607.6033,,,0.75
1999-09-30,73.65,229600.0,1755.3741,,,0.75
1999-10-31,59.7,278800.0,1422.8898,,,0.75
1999-11-30,90.35,118400.0,2153.4019,,,0.75
1999-12-31,139.65,439000.0,3328.418,,,0.75
2000-01-31,168.1,386600.0,4006.4953,,,0.75
2000-02-29,168.85,418400.0,4024.3708,,,0.75
2000-03-31,171.6,231000.0,4089.9143,,,0.75
2000-04-30,113.0,95400.0,2693.242,,,0.75
2000-05-31,100.0,63800.0,2383.4,,,0.75
2000-06-30,94.18,69000.0,2244.5669,,,0.75
2000-07-31,108.45,68900.0,2584.7973,,,0.5
2000-08-31,129.05,233658.0,3075.7004,,,0.5
2000-09-30,138.78,43710.0,3307.4802,,,0.5
2000-10-31,111.0,30440.0,2645.5075,,,0.5
2000-11-30,105.65,85662.0,2517.9988,,,0.5
2000-12-31,113.25,351354.0,2699.1326,,,0.5
2001-01-31,128.13,184758.0,3053.6545,,,0.5
2001-02-28,115.53,199606.0,2753.3536,,,0.5
2001-03-31,87.78,89856.0,2091.9767,,,0.5
2001-04-30,93.03,45390.0,2217.1021,,,0.5
2001-05-31,113.98,459270.0,2716.4118,,,0.5
2001-06-30,89.0,192814.0,2121.1727,,,1.75
2001-07-31,88.93,121110.0,2119.3852,,,1.75
2001-08-31,91.1,16374.0,2171.2136,,,1.75
2001-09-30,74.7,46464.0,1780.3475,,,1.75
2001-10-31,64.3,28563.0,1525.7039,,,1.75
2001-11-30,71.45,2073517.0,1695.3584,,,1.75
2001-12-31,70.05,701037.0,1662.1394,,,1.75
2002-01-31,77.7,183261.0,1843.6578,,,1.75
2002-02-28,71.75,205095.0,1702.4768,,,1.75
2002-03-31,88.9,484343.0,2109.4103,,,1.75
2002-04-30,90.65,276016.0,2150.9341,,,1.75
2002-05-31,73.85,301134.0,1752.3054,,,1.75
2002-06-30,72.65,115404.0,1723.8319,,,1.75
2002-07-31,69.5,125961.0,1649.096,,,2.25
2002-08-31,62.55,66686.0,1484.1864,,,2.25
2002-09-30,76.95,536368.0,1825.8696,,,2.25
2002-10-31,71.0,257765.0,1684.688,,,2.25
2002-11-30,74.95,17087.0,1778.4136,,,2.25
2002-12-31,69.8,153834.0,1656.2144,,,2.25
2003-01-31,64.15,57042.0,1522.1512,,,2.25
2003-02-28,62.65,26559.0,1486.5592,,,2.25
2003-03-31,54.6,63221.0,1295.5488,,,2.25
2003-04-30,57.2,55127.0,1357.2416,,,2.25
2003-05-31,65.9,164609.0,1563.6752,,,2.25
2003-06-30,79.75,149229.0,1892.3081,,,2.75
2003-07-31,84.05,264925.0,1994.3385,,,2.75
2003-08-31,90.15,342554.0,2139.0793,,,2.75
2003-09-30,93.95,112358.0,2229.2457,,,2.75
2003-10-31,107.55,212059.0,2551.9465,,,2.75
2003-11-30,137.0,191502.0,3250.7361,,,2.75
