HZ IN Equity,price,volume,mc,pe,bm,div
1995-01-31,2.65,,11197.0983,,,0.0
1995-02-28,2.2,,9295.7043,,,0.0
1995-03-31,2.1,,8873.1723,,,0.0
1995-04-30,1.9,,8028.1082,,,0.0
1995-05-31,1.68,,7077.4112,,,0.0
1995-06-30,1.5,,6337.9802,,,0.0
1995-07-31,1.58,,6654.8792,,,0.0
1995-08-31,1.4,,5915.4482,,,0.0
1995-09-30,1.43,,6021.0812,,,0.0
1995-10-31,1.35,,5704.1822,,,0.0
1995-11-30,1.2,,5070.3842,,,0.0
1995-12-31,1.22,,5154.8906,,,0.0
1996-01-31,0.96,,4056.3073,,,0.0
1996-02-29,0.97,,4098.5605,,,0.0
1996-03-31,0.85,,3591.5221,,,0.0
1996-04-30,1.18,,4964.7512,,,0.0
1996-05-31,0.95,84000.0,4014.0541,,,0.0
1996-06-30,0.95,990000.0,4014.0541,,,0.0
1996-07-31,0.78,614000.0,3274.6231,,,0.015
1996-08-31,0.54,829000.0,2281.6729,,,0.015
1996-09-30,0.55,1603000.0,2323.9261,,,0.015
1996-10-31,0.48,3466000.0,2007.0271,,,0.015
1996-11-30,0.52,63035000.0,2176.0399,,,0.015
1996-12-31,1.06,12306000.0,4457.7127,,,0.015
1997-01-31,1.23,8232000.0,5176.0172,,,0.015
1997-02-28,1.52,11166000.0,6401.36,,,0.015
1997-03-31,1.97,39533000.0,8302.7541,,,0.015
1997-04-30,1.9,21402000.0,8028.1082,,,0.015
1997-05-31,1.98,34632000.0,8366.1339,,,0.015
1997-06-30,2.3,22220000.0,9718.2363,,,0.015
1997-07-31,2.83,28455000.0,11936.5294,,,0.015
1997-08-31,2.55,40731000.0,10774.5663,,,0.015
1997-09-30,2.48,6167000.0,10457.6673,,,0.015
1997-10-31,1.78,8434000.0,7563.323,,,0.015
1997-11-30,1.56,1542000.0,6570.3728,,,0.015
1997-12-31,1.43,3672000.0,6021.0812,,,0.015
1998-01-31,1.19,1326000.0,5028.131,,,0.015
1998-02-28,1.13,4058000.0,4753.4851,,,0.015
1998-03-31,1.63,13178000.0,6866.1452,,,0.015
1998-04-30,1.5,43736000.0,6337.9802,,,0.015
1998-05-31,1.27,7246000.0,5366.1566,,,0.015
1998-06-30,1.01,7463000.0,4246.4467,,,0.015
1998-07-31,1.12,7908000.0,4732.3585,,,0.035
1998-08-31,1.02,1871000.0,4288.6999,,,0.035
1998-09-30,1.04,1403000.0,4394.3329,,,0.035
1998-10-31,0.93,849000.0,3908.4211,,,0.035
1998-11-30,0.86,1329000.0,3612.6487,,,0.035
1998-12-31,0.87,840000.0,3676.0285,,,0.035
1999-01-31,0.87,1533000.0,3654.9019,,,0.035
1999-02-28,0.85,3458000.0,3591.5221,,,0.035
1999-03-31,0.9,5560000.0,3802.7881,,,0.035
1999-04-30,0.82,3896000.0,3443.6359,,,0.035
1999-05-31,0.95,13336230.0,3992.9275,,,0.035
1999-06-30,1.05,5241580.0,4436.5861,,,0.035
1999-07-31,2.0,39743960.0,8450.6403,,,0.0425
1999-08-31,1.88,22923760.0,7922.4752,,,0.0425
1999-09-30,2.5,27050290.0,10542.1737,,,0.0425
1999-10-31,1.94,11995960.0,8218.2477,,,0.0425
1999-11-30,1.8,4393490.0,7605.5762,,,0.0425
1999-12-31,1.65,14213580.0,6971.7782,,,0.0425
2000-01-31,1.42,7406790.0,5978.828,,,0.0425
2000-02-29,1.15,17787940.0,4837.9915,,,0.0425
2000-03-31,0.88,13334230.0,3718.2817,,,0.0425
2000-04-30,0.81,9243940.0,3422.5093,,,0.055
2000-05-31,0.87,30332060.0,3654.9019,,,0.055
2000-06-30,0.9,27220810.0,3802.7881,,,0.055
2000-07-31,0.84,12280210.0,3528.1423,,,0.055
2000-08-31,0.92,11440200.0,3887.2945,,,0.055
2000-09-30,0.99,26312320.0,4161.9403,,,0.055
2000-10-31,1.02,10369750.0,4288.6999,,,0.055
2000-11-30,1.4,21000000.0,5915.4482,,,0.055
2000-12-31,1.91,39902260.0,8070.3614,,,0.055
2001-01-31,2.26,33411180.0,9570.3501,,,0.055
2001-02-28,2.4,27482570.0,10140.7683,,,0.055
2001-03-31,2.11,27467580.0,8915.4255,,,0.055
2001-04-30,2.0,11610310.0,8429.5137,,,0.055
2001-05-31,2.11,15927630.0,8915.4255,,,0.055
2001-06-30,1.86,8707240.0,7837.9688,,,0.125
2001-07-31,1.69,2635030.0,7161.9176,,,0.125
2001-08-31,1.73,1950430.0,7288.6772,,,0.125
2001-09-30,1.54,6893240.0,6485.8664,,,0.125
2001-10-31,2.09,6898730.0,8809.7925,,,0.125
2001-11-30,1.93,24373540.0,8154.8678,,,0.125
2001-12-31,1.99,47809450.0,8408.3871,,,0.125
2002-01-31,2.32,40464570.0,9781.6161,,,0.125
2002-02-28,2.94,114254720.0,12401.3146,,,0.125
2002-03-31,3.62,164116970.0,15274.5323,,,0.125
2002-04-30,3.69,66275230.0,15591.4313,,,0.125
2002-05-31,3.77,16897070.0,15929.4569,,,0.125
2002-06-30,3.28,13758350.0,13859.05,,,0.125
2002-07-31,1.95,23041900.0,8239.3743,,,0.125
2002-08-31,1.97,2234000.0,8302.7541,,,0.05
2002-09-30,1.74,1010320.0,7330.9304,,,0.05
2002-10-31,1.58,2280730.0,6676.0058,,,0.05
2002-11-30,1.81,2083930.0,7626.7028,,,0.05
2002-12-31,1.78,2934860.0,7499.9432,,,0.05
2003-01-31,1.79,3720740.0,7542.1964,,,0.05
2003-02-28,1.69,3395540.0,7140.791,,,0.05
2003-03-31,1.47,3604800.0,6211.2206,,,0.05
2003-04-30,1.86,9795780.0,7859.0954,,,0.05
2003-05-31,2.43,24070260.0,10267.5279,,,0.05
2003-06-30,3.21,30215590.0,13563.2776,,,0.05
2003-07-31,4.72,127837170.0,19943.511,,,0.05
