NHPC IN Equity,price,volume,mc,pe,bm,div
2009-08-31,36.0,,,33.9623,2.0365,0.0
2009-09-30,34.5,1730829666.0,424375.5381,32.5472,1.9516,0.0
2009-10-31,30.5,344242120.0,375172.5771,28.7736,1.7254,0.0
2009-11-30,31.15,245853609.0,383168.0583,29.3868,1.7621,0.0
2009-12-31,34.05,291079502.0,418840.205,32.1226,1.9262,0.0
2010-01-31,33.05,350188690.0,406539.4647,31.1792,1.8696,0.0
2010-02-28,31.9,139549463.0,392393.6135,30.0943,1.8046,0.0
2010-03-31,30.45,206793707.0,374557.5401,16.5489,1.4918,0.0
2010-04-30,30.4,225936035.0,373942.5031,16.5217,1.4894,0.0
2010-05-31,29.0,175062798.0,356721.4668,15.7609,1.4208,0.0
2010-06-30,31.4,155239401.0,386243.2434,17.0652,1.5384,0.0
2010-07-31,31.75,248527177.0,390548.5024,17.2554,1.5555,0.0
2010-08-31,30.4,153814904.0,373942.5031,16.5217,1.4894,0.0
2010-09-30,31.7,283729013.0,389933.4654,17.2283,1.5531,0.55
2010-10-31,31.2,233238910.0,383783.0953,16.9565,1.5286,0.55
2010-11-30,27.6,159282133.0,339500.4305,15.0,1.3522,0.55
2010-12-31,28.2,137698497.0,346880.8746,15.3261,1.3816,0.55
2011-01-31,24.55,154199815.0,301983.1728,13.3424,1.2028,0.55
2011-02-28,23.15,134399813.0,284762.1364,12.5815,1.1342,0.55
2011-03-31,25.3,143867470.0,311208.7279,13.4574,1.1732,0.55
2011-04-30,25.9,108696705.0,318589.1721,13.7766,1.201,0.55
2011-05-31,24.9,79143401.0,306288.4318,13.2447,1.1546,0.55
2011-06-30,24.0,80930787.0,295217.7656,12.766,1.1129,0.55
2011-07-31,24.65,98923757.0,303213.2468,13.1117,1.143,0.55
2011-08-31,24.3,105890243.0,298907.9877,12.9255,1.1268,0.55
2011-09-30,23.5,71288758.0,289067.3955,12.5,1.0897,0.6
2011-10-31,25.05,68583044.0,308133.5429,13.3245,1.1616,0.6
2011-11-30,22.45,115829223.0,276151.6183,11.9415,1.041,0.6
2011-12-31,18.05,129843947.0,222028.3612,9.6011,0.837,0.6
2012-01-31,20.6,146568588.0,253395.2488,10.9574,0.9552,0.6
2012-02-29,21.2,165348262.0,260775.693,11.2766,0.9831,0.6
2012-03-31,19.7,120703151.0,242324.6403,7.8486,0.846,0.6
2012-04-30,18.9,71314756.0,232484.0458,7.5299,0.8116,0.6
2012-05-31,18.3,87906196.0,225103.5999,7.2908,0.7859,0.6
2012-06-30,18.25,70257519.0,224488.5627,7.2709,0.7837,0.6
2012-07-31,18.25,65935887.0,224488.5627,7.2709,0.7837,0.6
2012-08-31,17.9,94598214.0,220183.3026,7.1315,0.7687,0.7
2012-09-30,19.3,145118829.0,237404.3431,7.6892,0.8288,0.7
2012-10-31,21.55,243687750.0,265081.0152,8.5857,0.9254,0.7
2012-11-30,23.25,210813089.0,285992.2786,9.2629,0.9984,0.7
2012-12-31,25.45,348824597.0,313053.9135,10.1394,1.0929,0.7
2013-01-31,29.0,464126374.0,356721.5518,11.5538,1.2454,0.7
2013-02-28,27.05,342782123.0,332735.1026,10.7769,1.1616,0.7
2013-03-31,19.85,904175156.0,244169.7518,9.3192,0.8195,0.7
2013-04-30,21.65,151899416.0,266311.0895,10.1643,0.8938,0.7
2013-05-31,19.25,81792664.0,236789.3059,9.0376,0.7947,0.7
2013-06-30,18.45,119404550.0,226948.7114,8.662,0.7617,0.7
2013-07-31,16.6,85681277.0,204192.3365,7.7934,0.6853,0.7
2013-08-31,16.0,110241957.0,196811.8906,7.5117,0.6606,0.6
2013-09-30,19.55,136842676.0,240479.5289,9.1784,0.8071,0.6
2013-10-31,18.1,118540294.0,222643.4513,8.4977,0.7472,0.6
2013-11-30,18.2,91808668.0,223873.5256,8.5446,0.7514,0.6
2013-12-31,19.55,114003590.0,240479.5289,9.1784,0.8071,0.6
