HWA IN Equity,price,volume,mc,pe,bm,div
1995-01-31,130.0,,,,,0.0
1995-02-28,122.5,,,,,0.0
1995-03-31,120.0,,849.54,,,0.0
1995-04-30,105.0,,743.3475,,,0.0
1995-05-31,100.0,,707.95,,,0.0
1995-06-30,85.5,,605.2973,,,0.0
1995-07-31,106.0,,750.427,,,0.0
1995-08-31,90.0,,637.155,,,0.0
1995-09-30,87.0,,615.9165,,,2.0
1995-10-31,80.0,,566.36,,,2.0
1995-11-30,70.5,,499.1048,,,2.0
1995-12-31,74.0,,523.883,,,2.0
1996-01-31,65.5,,463.7073,,,2.0
1996-02-29,97.5,,690.2513,,,2.0
1996-03-31,90.0,,637.155,21.4031,2.178,2.0
1996-04-30,81.25,,575.2094,19.3222,1.9662,2.0
1996-05-31,80.0,2800.0,566.36,19.025,1.936,2.0
1996-06-30,76.5,18100.0,541.62,18.1926,1.8513,2.0
1996-07-31,68.0,9800.0,481.44,16.1712,1.6456,2.0
1996-08-31,70.0,7755.0,495.6,16.6468,1.694,2.0
1996-09-30,67.0,1735.0,474.36,15.9334,1.6214,2.0
1996-10-31,62.5,2530.0,442.5,14.8633,1.5125,2.0
1996-11-30,56.5,2297.0,400.02,13.4364,1.3673,2.0
1996-12-31,57.5,2325.0,407.1,13.6742,1.3915,2.0
1997-01-31,63.0,7439.0,446.04,14.9822,1.5246,2.0
1997-02-28,49.5,10402.0,350.46,11.7717,1.1979,2.0
1997-03-31,52.5,8793.0,371.7,12.4851,1.2705,2.0
1997-04-30,49.0,1512.0,346.92,11.2026,1.2768,2.0
1997-05-31,44.5,4091.0,315.06,10.1738,1.1595,2.0
1997-06-30,76.0,15948.0,671.992,17.3754,1.9803,2.0
1997-07-31,82.0,11735.0,725.044,18.7471,2.1366,2.0
1997-08-31,65.0,9205.0,574.73,14.8605,1.6937,2.0
1997-09-30,82.5,43978.0,729.465,18.8615,2.1497,2.0
1997-10-31,76.0,11111.0,685.255,17.3754,1.9803,2.0
1997-11-30,47.0,8590.0,415.574,10.7453,1.2247,2.0
1997-12-31,54.0,2385.0,477.468,12.3457,1.407,2.0
1998-01-31,48.0,3052.0,424.416,10.9739,1.2507,2.0
1998-02-28,51.8,4300.0,458.0156,11.8427,1.3497,2.0
1998-03-31,70.25,4979.0,621.1505,11.5962,1.6742,2.0
1998-04-30,68.25,7700.0,603.4665,11.2661,1.6265,2.0
1998-05-31,55.0,1590.0,486.31,9.0789,1.3107,2.0
1998-06-30,52.0,2802.0,459.784,8.5837,1.2392,2.0
1998-07-31,65.95,8160.0,583.1299,10.8864,1.5717,2.25
1998-08-31,65.0,4715.0,574.73,10.7296,1.549,2.25
1998-09-30,91.5,23662.0,809.043,15.104,2.1806,2.25
1998-10-31,86.65,5701.0,766.1593,14.3034,2.065,2.25
1998-11-30,82.5,9256.0,729.465,13.6184,1.9661,2.25
1998-12-31,94.0,12303.0,831.148,15.5167,2.2401,2.25
1999-01-31,128.9,46135.0,1139.7338,21.2776,3.0719,2.25
1999-02-28,161.2,63051.0,1425.3304,26.6094,3.8416,2.25
1999-03-31,207.9,69455.0,1838.2518,16.5446,4.1474,2.25
1999-04-30,158.9,35290.0,1404.9938,12.6452,3.1699,2.25
1999-05-31,183.45,12396.0,1622.0649,14.5989,3.6597,4.0
1999-06-30,208.0,654214.0,1839.136,16.5526,4.1494,4.0
1999-07-31,239.85,45411.0,2120.7537,19.0872,4.7848,4.0
1999-08-31,319.9,74862.0,2828.5558,25.4576,6.3818,4.0
1999-09-30,305.0,36264.0,2696.81,24.2718,6.0845,4.0
1999-10-31,324.0,39790.0,2864.808,25.7839,6.4636,4.0
1999-11-30,345.0,21023.0,3050.49,27.455,6.8825,4.0
1999-12-31,518.4,77010.0,4583.6928,41.2542,10.3417,4.0
2000-01-31,415.0,67761.0,3669.43,33.0256,8.2789,4.0
2000-02-29,385.0,30529.0,3404.17,30.6382,7.6805,4.0
2000-03-31,248.2,12045.0,2194.5844,11.3817,3.8023,4.0
2000-04-30,230.0,9936.0,2033.66,10.5471,3.5234,6.0
2000-05-31,201.95,12700.0,1785.6419,9.2608,3.0937,6.0
2000-06-30,296.95,33811.0,2625.6319,13.6172,4.5491,6.0
2000-07-31,231.05,48545.0,2042.8286,10.5952,3.5395,6.0
2000-08-31,245.0,7729.0,2166.1676,11.2349,3.7532,6.0
2000-09-30,205.0,4932.0,1812.5076,9.4007,3.1405,6.0
2000-10-31,185.0,4529.0,1635.6776,8.4835,2.8341,6.0
2000-11-30,204.0,7656.0,1803.6661,9.3548,3.1251,6.0
2000-12-31,190.0,12740.0,1679.8851,8.7128,2.9107,6.0
2001-01-31,198.0,4773.0,1750.6171,9.0797,3.0332,6.0
2001-02-28,170.0,12147.0,1503.055,7.7957,2.6043,6.0
2001-03-31,125.0,10242.0,1105.1875,5.6955,1.5507,6.0
2001-04-30,109.95,10911.0,972.123,5.0098,1.364,6.0
2001-05-31,145.6,5364.0,1287.3224,6.6342,1.8063,6.0
2001-06-30,148.5,5081.0,1312.9628,6.7663,1.8422,0.0
2001-07-31,96.0,3169.0,848.784,4.3742,1.1909,6.0
2001-08-31,120.0,3324.0,1060.98,5.4677,1.4887,6.0
2001-09-30,109.2,13638.0,965.4918,4.9756,1.3547,6.0
2001-10-31,114.0,3634.0,1007.931,5.1943,1.4143,6.0
2001-11-30,150.75,5118.0,1332.8562,6.8688,1.8702,6.0
2001-12-31,130.1,2940.0,1150.2792,5.9279,1.614,6.0
2002-01-31,133.5,2334.0,1180.3403,6.0828,1.6562,6.0
2002-02-28,139.0,6997.0,1228.9685,6.3334,1.7244,6.0
2002-03-31,146.45,16431.0,1294.8377,7.5393,1.6324,6.0
2002-04-30,162.0,22851.0,1432.323,8.3398,1.8058,0.0
2002-05-31,135.55,12666.0,1198.4654,6.9782,1.5109,0.0
2002-06-30,156.0,7942.0,1379.274,8.031,1.7389,0.0
2002-07-31,167.0,76188.0,1476.5305,8.5972,1.8615,6.0
2002-08-31,222.0,140760.0,1962.8131,11.4287,2.4746,6.0
2002-09-30,237.5,127187.0,2099.8563,12.2266,2.6473,6.0
2002-10-31,222.55,22505.0,1967.6759,11.457,2.4807,6.0
2002-11-30,255.5,17116.0,2259.0033,13.1533,2.848,6.0
2002-12-31,315.15,67683.0,2786.3988,16.2241,3.5129,6.0
2003-01-31,265.7,156791.0,2349.1866,13.6784,2.9617,6.0
2003-02-28,279.75,50457.0,2473.4097,14.4017,3.1183,6.0
2003-03-31,238.25,73054.0,2106.4874,11.526,2.338,6.0
2003-04-30,248.65,12303.0,2198.439,12.0291,2.4401,6.0
2003-05-31,262.0,18097.0,2316.4731,12.675,2.5711,6.0
2003-06-30,266.45,29184.0,2355.8178,12.8903,2.6148,6.0
2003-07-31,253.3,57309.0,2239.552,12.2541,2.4857,6.0
2003-08-31,276.6,84720.0,2445.559,13.3813,2.7144,6.0
2003-09-30,269.95,39743.0,2386.763,13.0596,2.6491,6.0
2003-10-31,264.75,57763.0,2340.7872,12.808,2.5981,6.0
2003-11-30,274.85,46560.0,2430.0864,13.2966,2.6972,6.0
2003-12-31,450.0,192413.0,3978.6751,21.77,4.416,6.0
2004-01-31,392.95,48183.0,3474.2675,19.01,3.8561,6.0
2004-02-29,397.2,26504.0,3511.8439,19.2157,3.8979,6.0
2004-03-31,323.4,50040.0,2859.3412,15.6454,3.1736,6.0
2004-04-30,365.0,26863.0,3227.1476,17.6579,3.5819,6.0
2004-05-31,365.15,25747.0,3228.4738,17.6651,3.5833,6.0
2004-06-30,355.1,12567.0,3139.6168,17.1789,3.4847,6.0
2004-07-31,339.0,18108.0,2997.2686,16.4001,3.3267,8.0
2004-08-31,405.55,29502.0,3585.6704,19.6196,3.9798,8.0
2004-09-30,467.45,59396.0,4132.9593,22.6142,4.5872,8.0
2004-10-31,440.95,29559.0,3898.6595,21.3322,4.3272,8.0
2004-11-30,501.3,37940.0,4432.2441,24.2518,4.9194,8.0
2004-12-31,589.65,73768.0,5213.3906,61.3912,4.917,8.0
2005-01-31,599.3,41801.0,5298.7111,62.3959,4.9975,8.0
2005-02-28,565.5,81890.0,4999.8684,58.8769,4.7157,8.0
2005-03-31,615.7,198116.0,5443.7117,64.1034,5.1343,8.0
2005-04-30,670.9,54895.0,5931.7625,69.8505,5.5946,5.0
2005-05-31,719.6,109981.0,6362.3436,74.9209,6.0007,5.0
2005-06-30,681.55,44225.0,6025.9245,70.9594,5.6834,5.0
2005-07-31,790.15,100007.0,6986.1114,82.2662,6.589,5.0
2005-08-31,882.1,97423.0,7799.0874,91.8396,7.3558,5.0
2005-09-30,897.35,99153.0,7933.9203,93.4273,7.4829,5.0
2005-10-31,726.2,46717.0,6420.6975,75.6081,6.0557,5.0
2005-11-30,915.75,76041.0,8096.6039,95.343,7.6364,5.0
2005-12-31,1088.8,68692.0,9626.6255,28.2456,7.2928,5.0
2006-01-31,1280.85,98290.0,11324.6356,33.2277,8.5792,5.0
2006-02-28,1538.1,108828.0,13599.1116,39.9013,10.3023,5.0
2006-03-31,1804.6,180361.0,15955.3714,46.8148,12.0873,5.0
2006-04-30,1829.9,82528.0,15719.7454,47.4711,12.2567,8.0
2006-05-31,1406.0,67268.0,12431.1494,36.4743,9.4174,8.0
2006-06-30,1200.15,89959.0,10611.1266,31.1342,8.0387,8.0
2006-07-31,1254.75,63923.0,11093.8725,32.5506,8.4044,8.0
2006-08-31,1322.5,64973.0,11692.8841,34.3082,8.8582,8.0
2006-09-30,1516.1,56364.0,13404.5986,39.3305,10.1549,8.0
2006-10-31,1629.85,48439.0,14410.3192,42.2814,10.9168,8.0
2006-11-30,1520.85,50341.0,13446.5957,39.4538,10.1867,8.0
2006-12-31,1741.35,90656.0,15396.1465,26.5408,8.5568,8.0
2007-01-31,1776.0,75377.0,15702.5045,27.0689,8.727,8.0
2007-02-28,1678.45,67306.0,14840.0161,25.5821,8.2477,8.0
2007-03-31,1700.4,137558.0,15034.0871,25.9167,8.3556,10.0
2007-04-30,1645.1,89308.0,14545.1521,25.0738,8.0838,10.0
2007-05-31,1736.9,57195.0,15356.8018,26.473,8.5349,10.0
2007-06-30,2082.7,101254.0,18414.1926,31.7435,10.2341,10.0
2007-07-31,1768.8,66298.0,15638.8457,26.9592,8.6917,10.0
2007-08-31,1842.45,66166.0,16290.0222,28.0817,9.0536,10.0
2007-09-30,1770.0,45660.0,15650.34,26.9775,8.6976,10.0
2007-10-31,2059.05,139354.0,18206.1201,31.383,10.1179,10.0
2007-11-30,2065.25,143470.0,18260.9405,31.4775,10.1484,10.0
2007-12-31,2460.55,188522.0,21756.1831,33.4244,9.2831,10.0
2008-01-31,1862.65,80812.0,16469.5513,25.3024,7.0274,10.0
2008-02-29,1745.05,40265.0,15429.7321,23.7049,6.5837,10.0
2008-03-31,1519.2,55269.0,13432.7664,20.637,5.7316,10.0
2008-04-30,1405.0,56832.0,12423.01,19.0857,5.3008,10.0
2008-05-31,1470.35,33081.0,13000.8347,19.9734,5.5473,10.0
2008-06-30,1243.1,17334.0,10991.4902,16.8864,4.69,10.0
2008-07-31,1363.8,17547.0,12058.7202,18.526,5.1453,10.0
2008-08-31,1263.35,7713.0,11170.5407,17.1615,4.7664,10.0
2008-09-30,1120.0,21359.0,9903.04,15.2142,4.2255,10.0
2008-10-31,889.8,29056.0,7867.6116,12.0871,3.357,10.0
2008-11-30,725.0,13419.0,6410.45,9.8485,2.7353,10.0
2008-12-31,874.4,21754.0,7731.4448,9.4448,2.445,10.0
2009-01-31,790.1,15761.0,6986.0642,8.5342,2.2093,10.0
2009-02-28,751.35,35649.0,6643.4367,8.1157,2.1009,10.0
2009-03-31,750.3,35545.0,6634.1526,8.1043,2.098,10.0
2009-04-30,970.0,37348.0,8576.74,10.4774,2.7123,0.0
2009-05-31,1339.7,39907.0,11845.6269,14.4707,3.746,0.0
2009-06-30,1304.45,47307.0,11533.9464,14.09,3.6475,0.0
2009-07-31,1601.65,84352.0,14161.7893,17.3002,4.4785,0.0
2009-08-31,1611.25,60522.0,14246.6725,17.4039,4.5053,0.0
2009-09-30,1828.5,99502.0,16167.597,19.7505,5.1128,0.0
2009-10-31,1917.5,81993.0,16954.535,20.7118,5.3617,0.0
2009-11-30,2084.15,79327.0,18428.0532,22.5119,5.8277,0.0
2009-12-31,2157.5,40969.0,19076.615,14.3651,4.3487,0.0
2010-01-31,2241.2,60419.0,19816.6899,14.9224,4.5174,0.0
2010-02-28,2399.2,76528.0,21213.7259,15.9744,4.8359,0.0
2010-03-31,2651.1,55365.0,23441.0273,17.6516,5.3436,10.0
2010-04-30,2667.3,246139.0,23584.2672,17.7595,5.3763,10.0
2010-05-31,2599.95,100727.0,22988.7574,17.3111,5.2405,10.0
2010-06-30,2897.2,269540.0,25617.0419,19.2902,5.8397,10.0
2010-07-31,2799.4,205271.0,24752.2937,18.6391,5.6425,10.0
