AMBER IN Equity,price,volume,mc,pe,bm,div
2018-01-31,1249.65,16220898.0,39297.1675,127.5153,8.2043,0.0
2018-02-28,1092.2,5473011.0,34345.911,111.449,7.1706,0.0
2018-03-31,1069.4,1864802.0,33628.9299,46.1744,3.7668,0.0
2018-04-30,1138.7,615103.0,35808.1751,49.1667,4.0109,0.0
2018-05-31,1080.15,646464.0,33966.9802,46.6386,3.8047,0.0
2018-06-30,911.05,584643.0,28649.3703,39.3372,3.2091,0.0
2018-07-31,973.8,514390.0,30622.6407,42.0466,3.4301,0.0
2018-08-31,984.35,379659.0,30954.4016,42.5022,3.4673,0.0
2018-09-30,927.3,651135.0,29160.3765,40.0389,3.2663,0.0
2018-10-31,861.2,132677.0,27081.7602,37.1848,3.0335,0.0
2018-11-30,919.5,99417.0,28915.0935,39.7021,3.2388,0.0
2018-12-31,905.05,171010.0,28460.691,39.0782,3.1879,0.0
2019-01-31,742.35,305349.0,23344.339,32.0531,2.6148,0.0
2019-02-28,674.65,823818.0,21215.4082,29.13,2.3764,0.0
2019-03-31,816.6,1514681.0,25679.2446,27.4176,2.604,0.0
2019-04-30,783.2,648021.0,24628.9301,26.2962,2.4975,0.0
2019-05-31,835.25,411764.0,26265.7225,28.0438,2.6635,0.0
2019-06-30,824.75,163929.0,25935.5339,27.6912,2.63,0.0
2019-07-31,785.45,197649.0,24699.6848,26.3717,2.5047,0.0
2019-08-31,826.05,466218.0,25976.4144,27.7349,2.6341,0.0
2019-09-30,908.15,388856.0,28558.1753,30.4914,2.8959,0.0
2019-10-31,1045.4,1287418.0,32874.2129,35.0996,3.3336,0.0
2019-11-30,1032.0,778999.0,32452.8293,34.6497,3.2909,1.6
2019-12-31,1117.15,634774.0,35130.5022,37.5087,3.5624,1.6
2020-01-31,1510.45,2165016.0,47498.4263,50.7138,4.8166,1.6
2020-02-29,1371.2,1861962.0,43119.4956,46.0385,4.3725,1.6
2020-03-31,1230.45,1795491.0,38693.3951,24.4282,3.429,3.2
2020-04-30,1071.95,2471782.0,33709.1186,21.2815,2.9873,3.2
2020-05-31,1245.85,1502914.0,39177.6719,24.734,3.4719,3.2
2020-06-30,1437.85,1944071.0,45215.4075,28.5458,4.007,3.2
2020-07-31,1482.5,1336544.0,46619.4956,29.4322,4.1314,3.2
2020-08-31,1733.5,3687692.0,54512.5771,34.4153,4.8309,3.2
2020-09-30,2038.4,14298624.0,68681.3013,40.4685,5.6806,3.2
2020-10-31,2180.4,7571937.0,73465.8133,43.2877,6.0764,3.2
2020-11-30,2399.6,4683974.0,80851.4793,47.6395,6.6872,1.6
2020-12-31,2352.8,3061264.0,79274.6126,46.7103,6.5568,1.6
2021-01-31,2579.75,4677775.0,86921.4051,51.216,7.1893,1.6
2021-02-28,3232.7,3762352.0,108921.7274,64.1791,9.0089,1.6
2021-03-31,3315.85,2852774.0,111723.3613,132.8466,6.9647,1.6
2021-04-30,3099.3,1592268.0,104426.9836,124.1707,6.5098,1.6
2021-05-31,2727.75,1933076.0,91908.0775,109.2849,5.7294,0.0
2021-06-30,2926.2,3227082.0,98594.5986,117.2356,6.1462,0.0
2021-07-31,2991.7,1979751.0,100801.535,119.8598,6.2838,0.0
