BRGD IN Equity,price,volume,mc,pe,bm,div
2012-08-31,31.3,1749248.0,5270.2267,9.2604,0.4518,1.0
2012-09-30,39.37,2375322.0,6628.4747,11.6469,0.5683,1.0
2012-10-31,43.63,9589467.0,7346.8868,12.9093,0.6299,1.0
2012-11-30,48.8,8177111.0,8216.8391,14.4379,0.7044,1.0
2012-12-31,62.1,26766756.0,10456.2645,18.3728,0.8964,1.0
2013-01-31,52.57,10180278.0,8851.0623,15.5523,0.7588,1.0
2013-02-28,46.47,2530020.0,7823.9574,13.7475,0.6707,1.0
2013-03-31,38.03,1460490.0,6403.9709,10.4679,0.5283,1.0
2013-04-30,46.97,2882220.0,7908.1463,12.9266,0.6524,1.0
2013-05-31,45.63,5715227.0,7683.6425,12.5596,0.6339,1.0
2013-06-30,40.33,701724.0,6791.2422,11.1009,0.5603,1.0
2013-07-31,33.1,1049942.0,5573.3087,9.1101,0.4598,1.0
2013-08-31,33.43,1004079.0,5629.4347,9.2018,0.4644,1.0
2013-09-30,34.97,965609.0,5887.6141,9.6239,0.4857,1.0
2013-10-31,37.4,3259490.0,6297.3337,10.2936,0.5195,1.0
2013-11-30,37.43,3681729.0,6302.9463,10.3028,0.52,1.0
2013-12-31,40.27,14224803.0,6780.017,11.0826,0.5594,1.0
2014-01-31,39.27,4341228.0,6611.6391,10.8073,0.5455,1.0
2014-02-28,36.53,691032.0,6151.4062,10.055,0.5075,1.0
2014-03-31,40.77,3149009.0,6864.206,7.4664,0.5364,1.0
2014-04-30,49.03,3926700.0,8256.13,8.9805,0.6452,1.0
2014-05-31,63.77,8815956.0,10736.8979,11.6789,0.839,1.0
2014-06-30,82.57,10009808.0,13902.4025,15.1221,1.0864,1.0
2014-07-31,85.47,4203011.0,14390.6984,15.6532,1.1246,1.3333
2014-08-31,83.43,3630506.0,14048.33,15.2808,1.0978,1.3333
2014-09-30,95.47,7892610.0,16074.4775,17.4847,1.2561,1.3333
2014-10-31,97.1,1589582.0,16349.4948,17.7839,1.2776,1.3333
2014-11-30,93.6,2098617.0,15816.7286,17.1429,1.2316,1.3333
2014-12-31,102.07,6085658.0,17247.4441,18.6935,1.343,1.3333
2015-01-31,113.63,11115933.0,19202.0042,20.812,1.4952,1.3333
2015-02-28,104.27,4845296.0,17633.1621,19.0965,1.3719,1.3333
2015-03-31,95.37,2875703.0,16127.9773,16.889,1.1894,1.3333
2015-04-30,101.23,2015054.0,17120.1213,17.928,1.2625,1.3333
2015-05-31,96.7,2179694.0,16353.4646,17.1251,1.206,1.3333
2015-06-30,100.0,2329793.0,16912.7449,17.7096,1.2472,1.3333
2015-07-31,95.4,2339372.0,16134.7586,16.8949,1.1898,1.3333
2015-08-31,90.8,3770076.0,15356.7724,16.0803,1.1324,1.3333
2015-09-30,105.53,1474586.0,17848.5835,18.6895,1.3162,1.3333
2015-10-31,102.03,1692315.0,17256.6374,18.0697,1.2725,1.3333
2015-11-30,108.23,2203701.0,18358.6262,19.1677,1.3498,1.3333
2015-12-31,102.47,1126440.0,17380.4795,18.1464,1.2779,1.3333
2016-01-31,103.77,3302276.0,17600.9866,18.3766,1.2941,1.3333
2016-02-29,89.77,2831268.0,15239.5001,15.8973,1.1195,1.3333
2016-03-31,96.17,1447583.0,16326.0147,11.7097,1.0617,1.3333
2016-04-30,100.17,2849175.0,17005.0864,12.1967,1.1058,1.3333
2016-05-31,99.4,1348826.0,16874.931,12.1034,1.0973,1.3333
