ESCORTS IN Equity,price,volume,mc,pe,bm,div
1999-09-30,229.05,5536934.0,16544.7401,,,4.5
1999-10-31,146.55,2298961.0,10585.5999,,,4.5
1999-11-30,158.25,1448814.0,11430.7144,,,4.5
1999-12-31,121.1,1928924.0,8747.2955,,,4.5
2000-01-31,168.0,4786690.0,12134.9764,,,4.5
2000-02-29,209.8,7747515.0,15154.2741,,,4.5
2000-03-31,148.0,2743205.0,10690.3363,,,4.5
2000-04-30,128.0,1286544.0,9245.6963,,,4.5
2000-05-31,122.4,1002657.0,8841.1971,,,4.5
2000-06-30,141.5,1905668.0,10220.8283,,,4.5
2000-07-31,92.8,5233494.0,6703.1298,,,4.5
2000-08-31,98.15,2108618.0,7089.571,,,4.5
2000-09-30,83.25,638752.0,6013.3142,,,4.5
2000-10-31,72.05,339567.0,5204.3158,,,4.5
2000-11-30,93.1,2051211.0,6724.8179,,,4.5
2000-12-31,134.9,4004752.0,9744.1239,,,4.5
2001-01-31,114.95,2744335.0,8303.0915,,,4.5
2001-02-28,100.0,12083723.0,7223.2201,,,4.5
2001-03-31,79.95,4134857.0,5774.9644,5.3776,0.5647,4.5
2001-04-30,77.3,1056853.0,5583.5491,5.1993,0.546,4.5
2001-05-31,83.65,2540039.0,6042.2236,5.6264,0.5908,4.5
2001-06-30,63.4,1106105.0,4579.5215,4.2644,0.4478,0.0
2001-07-31,56.15,95304.0,4055.8381,3.7767,0.3966,0.0
2001-08-31,54.9,300741.0,3965.5478,3.6927,0.3878,4.5
2001-09-30,44.3,628361.0,3199.8865,2.9797,0.3129,4.5
2001-10-31,51.2,216729.0,3698.2887,3.4438,0.3616,4.5
2001-11-30,57.55,390551.0,4156.9631,3.8709,0.4065,4.5
2001-12-31,54.95,2196180.0,3969.1594,3.696,0.3881,4.5
2002-01-31,52.65,1735736.0,3803.0254,3.5413,0.3719,4.5
2002-02-28,50.5,817134.0,3647.7261,3.3967,0.3567,4.5
2002-03-31,61.8,4366260.0,4463.95,4.1601,0.6181,4.5
2002-04-30,62.2,2889272.0,4492.8429,,0.6221,4.5
2002-05-31,53.95,540345.0,3896.9272,,0.5396,4.5
2002-06-30,68.85,3784728.0,4973.187,,0.6886,4.5
2002-07-31,53.25,5633891.0,3846.3647,,0.5326,4.5
2002-08-31,53.0,416939.0,3828.3066,,0.5301,4.5
2002-09-30,46.05,248803.0,3326.2928,,0.4605,1.0
2002-10-31,44.35,141315.0,3203.4981,,0.4435,1.0
2002-11-30,47.75,349178.0,3449.0876,,0.4776,1.0
2002-12-31,46.4,663658.0,3351.5741,,0.464,1.0
2003-01-31,42.7,324343.0,3084.315,,0.427,1.0
2003-02-28,41.75,288152.0,3015.6944,,0.4175,1.0
2003-03-31,35.4,224161.0,2557.0199,,0.622,1.0
2003-04-30,35.85,132923.0,2589.5244,,0.6299,1.0
2003-05-31,48.35,1122622.0,3492.4269,,0.8495,1.0
2003-06-30,51.95,1620054.0,3752.4628,,0.9128,1.0
2003-07-31,52.15,1822092.0,3766.9093,,0.9163,1.0
2003-08-31,51.6,1424115.0,3727.1816,,0.9066,1.0
2003-09-30,48.25,988055.0,3485.2037,,0.8478,1.0
2003-10-31,54.7,4341307.0,3951.1014,,0.9611,1.0
2003-11-30,80.5,9798134.0,5814.6922,,1.4144,1.0
2003-12-31,86.35,7339468.0,6237.2505,,1.5172,1.0
2004-01-31,74.7,17561701.0,5395.7454,,1.3125,1.0
2004-02-29,72.55,7219973.0,5240.4462,,1.2747,1.0
2004-03-31,62.55,3433780.0,4518.1241,,1.099,1.0
2004-04-30,69.6,3418101.0,5027.3612,,1.2229,1.0
2004-05-31,54.95,1584977.0,3969.1594,,0.9655,1.0
2004-06-30,56.0,596972.0,4045.0032,,0.7883,1.0
2004-07-31,58.4,3403048.0,4218.3605,,0.8221,1.0
2004-08-31,63.85,4816835.0,4612.026,,0.8988,1.0
2004-09-30,65.75,4609274.0,4749.2672,,0.9256,1.0
2004-10-31,63.15,2843735.0,4561.4635,,0.889,1.0
2004-11-30,70.0,3134370.0,5056.254,,0.9854,0.0
